county_fips,NAICS_CODE,sector_flag,establishments,nonemployers,is_target_sector
34013,45999,,,647.0,False
34013,48-49,Transportation/Warehousing,875.0,16450.0,True
34013,481,,26.0,48.0,False
34013,4811,,25.0,,False
34013,48111,,25.0,,False
34013,481111,,22.0,,False
34013,481112,,3.0,,False
34013,483,,3.0,13.0,False
34013,4831,,3.0,,False
34013,48311,,3.0,,False
34013,484,Transportation/Warehousing,501.0,2670.0,True
34013,4841,Transportation/Warehousing,379.0,2463.0,True
34013,48411,Transportation/Warehousing,184.0,1373.0,True
34013,484110,Transportation/Warehousing,184.0,,True
34013,48412,Transportation/Warehousing,195.0,1090.0,True
34013,484121,Transportation/Warehousing,72.0,,True
34013,484122,Transportation/Warehousing,123.0,,True
34013,4842,Transportation/Warehousing,122.0,207.0,True
34013,48421,Transportation/Warehousing,32.0,,True
34013,484210,Transportation/Warehousing,32.0,,True
34013,48422,Transportation/Warehousing,72.0,,True
34013,484220,Transportation/Warehousing,72.0,,True
34013,48423,Transportation/Warehousing,18.0,,True
34013,484230,Transportation/Warehousing,18.0,,True
34013,485,Transportation/Warehousing,77.0,9584.0,True
34013,4851,Transportation/Warehousing,5.0,13.0,True
34013,48511,Transportation/Warehousing,5.0,13.0,True
34013,485113,Transportation/Warehousing,5.0,,True
34013,4852,Transportation/Warehousing,,17.0,True
34013,48521,Transportation/Warehousing,,17.0,True
34013,4853,Transportation/Warehousing,27.0,8975.0,True
34013,48531,Transportation/Warehousing,17.0,,True
34013,485310,Transportation/Warehousing,17.0,,True
34013,48532,Transportation/Warehousing,10.0,,True
34013,485320,Transportation/Warehousing,10.0,,True
34013,4854,Transportation/Warehousing,24.0,99.0,True
34013,48541,Transportation/Warehousing,24.0,99.0,True
34013,485410,Transportation/Warehousing,24.0,,True
34013,4855,Transportation/Warehousing,,32.0,True
34013,48551,Transportation/Warehousing,,32.0,True
34013,4859,Transportation/Warehousing,19.0,448.0,True
34013,48599,Transportation/Warehousing,19.0,448.0,True
34013,485991,Transportation/Warehousing,11.0,,True
34013,485999,Transportation/Warehousing,8.0,,True
34013,486,,,5.0,False
34013,487,,,9.0,False
34013,488,,142.0,400.0,False
34013,4881,,29.0,,False
34013,48811,,20.0,,False
34013,488119,,19.0,,False
34013,48819,,9.0,,False
34013,488190,,9.0,,False
34013,4883,,8.0,,False
34013,48831,,3.0,,False
34013,488310,,3.0,,False
34013,48832,,3.0,,False
34013,488320,,3.0,,False
34013,4884,,30.0,,False
34013,48841,,27.0,,False
34013,488410,,27.0,,False
34013,48849,,3.0,,False
34013,488490,,3.0,,False
34013,4885,,69.0,,False
34013,48851,,69.0,,False
34013,488510,,69.0,,False
34013,4889,,4.0,,False
34013,48899,,4.0,,False
34013,488991,,4.0,,False
34013,492,Transportation/Warehousing,60.0,3601.0,True
34013,4921,Transportation/Warehousing,38.0,,True
34013,49211,Transportation/Warehousing,38.0,,True
34013,492110,Transportation/Warehousing,38.0,,True
34013,4922,Transportation/Warehousing,22.0,,True
34013,49221,Transportation/Warehousing,22.0,,True
34013,492210,Transportation/Warehousing,22.0,,True
34013,493,Transportation/Warehousing,63.0,120.0,True
34013,4931,Transportation/Warehousing,63.0,120.0,True
34013,49311,Transportation/Warehousing,44.0,,True
34013,493110,Transportation/Warehousing,44.0,,True
34013,49312,Transportation/Warehousing,6.0,,True
