NAME,NAICS_CODE,ESTAB,LFO,EMPSZES,state,county,county_fips,sector_flag
"Queens County, New York",31212,9,001,001,36,081,36081,
"Queens County, New York",312120,9,001,001,36,081,36081,
"Queens County, New York",313,5,001,001,36,081,36081,
"Queens County, New York",314,22,001,001,36,081,36081,
"Queens County, New York",3141,10,001,001,36,081,36081,
"Queens County, New York",31412,10,001,001,36,081,36081,
"Queens County, New York",314120,10,001,001,36,081,36081,
"Queens County, New York",3149,12,001,001,36,081,36081,
"Queens County, New York",31499,10,001,001,36,081,36081,
"Queens County, New York",314999,10,001,001,36,081,36081,
"Queens County, New York",315,75,001,001,36,081,36081,
"Queens County, New York",3151,6,001,001,36,081,36081,
"Queens County, New York",31519,5,001,001,36,081,36081,
"Queens County, New York",315210,41,001,001,36,081,36081,
"Queens County, New York",315190,5,001,001,36,081,36081,
"Queens County, New York",3152,62,001,001,36,081,36081,
"Queens County, New York",31521,41,001,001,36,081,36081,
"Queens County, New York",315280,6,001,001,36,081,36081,
"Queens County, New York",31522,4,001,001,36,081,36081,
"Queens County, New York",315220,4,001,001,36,081,36081,
"Queens County, New York",31524,11,001,001,36,081,36081,
"Queens County, New York",315240,11,001,001,36,081,36081,
"Queens County, New York",31528,6,001,001,36,081,36081,
"Queens County, New York",3159,7,001,001,36,081,36081,
"Queens County, New York",31599,7,001,001,36,081,36081,
"Queens County, New York",315990,7,001,001,36,081,36081,
"Queens County, New York",316,3,001,001,36,081,36081,
"Queens County, New York",321,24,001,001,36,081,36081,
"Queens County, New York",3219,21,001,001,36,081,36081,
"Queens County, New York",32191,12,001,001,36,081,36081,
"Queens County, New York",321918,10,001,001,36,081,36081,
"Queens County, New York",32192,5,001,001,36,081,36081,
"Queens County, New York",321920,5,001,001,36,081,36081,
"Queens County, New York",32199,4,001,001,36,081,36081,
"Queens County, New York",321999,4,001,001,36,081,36081,
"Queens County, New York",322,5,001,001,36,081,36081,
"Queens County, New York",3222,5,001,001,36,081,36081,
"Queens County, New York",323,124,001,001,36,081,36081,
"Queens County, New York",3231,124,001,001,36,081,36081,
"Queens County, New York",32311,122,001,001,36,081,36081,
"Queens County, New York",323111,106,001,001,36,081,36081,
"Queens County, New York",3241,5,001,001,36,081,36081,
"Queens County, New York",32412,4,001,001,36,081,36081,
"Queens County, New York",324121,4,001,001,36,081,36081,
"Queens County, New York",325,15,001,001,36,081,36081,
"Queens County, New York",3256,9,001,001,36,081,36081,
"Queens County, New York",32561,4,001,001,36,081,36081,
"Queens County, New York",325611,3,001,001,36,081,36081,
"Queens County, New York",32562,5,001,001,36,081,36081,
"Queens County, New York",325620,5,001,001,36,081,36081,
"Queens County, New York",326,6,001,001,36,081,36081,
"Queens County, New York",32721,6,001,001,36,081,36081,
"Queens County, New York",323113,16,001,001,36,081,36081,
"Queens County, New York",324,5,001,001,36,081,36081,
"Queens County, New York",3261,5,001,001,36,081,36081,
"Queens County, New York",327,37,001,001,36,081,36081,
"Queens County, New York",3272,6,001,001,36,081,36081,
"Queens County, New York",327215,4,001,001,36,081,36081,
"Queens County, New York",3273,19,001,001,36,081,36081,
"Queens County, New York",32732,19,001,001,36,081,36081,
"Queens County, New York",327320,19,001,001,36,081,36081,
"Queens County, New York",3279,11,001,001,36,081,36081,
"Queens County, New York",32799,11,001,001,36,081,36081,
"Queens County, New York",3314,4,001,001,36,081,36081,
"Queens County, New York",327991,10,001,001,36,081,36081,
"Queens County, New York",331,9,001,001,36,081,36081,
"Queens County, New York",3312,3,001,001,36,081,36081,
"Queens County, New York",332,132,001,001,36,081,36081,
"Queens County, New York",3321,3,001,001,36,081,36081,
"Queens County, New York",33211,3,001,001,36,081,36081,
"Queens County, New York",3323,87,001,001,36,081,36081,
"Queens County, New York",33231,12,001,001,36,081,36081,
"Queens County, New York",332312,10,001,001,36,081,36081,
"Queens County, New York",33232,75,001,001,36,081,36081,
"Queens County, New York",332321,17,001,001,36,081,36081,
"Queens County, New York",332322,24,001,001,36,081,36081,
"Queens County, New York",3327,19,001,001,36,081,36081,
"Queens County, New York",332323,34,001,001,36,081,36081,
"Queens County, New York",3326,3,001,001,36,081,36081,
"Queens County, New York",33261,3,001,001,36,081,36081,
"Queens County, New York",33271,14,001,001,36,081,36081,
"Queens County, New York",332710,14,001,001,36,081,36081,
"Queens County, New York",33272,5,001,001,36,081,36081,
"Queens County, New York",332721,3,001,001,36,081,36081,
"Queens County, New York",3328,8,001,001,36,081,36081,
"Queens County, New York",3329,7,001,001,36,081,36081,
"Queens County, New York",33281,8,001,001,36,081,36081,
"Queens County, New York",332812,5,001,001,36,081,36081,
"Queens County, New York",332813,3,001,001,36,081,36081,
"Queens County, New York",33299,6,001,001,36,081,36081,
"Queens County, New York",332999,4,001,001,36,081,36081,
"Queens County, New York",3332,10,001,001,36,081,36081,
"Queens County, New York",33324,10,001,001,36,081,36081,
"Queens County, New York",333241,3,001,001,36,081,36081,
"Queens County, New York",333249,5,001,001,36,081,36081,
"Queens County, New York",3334,4,001,001,36,081,36081,
"Queens County, New York",33341,4,001,001,36,081,36081,
"Queens County, New York",3335,5,001,001,36,081,36081,
"Queens County, New York",33351,5,001,001,36,081,36081,
"Queens County, New York",3339,16,001,001,36,081,36081,
"Queens County, New York",334,14,001,001,36,081,36081,
"Queens County, New York",333,38,001,001,36,081,36081,
"Queens County, New York",33392,12,001,001,36,081,36081,
"Queens County, New York",333921,9,001,001,36,081,36081,
"Queens County, New York",333922,3,001,001,36,081,36081,
"Queens County, New York",33399,3,001,001,36,081,36081,
"Queens County, New York",3344,4,001,001,36,081,36081,
"Queens County, New York",33441,4,001,001,36,081,36081,
"Queens County, New York",3345,6,001,001,36,081,36081,
"Queens County, New York",33451,6,001,001,36,081,36081,
"Queens County, New York",334510,3,001,001,36,081,36081,
"Queens County, New York",335,16,001,001,36,081,36081,
"Queens County, New York",3351,8,001,001,36,081,36081,
"Queens County, New York",33512,8,001,001,36,081,36081,
"Queens County, New York",335121,5,001,001,36,081,36081,
"Queens County, New York",335122,3,001,001,36,081,36081,
"Queens County, New York",3353,6,001,001,36,081,36081,
"Queens County, New York",33531,6,001,001,36,081,36081,
"Queens County, New York",335314,3,001,001,36,081,36081,
"Queens County, New York",336,10,001,001,36,081,36081,
"Queens County, New York",3363,3,001,001,36,081,36081,
"Queens County, New York",3364,4,001,001,36,081,36081,
"Queens County, New York",33641,4,001,001,36,081,36081,
"Queens County, New York",337,104,001,001,36,081,36081,
"Queens County, New York",3371,73,001,001,36,081,36081,
"Queens County, New York",33711,32,001,001,36,081,36081,
"Queens County, New York",337110,32,001,001,36,081,36081,
"Queens County, New York",33712,41,001,001,36,081,36081,
"Queens County, New York",3372,24,001,001,36,081,36081,
"Queens County, New York",337121,12,001,001,36,081,36081,
"Queens County, New York",337122,23,001,001,36,081,36081,
"Queens County, New York",337124,3,001,001,36,081,36081,
"Queens County, New York",33721,24,001,001,36,081,36081,
"Queens County, New York",337211,6,001,001,36,081,36081,
"Queens County, New York",337212,14,001,001,36,081,36081,
"Queens County, New York",337215,4,001,001,36,081,36081,
"Queens County, New York",3379,7,001,001,36,081,36081,
"Queens County, New York",33792,7,001,001,36,081,36081,
"Queens County, New York",337920,7,001,001,36,081,36081,
"Queens County, New York",339,131,001,001,36,081,36081,
"Queens County, New York",3391,59,001,001,36,081,36081,
"Queens County, New York",33911,59,001,001,36,081,36081,
"Queens County, New York",339113,4,001,001,36,081,36081,
"Queens County, New York",339114,5,001,001,36,081,36081,
"Queens County, New York",339116,48,001,001,36,081,36081,
"Queens County, New York",3399,72,001,001,36,081,36081,
"Queens County, New York",33991,17,001,001,36,081,36081,
"Queens County, New York",339910,17,001,001,36,081,36081,
"Queens County, New York",33995,29,001,001,36,081,36081,
"Queens County, New York",339950,29,001,001,36,081,36081,
"Queens County, New York",33999,26,001,001,36,081,36081,
"Queens County, New York",339994,3,001,001,36,081,36081,
"Queens County, New York",339999,17,001,001,36,081,36081,
"Queens County, New York",42,2876,001,001,36,081,36081,
"Queens County, New York",423120,52,001,001,36,081,36081,
"Queens County, New York",42313,7,001,001,36,081,36081,
"Queens County, New York",423130,7,001,001,36,081,36081,
"Queens County, New York",42314,8,001,001,36,081,36081,
