STATE,PUMA,PWGTP,AGEP,SEX,RAC1P,HISP,NATIVITY,ANC1P,ANC2P,SCHL,ESR,PINCP
10,00301,66,58,2,9,1,2,370,999,21.0,6.0,0.0
10,00103,68,40,2,9,1,2,370,999,22.0,1.0,82000.0
10,00302,163,58,1,9,1,2,730,370,21.0,3.0,80260.0
10,00103,85,26,1,9,1,1,370,999,16.0,1.0,17000.0
10,00101,125,47,2,8,1,1,370,999,21.0,1.0,90000.0
10,00101,143,19,1,8,3,1,370,084,16.0,3.0,7200.0
11,00101,136,21,2,9,1,1,370,999,19.0,1.0,17000.0
11,00104,43,60,2,9,1,2,335,370,17.0,6.0,0.0
11,00102,51,75,1,2,1,2,370,999,20.0,1.0,118200.0
11,00101,65,77,1,9,1,2,370,999,19.0,6.0,15600.0
11,00102,187,72,2,8,1,1,370,999,19.0,6.0,0.0
11,00102,144,42,1,8,1,2,370,999,19.0,1.0,80000.0
11,00103,30,69,2,9,1,2,370,999,23.0,6.0,18430.0
11,00101,458,40,1,9,1,1,370,564,23.0,1.0,870000.0
11,00106,167,38,2,9,1,1,570,370,24.0,1.0,214000.0
11,00104,86,37,2,9,1,1,901,370,23.0,1.0,92000.0
12,01113,61,80,2,6,1,2,615,370,19.0,6.0,11900.0
12,01107,26,80,2,6,1,2,615,370,19.0,6.0,11900.0
12,01113,69,80,2,6,1,2,615,370,19.0,6.0,11900.0
12,08618,98,18,2,9,1,1,308,370,19.0,6.0,0.0
12,10504,2,26,1,9,1,1,370,999,21.0,6.0,0.0
12,08602,62,18,2,9,1,1,308,370,19.0,6.0,0.0
12,09504,43,37,1,8,1,2,370,570,15.0,6.0,0.0
12,08618,79,18,2,9,1,1,308,370,19.0,6.0,0.0
12,07102,289,81,1,2,1,2,370,999,19.0,6.0,24700.0
12,01111,48,51,2,6,1,2,370,999,20.0,1.0,83300.0
12,01111,83,19,1,6,1,1,370,999,18.0,1.0,12000.0
12,01109,102,24,1,8,1,1,370,999,16.0,1.0,40000.0
12,01109,127,5,1,9,16,1,234,370,2.0,,
12,08303,71,95,1,2,1,2,370,999,1.0,6.0,14500.0
12,08303,62,95,2,2,1,2,370,999,15.0,6.0,6100.0
12,09507,221,26,1,9,1,1,370,939,16.0,1.0,10000.0
12,09906,35,65,1,6,1,2,370,999,17.0,6.0,36000.0
12,09906,66,61,2,6,1,2,370,999,17.0,1.0,98000.0
12,09501,157,58,2,9,1,2,370,999,21.0,1.0,80000.0
12,09501,192,66,1,9,1,2,370,999,22.0,6.0,12000.0
12,09501,129,79,1,9,1,2,370,999,16.0,1.0,5700.0
12,11703,196,75,1,6,1,2,370,999,21.0,6.0,40000.0
12,11703,114,82,2,6,1,2,370,999,9.0,6.0,17000.0
12,11703,116,95,2,6,1,2,370,999,9.0,6.0,17000.0
12,10307,77,10,1,9,1,1,142,370,7.0,,
12,10307,74,8,2,9,1,1,142,370,6.0,,
