STATE,weighted_count,state_name
40,7429.0,OK
48,3675.0,TX
06,1975.0,CA
12,1894.0,FL
36,1556.0,NY
05,728.0,AR
25,648.0,MA
35,407.0,NM
42,380.0,PA
34,339.0,NJ
47,307.0,TN
51,301.0,VA
45,247.0,SC
02,245.0,AK
22,236.0,LA
29,210.0,MO
28,181.0,MS
13,150.0,GA
39,106.0,OH
53,103.0,WA
33,76.0,NH
18,58.0,IN
41,50.0,OR
08,26.0,CO
21,24.0,KY
