occupation_code,soc_code,soc_title,area_code,area_title,year,median_wage,wage_unit
,nan,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024,60000,annual
,nan,,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",2024,60000,annual
