orig_fips,dest_fips,returns
01121,01027,33
01015,01027,30
01111,01027,19
58000,01027,41
59000,01027,67
96000,01029,287
97000,01029,287
97001,01029,141
97003,01029,146
98000,01029,-1
01029,01029,4309
01015,01029,76
13045,01029,39
13143,01029,27
01027,01029,14
01121,01029,14
58000,01029,37
59000,01029,80
96000,01031,1981
97000,01031,1914
97001,01031,711
97003,01031,1203
98000,01031,67
01031,01031,15044
01045,01031,249
01069,01031,85
01061,01031,65
01039,01031,62
01109,01031,58
36071,01031,56
48027,01031,44
47125,01031,35
01101,01031,34
37051,01031,32
01073,01031,21
02090,01031,19
12005,01031,18
01097,01031,17
15003,01031,17
13051,01031,15
12091,01031,13
13067,01031,13
36045,01031,12
01041,01031,11
01089,01031,11
08041,01031,11
01003,01031,10
28087,01031,10
58000,01031,88
59000,01031,908
59001,01031,82
59003,01031,141
59005,01031,528
59007,01031,157
57009,01031,67
96000,01033,1120
97000,01033,1120
97001,01033,762
97003,01033,358
98000,01033,-1
01033,01033,18801
01077,01033,406
01059,01033,96
01079,01033,38
01103,01033,28
01089,01033,25
01073,01033,19
01125,01033,14
01083,01033,13
01093,01033,13
01101,01033,13
28141,01033,13
01133,01033,10
47037,01033,10
58000,01033,87
59000,01033,335
96000,01035,228
97000,01035,228
97001,01035,144
97003,01035,84
98000,01035,-1
01035,01035,3960
01099,01035,33
01053,01035,26
01101,01035,19
01013,01035,12
01039,01035,11
01097,01035,11
58000,01035,32
59000,01035,84
96000,01037,255
97000,01037,255
97001,01037,215
97003,01037,40
98000,01037,-1
01037,01037,3091
01121,01037,65
01123,01037,64
01073,01037,15
01051,01037,12
01101,01037,11
58000,01037,48
59000,01037,40
96000,01039,683
97000,01039,683
97001,01039,337
97003,01039,346
98000,01039,-1
01039,01039,11718
01031,01039,67
12091,01039,35
12131,01039,29
01041,01039,27
01061,01039,27
01013,01039,21
01101,01039,20
01109,01039,19
12033,01039,17
01069,01039,16
01035,01039,15
01097,01039,14
01003,01039,11
01053,01039,11
12005,01039,11
58000,01039,89
59000,01039,254
59001,01039,22
59003,01039,28
59005,01039,174
59007,01039,30
96000,01041,307
97000,01041,307
97001,01041,225
97003,01041,82
98000,01041,-1
01041,01041,4301
01109,01041,41
01101,01041,40
01013,01041,31
01039,01041,29
01031,01041,11
01045,01041,10
58000,01041,63
59000,01041,82
96000,01043,1200
97000,01043,1190
97001,01043,819
97003,01043,371
98000,01043,10
01043,01043,25532
01103,01043,156
01073,01043,141
01009,01043,106
01095,01043,75
01089,01043,50
01127,01043,31
01133,01043,29
01117,01043,24
01083,01043,18
01125,01043,18
01055,01043,17
01079,01043,17
01115,01043,13
01003,01043,11
01015,01043,11
01081,01043,10
01129,01043,10
58000,01043,82
59000,01043,371
59001,01043,14
59003,01043,68
59005,01043,241
59007,01043,48
57009,01043,10
96000,01045,2163
97000,01045,2091
97001,01045,883
97003,01045,1208
98000,01045,72
01045,01045,14858
01069,01045,330
01031,01045,233
01067,01045,57
47125,01045,53
48027,01045,52
01061,01045,42
01005,01045,35
15003,01045,34
37051,01045,31
01109,01045,29
01101,01045,23
02090,01045,21
01039,01045,19
12005,01045,17
13051,01045,17
36045,01045,17
53053,01045,15
01097,01045,12
08041,01045,12
12057,01045,12
12095,01045,12
21047,01045,11
37085,01045,11
48029,01045,11
01125,01045,10
12091,01045,10
36071,01045,10
49049,01045,10
58000,01045,93
59000,01045,852
59001,01045,67
59003,01045,143
59005,01045,478
59007,01045,164
57009,01045,72
96000,01047,560
97000,01047,560
97001,01047,352
97003,01047,208
98000,01047,-1
01047,01047,13723
01101,01047,68
01073,01047,30
01105,01047,30
01001,01047,28
01085,01047,27
01051,01047,21
01131,01047,20
01021,01047,17
01089,01047,13
01097,01047,13
01091,01047,10
01125,01047,10
13089,01047,10
58000,01047,65
59000,01047,198
59001,01047,12
59003,01047,38
59005,01047,126
59007,01047,22
96000,01049,1135
97000,01049,1135
97001,01049,680
97003,01049,455
98000,01049,-1
01049,01049,21212
01095,01049,183
01071,01049,167
01055,01049,78
01019,01049,65
13083,01049,32
01073,01049,30
01089,01049,22
47065,01049,22
13055,01049,16
01009,01049,15
01015,01049,15
58000,01049,105
59000,01049,385
59001,01049,12
59003,01049,50
59005,01049,291
59007,01049,32
96000,01051,2480
97000,01051,2454
97001,01051,1810
97003,01051,644
98000,01051,26
01051,01051,25698
01101,01051,842
01001,01051,376
01123,01051,70
01073,01051,48
01081,01051,47
01087,01051,40
01003,01051,35
01047,01051,30
01097,01051,27
01085,01051,26
01037,01051,25
01021,01051,20
01117,01051,19
01069,01051,15
01109,01051,15
01125,01051,14
12033,01051,14
05007,01051,13
13215,01051,12
01041,01051,11
13121,01051,11
12009,01051,10
58000,01051,150
59000,01051,584
59001,01051,33
59003,01051,95
59005,01051,374
59007,01051,82
57009,01051,26
96000,01053,584
97000,01053,584
97001,01053,275
97003,01053,309
98000,01053,-1
01053,01053,11262
12033,01053,98
01003,01053,67
01035,01053,48
12113,01053,37
01097,01053,33
01099,01053,27
01039,01053,11
01051,01053,10
01101,01053,10
58000,01053,69
59000,01053,174
96000,01055,1600
97000,01055,1600
97001,01055,1034
97003,01055,566
98000,01055,-1
01055,01055,33122
01095,01055,228
01015,01055,179
01115,01055,110
01073,01055,96
01049,01055,67
01019,01055,59
01009,01055,41
01089,01055,36
01101,01055,27
01121,01055,23
01117,01055,21
01097,01055,14
01125,01055,14
01103,01055,13
01043,01055,11
13121,01055,11
01051,01055,10
58000,01055,85
59000,01055,555
59001,01055,35
59003,01055,85
59005,01055,383
59007,01055,52
96000,01057,262
97000,01057,262
