Country of Citizenship,Continent,Region,# of Active Students,Male,Female,ASSOCIATE,BACHELOR'S,DOCTORATE,FLIGHT TRAINING,HIGH SCHOOL,LANGUAGE TRAINING,MASTER'S,OTHER,OTHER VOCATIONAL SCHOOL,PRIMARY,SECONDARY,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
AFGHANISTAN,Asia,Southern Asia,335,185,150,21,178,32,3,0,11,42,8,0,7,33,1,2,1,3,28,2,11,4,0,9,5,0,0,8,2,7,11,5,12,1,37,6,5,2,8,6,0,1,1,14,0,3,3,8,3,2,24,10,3,3,20,0,4,3,3,0,14,4,22,0,12,0,2,0,0
ALBANIA,Europe,Southern Europe,794,386,408,163,350,86,0,0,57,96,22,0,0,20,0,5,1,6,33,4,18,2,3,39,5,0,0,6,8,36,7,1,2,0,112,8,4,60,14,9,0,4,3,9,0,1,5,37,2,1,166,18,5,3,57,0,5,2,0,2,45,13,17,0,2,7,3,3,1
ALGERIA,Africa,Northern Africa,291,218,73,38,37,23,6,0,98,64,19,1,1,4,0,1,0,3,40,4,0,4,1,14,2,0,0,6,0,13,3,3,0,0,14,5,1,1,3,3,0,3,0,2,0,1,0,4,0,0,89,2,1,0,7,0,1,1,1,0,24,1,28,0,1,1,0,1,2
ANDORRA,Europe,Southern Europe,8,3,5,0,2,0,0,0,2,1,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ANGOLA,Africa,Central Africa,1645,944,700,408,703,5,14,0,353,67,14,1,11,69,0,0,2,34,70,58,4,17,0,157,28,0,0,4,2,17,70,7,0,43,40,22,0,21,4,6,0,1,3,17,20,0,0,4,0,1,53,3,108,7,24,0,1,39,2,3,692,3,39,0,0,11,2,4,2
ANGUILLA,North America,Caribbean,21,9,12,4,14,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
ANTIGUA AND BARBUDA,North America,Caribbean,256,120,136,26,179,9,4,0,0,31,3,2,1,1,0,3,1,0,2,0,1,7,3,44,5,0,0,2,1,7,0,1,1,6,3,4,0,4,3,7,0,1,0,2,0,0,0,2,0,0,72,2,1,0,2,1,0,1,0,2,61,0,2,1,0,0,1,0,0
ARGENTINA,South America,South America,2065,1146,919,146,635,344,8,1,238,496,142,20,5,30,0,22,9,10,230,17,22,30,0,286,47,0,4,17,4,119,18,9,6,13,165,26,2,25,16,26,0,10,1,48,1,7,6,34,4,7,435,23,19,14,69,7,15,14,2,19,95,38,38,0,2,11,9,12,2
ARMENIA,Asia,Western Asia,230,117,113,17,51,56,1,0,8,78,11,1,0,7,0,0,0,2,54,1,4,4,0,2,2,0,2,5,0,14,2,3,2,0,21,5,0,13,2,2,0,2,0,4,0,1,0,1,2,2,27,5,3,1,10,0,1,1,0,2,6,15,3,0,2,2,0,0,0
ARUBA,North America,Caribbean,56,32,24,10,34,0,0,0,0,9,1,1,0,1,0,1,0,0,3,0,0,0,0,33,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,1,2,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
AUSTRALIA,Australia&Pacific Islands,Oceania,4042,2294,1747,336,1930,396,14,3,4,706,414,73,16,150,2,35,15,37,635,54,79,45,5,106,74,1,36,54,28,124,47,40,39,34,375,56,2,53,36,68,0,20,18,98,23,27,18,88,11,15,800,42,60,41,155,0,33,56,16,49,151,45,57,0,15,61,22,30,11
AUSTRIA,Europe,Western Europe,852,453,398,51,251,139,9,0,65,174,76,15,2,70,2,1,4,5,162,11,15,18,0,67,11,0,11,4,3,27,8,2,4,11,96,10,7,12,4,9,0,2,1,10,0,5,3,20,5,2,165,13,3,12,22,0,11,5,1,6,24,5,16,0,3,7,3,3,1
AZERBAIJAN,Asia,Western Asia,443,332,111,37,156,36,0,0,43,125,26,2,3,15,0,5,2,3,62,5,6,21,2,13,2,0,0,3,0,31,3,5,1,2,44,3,3,3,5,31,0,0,0,3,1,0,3,10,3,0,64,5,6,0,9,0,6,1,0,0,37,1,31,0,0,7,0,0,1
"BAHAMAS, THE",North America,Caribbean,2646,1298,1348,370,1650,102,10,2,0,255,30,22,10,195,1,57,116,5,31,9,26,14,2,854,166,0,0,15,2,19,40,40,16,38,35,32,6,40,70,43,0,24,0,107,22,15,2,23,8,2,84,34,110,1,52,4,29,30,10,121,147,3,86,0,7,7,14,23,4
BAHRAIN,Asia,Western Asia,446,312,134,49,281,22,6,0,17,54,6,0,0,11,0,5,0,13,44,6,8,13,0,56,6,0,0,2,2,15,18,2,3,1,82,2,1,13,1,3,0,1,0,5,0,0,0,2,1,0,30,9,1,1,21,0,1,0,2,6,39,2,13,0,2,6,1,7,0
