Country of Citizenship,Continent,Region,# of Active Students,Male,Female,ASSOCIATE,BACHELOR'S,DOCTORATE,FLIGHT TRAINING,HIGH SCHOOL,LANGUAGE TRAINING,MASTER'S,OTHER,OTHER VOCATIONAL SCHOOL,PRIMARY,SECONDARY,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
AFGHANISTAN,Asia,Southern Asia,374,206,167,27,199,29,4,0,17,42,10,0,8,38,1,2,1,1,26,2,11,6,0,9,7,0,0,8,2,7,15,5,13,1,39,6,6,2,11,9,0,1,1,16,1,2,5,10,4,1,27,9,4,3,23,0,5,2,2,0,15,4,34,0,13,0,2,0,0
ALBANIA,Europe,Southern Europe,823,396,427,151,368,92,0,0,62,104,24,0,0,22,0,11,1,7,34,4,20,3,5,36,6,0,0,7,12,42,10,1,4,0,119,7,5,51,15,10,0,5,3,10,0,0,4,37,2,0,175,18,7,5,50,0,6,1,0,1,44,12,17,0,2,7,4,3,0
ALGERIA,Africa,Northern Africa,284,210,74,39,39,22,6,0,82,70,23,1,0,2,0,1,0,3,39,4,1,5,1,10,3,0,0,8,1,9,3,3,0,1,15,2,1,2,2,2,0,3,0,2,0,1,0,6,0,0,81,2,1,0,7,0,1,0,1,0,20,1,35,0,1,2,2,1,1
ANDORRA,Europe,Southern Europe,10,4,6,0,4,0,0,0,0,0,5,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
ANGOLA,Africa,Central Africa,1650,937,712,389,631,5,6,0,449,67,16,1,9,77,0,0,2,38,66,61,6,21,0,145,32,0,0,5,2,18,69,8,0,40,47,21,1,21,4,7,0,3,1,13,35,0,1,5,0,1,54,4,111,8,24,0,0,36,0,2,674,4,41,0,0,10,2,5,2
ANGUILLA,North America,Caribbean,23,12,11,4,15,2,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
ANTIGhA  AhD BARBUDA,North America,Caribbean,276,121,155,23,199,12,4,0,0,33,3,1,0,1,0,3,1,0,3,0,1,10,3,47,4,0,0,0,1,8,1,1,1,9,5,5,0,3,3,7,0,1,0,3,0,0,0,4,0,0,67,2,1,0,2,1,0,1,0,3,70,0,3,1,0,0,1,0,0
ARGENTINA,South America,South America,2081,1179,902,156,650,375,9,2,183,509,139,20,5,33,0,25,10,9,236,19,27,34,0,279,44,0,4,21,3,116,20,15,7,12,178,32,3,28,15,23,0,10,1,45,2,7,6,34,4,8,399,27,19,14,73,7,16,15,2,20,95,39,41,0,1,8,11,15,2
ARMENIA,Asia,Western Asia,259,126,133,24,52,61,1,0,12,83,15,1,1,9,0,0,0,3,52,1,4,5,0,4,4,0,2,5,0,18,2,2,2,2,30,5,0,12,2,3,0,2,0,4,0,1,0,1,2,2,34,6,2,1,11,0,1,1,0,2,6,15,3,0,2,4,0,0,1
ARUBA,North America,Caribbean,67,40,27,18,35,0,3,0,0,8,0,0,0,3,0,1,0,0,4,0,0,0,0,45,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,4,1,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
