Country of Citizenship,Continent,Region,# of Active Students,Male,Female,ASSOCIATE,BACHELOR'S,DOCTORATE,FLIGHT TRAINING,HIGH SCHOOL,LANGUAGE TRAINING,MASTER'S,OTHER,OTHER VOCATIONAL SCHOOL,PRIMARY,SECONDARY,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
AFGHANISTAN,Asia,Southern Asia,361,205,156,26,180,41,2,0,8,42,10,0,3,49,0,1,0,6,35,3,6,5,0,9,4,0,0,14,1,7,8,7,11,1,29,2,5,6,11,4,0,0,1,15,1,1,4,6,1,1,30,15,4,4,24,0,3,2,2,0,22,3,24,0,10,1,12,0,0
ALBANIA,Europe,Southern Europe,971,458,513,225,421,92,0,0,61,118,18,0,0,36,0,1,5,6,34,3,28,6,8,52,11,0,0,6,13,46,11,3,3,0,129,11,6,72,12,13,0,5,1,7,0,3,5,45,4,3,199,20,4,4,58,0,5,3,0,5,52,10,20,0,3,22,11,2,1
ALGERIA,Africa,Northern Africa,422,320,102,63,52,28,16,0,167,63,17,1,1,14,0,0,0,14,61,5,1,4,1,13,3,0,1,7,0,19,5,3,1,2,22,4,1,5,3,5,0,2,0,5,2,0,1,10,0,0,134,3,0,0,12,0,1,1,1,1,38,0,24,0,0,3,2,0,2
ANDORRA,Europe,Southern Europe,16,9,7,0,6,0,0,0,2,4,1,1,0,2,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGOLA,Africa,Central Africa,1531,875,655,402,763,7,6,0,161,97,14,4,6,71,0,0,2,49,56,54,5,13,0,146,31,0,0,4,0,13,41,5,4,34,36,17,0,36,3,6,0,1,2,24,15,0,0,3,0,0,60,5,102,1,37,0,0,23,1,7,650,2,33,0,0,5,1,3,1
ANGUILLA,North America,Caribbean,23,8,15,2,15,1,0,0,0,2,1,1,0,1,0,1,1,0,0,0,0,0,0,4,1,0,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,2,3,0,0,0,0,0
ANTIGUA AhD  BARBUDA,North America,Caribbean,261,122,139,32,175,10,1,0,0,33,4,3,2,1,0,5,0,0,1,1,2,8,1,47,6,0,0,5,0,6,2,1,1,2,3,4,0,4,4,7,0,1,0,2,0,1,1,5,0,0,75,1,1,0,2,1,0,0,0,1,52,0,3,3,0,0,2,0,0
ARGENTINA,South America,South America,2264,1282,982,196,775,357,8,1,225,515,118,29,7,33,0,28,15,12,299,21,23,42,1,326,52,0,3,20,5,100,26,9,7,11,169,32,4,29,16,32,0,16,1,60,1,8,10,28,5,5,420,27,22,13,69,4,14,17,5,20,102,51,48,0,4,10,11,9,2
ARMENIA,Asia,Western Asia,265,136,129,20,72,67,1,0,15,73,9,1,0,7,0,2,0,0,65,2,2,1,0,7,1,0,0,5,0,12,3,1,2,1,25,3,0,10,2,3,0,2,0,4,1,3,2,6,4,3,24,7,2,2,18,0,2,2,0,2,8,12,4,0,6,3,0,0,1
ARUBA,North America,Caribbean,56,31,25,14,35,0,0,0,0,5,1,0,0,1,0,0,0,0,2,0,0,0,0,30,3,0,0,4,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,1,1,1,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0
