Country of Citizenship,Continent,Region,# of Active Students,Male,Female,ASSOCIATE,BACHELOR'S,DOCTORATE,FLIGHT TRAINING,HIGH SCHOOL,LANGUAGE TRAINING,MASTER'S,OTHER,OTHER VOCATIONAL SCHOOL,PRIMARY,SECONDARY,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
AFGHANISTAN,Asia,Southern Asia,346,201,145,24,180,34,2,0,15,44,6,0,6,35,1,1,0,6,33,5,6,8,0,8,5,0,0,12,2,4,7,5,10,1,30,5,8,3,6,5,0,0,1,14,1,1,3,5,2,1,26,15,5,2,25,0,3,3,2,0,20,2,29,0,9,0,6,0,0
ALBANIA,Europe,Southern Europe,859,404,455,196,351,90,0,0,61,118,24,2,0,17,0,0,3,6,35,5,23,6,5,43,6,0,0,7,11,44,9,1,3,0,110,7,4,67,14,12,0,6,1,7,0,2,5,41,2,2,178,18,2,4,57,0,6,2,0,3,47,8,19,0,2,17,6,2,1
ALGERIA,Africa,Northern Africa,413,317,96,48,47,21,43,0,156,66,20,1,1,10,0,0,0,40,46,4,1,3,1,12,3,0,0,9,0,16,4,3,0,1,25,3,1,2,2,3,0,2,0,3,2,1,0,7,0,0,132,1,0,0,14,0,1,1,1,1,36,0,23,0,1,4,2,1,1
ANDORRA,Europe,Southern Europe,16,7,9,0,4,0,0,0,0,4,3,1,0,4,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ANGOLA,Africa,Central Africa,1525,872,652,409,728,7,5,0,205,84,15,0,4,68,0,0,2,46,54,54,5,16,0,133,29,0,0,4,1,24,43,6,5,31,41,17,0,34,4,6,0,0,2,24,22,0,0,4,0,0,55,4,99,2,27,0,0,26,1,7,650,3,33,0,0,5,1,4,1
ANGUILLA,North America,Caribbean,17,6,11,2,11,1,0,0,0,0,1,1,0,1,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,2,2,0,0,0,0,0
ANTIGUA AND BARBUDA,North America,Caribbean,241,116,125,33,156,9,2,0,0,33,2,3,2,1,0,3,0,0,1,0,2,8,1,42,7,0,0,5,0,7,2,1,1,2,4,4,1,4,2,7,0,1,0,4,0,0,0,2,0,0,66,0,0,0,2,1,0,0,0,1,53,0,3,2,0,0,1,0,1
ARGENTINA,South America,South America,2184,1225,958,180,698,348,7,2,226,519,145,24,4,30,0,27,7,9,276,19,24,43,1,320,55,0,3,20,7,99,23,5,6,10,174,33,1,25,14,33,0,12,1,58,1,8,5,26,4,5,426,25,22,12,71,5,13,15,5,16,103,43,45,0,4,7,10,6,2
ARMENIA,Asia,Western Asia,236,127,109,15,61,58,1,0,14,76,7,1,0,3,0,1,0,1,55,2,1,3,0,4,1,0,2,4,0,16,1,2,2,1,21,3,0,12,2,3,0,2,0,4,1,2,0,3,2,2,26,4,2,1,16,0,2,1,0,2,6,13,3,0,3,2,1,0,1
ARUBA,North America,Caribbean,52,31,21,11,29,0,0,0,0,7,2,0,0,3,0,1,0,0,3,0,1,0,0,32,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
AUSTRALIA,Australia & Pacific Islands,Oceania,4161,2421,1739,390,2123,408,12,1,2,693,304,61,19,147,5,38,20,48,647,51,78,49,3,110,74,0,34,63,20,142,48,38,41,35,362,47,7,48,33,84,0,22,20,100,23,29,17,91,17,17,761,55,66,42,168,0,32,58,20,55,186,56,49,0,15,60,28,38,11
AUSTRIA,Europe,Western Europe,855,439,416,50,271,137,10,0,48,173,87,15,4,60,1,3,1,6,152,16,18,16,0,64,9,0,18,5,1,30,9,3,2,5,98,11,4,7,14,8,0,2,1,12,0,3,2,19,2,1,176,8,4,17,23,1,13,5,0,6,24,6,14,0,1,8,3,3,0
AZERBAIJAN,Asia,Western Asia,495,364,131,32,157,40,0,1,89,131,22,3,3,17,0,1,2,3,69,6,7,22,2,22,3,0,0,3,0,34,3,5,2,2,54,2,2,5,8,27,0,1,0,5,2,0,5,13,3,0,76,6,4,1,13,0,5,0,0,1,33,2,30,0,2,7,0,0,2
"BAHAMAS, THE",North America,Caribbean,2803,1383,1420,395,1813,93,11,3,1,254,23,19,6,185,0,67,141,4,26,7,24,21,2,864,173,0,0,17,4,28,38,51,14,42,33,39,5,46,78,40,0,26,0,94,19,20,3,21,9,2,109,42,124,2,51,2,34,21,12,126,190,2,74,0,6,8,12,29,1
BAHRAIN,Asia,Western Asia,448,315,133,41,298,16,3,0,9,54,13,1,0,13,0,11,1,6,47,9,9,10,0,41,9,0,0,3,2,13,16,2,3,2,94,1,1,17,5,4,0,2,0,2,0,1,1,2,2,0,26,6,1,6,15,0,3,1,1,5,34,0,19,0,1,6,1,7,0
BANGLADESH,Asia,Southern Asia,7465,5600,1863,703,1560,2401,5,0,270,2434,74,0,1,16,4,146,85,63,370,26,102,46,65,366,121,0,10,153,37,192,191,138,71,109,256,90,16,162,224,151,0,58,11,124,81,25,21,90,83,29,1130,285,101,45,202,1,8,107,83,145,1016,54,362,0,5,77,77,35,16
BARBADOS,North America,Caribbean,356,172,184,29,214,25,4,0,0,66,9,4,0,5,0,5,7,4,8,3,3,14,3,85,8,0,0,9,3,11,3,6,5,4,16,9,3,9,3,10,0,3,0,6,1,2,1,10,2,0,44,3,2,5,9,6,2,2,1,6,13,1,6,0,0,0,1,0,0
BASSAS DA INDIA,0,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BELARUS,Europe,Eastern Europe,398,145,253,37,131,70,0,0,74,47,23,0,1,15,1,2,1,4,30,9,4,1,4,26,13,0,1,4,1,19,2,4,2,2,20,2,1,7,9,7,0,0,0,16,0,1,0,12,1,0,105,4,3,2,22,0,1,4,0,3,22,4,12,0,1,1,6,1,1
BELGIUM,Europe,Western Europe,1210,655,555,107,381,125,29,0,213,227,68,17,3,40,1,5,7,35,274,12,10,9,2,80,20,0,8,6,3,39,10,5,5,5,136,18,3,25,10,12,0,2,2,28,1,4,3,16,6,4,205,12,9,4,35,1,6,9,1,13,37,5,21,0,3,21,13,8,1
BELIZE,North America,Central America,341,153,188,53,190,29,0,0,4,49,6,4,0,6,0,5,12,0,40,1,1,1,0,69,21,0,0,3,2,6,0,3,32,6,9,2,0,3,3,15,0,2,0,5,0,0,0,4,6,0,18,3,4,0,4,0,1,1,0,2,38,3,5,1,0,6,3,1,0
BENIN,Africa,Western Africa,342,213,129,96,111,20,0,0,61,37,11,0,0,6,0,8,2,2,12,2,1,6,0,8,11,0,0,6,0,33,8,7,1,3,22,7,2,3,9,9,0,0,0,10,3,18,1,11,1,0,46,5,8,3,18,0,0,0,1,0,34,1,13,0,0,2,3,1,1
BERMUDA,North America,Northern America,538,266,272,50,324,9,1,0,0,44,12,6,7,85,0,44,0,2,15,2,24,5,1,92,49,0,0,2,3,3,3,0,0,1,41,2,16,6,7,3,0,0,0,20,0,4,4,10,0,1,34,5,4,0,26,1,46,13,0,7,8,7,11,0,11,0,0,4,1
BHUTAN,Asia,Southern Asia,153,71,82,16,94,2,8,0,3,23,1,0,0,6,0,0,0,0,7,1,2,2,0,8,0,0,2,1,0,6,0,1,0,0,19,1,2,2,3,7,0,0,0,1,0,0,1,0,0,0,27,6,1,2,19,0,3,0,0,0,25,0,2,0,1,1,0,0,0
BOLIVIA,South America,South America,1196,603,593,153,615,63,5,0,166,130,38,5,3,18,0,6,113,6,62,10,6,38,0,166,25,0,1,11,8,31,34,21,7,30,54,19,3,10,11,35,0,2,0,16,1,4,1,10,9,1,64,20,21,4,28,8,3,11,4,5,140,54,69,0,3,5,3,3,0
BOSNIA AND HERZEGOVINA,Europe,Southern Europe,366,150,216,41,213,29,0,0,18,44,10,0,0,11,0,1,8,1,15,1,8,4,3,33,4,0,0,13,1,45,6,2,3,4,19,12,4,4,4,9,0,0,0,20,0,1,1,10,2,1,40,4,21,3,11,0,3,5,0,1,15,1,12,0,9,0,1,1,0
BOTSWANA,Africa,Southern Africa,189,84,105,14,94,28,0,1,1,40,5,1,0,5,0,1,1,1,17,1,4,6,0,11,1,0,0,3,1,5,5,2,1,1,18,2,0,12,2,7,0,1,0,2,0,1,0,3,2,0,10,22,8,1,8,0,3,0,2,3,8,0,7,0,3,1,2,0,0
BRAZIL,South America,South America,18706,9287,9416,2196,4943,1156,51,2,5325,2712,1418,97,90,716,1,96,71,77,3356,117,208,164,28,4015,361,0,42,131,83,1134,188,184,107,85,1151,188,14,279,145,297,0,72,29,303,20,62,46,470,52,72,1996,190,150,113,418,7,39,105,22,156,747,545,254,0,15,117,97,75,12
BRITISH VIRGIN ISLANDS,North America,Caribbean,116,53,63,15,84,3,0,0,0,8,0,0,1,5,0,4,2,3,0,0,0,0,1,33,11,0,0,0,0,0,0,1,0,0,0,2,0,1,1,10,0,1,0,3,0,0,0,1,0,0,8,1,3,0,2,4,11,1,0,2,7,0,1,2,0,0,0,0,0
BRUNEI,Asia,South-Eastern Asia,48,27,21,3,31,4,0,0,0,6,4,0,0,0,0,0,0,1,7,1,1,4,0,4,1,0,0,1,0,2,1,0,0,0,2,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,11,2,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0
BULGARIA,Europe,Eastern Europe,1132,488,644,123,390,218,1,0,105,211,59,10,1,14,0,2,2,7,121,15,20,11,13,54,16,0,7,7,0,159,14,3,2,10,135,26,8,15,11,20,0,3,4,19,0,2,1,39,2,9,158,19,7,2,63,0,12,10,0,7,34,8,31,0,3,11,5,3,2
BURKINA FASO,Africa,Western Africa,932,635,296,283,196,29,1,0,334,77,8,0,0,4,0,4,5,2,15,0,2,12,2,34,64,0,0,7,1,5,4,9,4,3,18,39,0,6,37,4,0,1,1,4,2,37,2,35,2,1,306,22,4,4,30,0,0,1,7,5,134,3,19,0,0,6,28,2,0
BURMA,Asia,South-Eastern Asia,1340,732,608,230,767,83,6,0,37,141,64,3,2,7,0,9,5,8,333,9,16,6,0,60,10,0,5,22,3,51,24,6,15,7,132,26,1,19,18,39,0,2,2,8,2,0,14,20,1,6,167,21,10,26,64,0,11,5,2,7,37,3,36,0,8,42,18,2,2
BURUNDI,Africa,Eastern Africa,168,92,76,25,104,4,0,0,3,23,2,0,0,7,0,1,2,4,8,3,2,1,0,3,8,0,0,11,3,5,7,1,3,2,8,7,1,2,25,1,0,0,0,4,1,0,0,0,1,0,13,1,11,0,9,0,0,0,0,0,12,2,1,0,1,2,2,0,0
CAMBODIA,Asia,South-Eastern Asia,577,318,259,176,197,21,4,0,40,75,18,0,10,36,0,2,1,4,170,7,2,2,0,10,4,0,5,24,1,8,7,1,5,3,59,6,2,4,21,3,0,0,1,12,1,0,0,4,0,1,29,14,9,17,29,0,8,1,1,0,39,7,12,0,2,37,2,0,0
CAMEROON,Africa,Central Africa,1425,696,728,351,507,147,0,0,72,295,31,3,0,19,0,15,26,9,61,11,4,32,6,51,53,0,7,19,4,41,8,20,8,43,57,93,3,25,54,14,0,19,2,18,17,10,1,28,27,3,72,36,121,5,34,0,4,4,3,10,249,10,39,0,3,16,16,11,3
CANADA,North America,Northern America,28847,14287,14555,1519,13048,5552,28,5,49,4832,2537,190,117,971,59,168,62,388,3644,190,547,302,30,1115,344,2,116,251,219,1175,387,155,160,149,2538,342,266,2038,423,373,0,64,174,455,408,81,244,510,61,68,5568,487,227,388,1263,30,289,147,50,318,815,318,367,2,199,415,268,127,61
CAPE VERDE,Africa,Western Africa,104,57,47,27,37,1,2,0,15,19,0,0,2,1,0,0,0,0,1,0,2,0,0,6,0,0,0,0,0,13,0,0,0,0,59,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,3,5,0,0,0,0,4,0,0,1,0,3,0,0,1,0,0,0,1
