Country of Citizenship,Continent,Region,# of Active Students,Male,Female,ASSOCIATE,BACHELOR'S,DOCTORATE,FLIGHT TRAINING,HIGH SCHOOL,LANGUAGE TRAINING,MASTER'S,OTHER,OTHER VOCATIONAL SCHOOL,PRIMARY,SECONDARY,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
AFGHANISTAN,Asia,Southern Asia,384,164,220,20,200,36,4,0,16,43,9,0,9,47,1,2,0,7,34,6,9,7,0,12,6,0,0,12,2,6,12,5,12,1,37,5,8,3,10,4,0,0,1,14,0,2,3,7,4,2,29,14,4,3,28,0,4,3,2,0,19,3,26,0,11,0,4,0,0
ALBANIA,Europe,Southern Europe,899,460,439,190,376,98,0,0,59,115,24,1,0,36,0,3,3,8,35,7,22,5,5,40,8,0,0,7,8,37,15,2,3,0,121,8,4,65,14,11,0,6,2,10,0,3,6,43,3,1,182,21,4,5,58,0,6,2,0,3,53,11,20,0,2,14,8,4,1
ALGERIA,Africa,Northern Africa,336,75,261,39,43,24,7,0,129,64,25,1,1,3,0,0,0,3,51,4,0,3,1,16,2,0,0,7,0,19,3,3,0,0,26,3,1,1,2,3,0,2,0,2,0,1,0,9,0,0,107,1,1,0,10,0,1,1,1,0,24,1,22,0,1,1,2,1,0
ANDORRA,Europe,Southern Europe,15,7,8,0,4,0,0,0,0,4,1,1,0,5,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ANGOLA,Africa,Central Africa,1759,741,1017,458,803,7,12,0,289,84,8,3,9,86,0,0,2,51,63,56,5,20,0,158,36,0,0,5,1,27,50,7,4,40,42,20,0,39,3,6,0,3,3,25,22,0,0,3,0,0,62,5,118,8,30,0,1,38,2,6,743,1,38,0,0,8,2,4,2
ANGUILLA,North America,Caribbean,18,11,7,4,12,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
ANTIGUA AhD BARBUDA,North America,Caribbean,273,147,126,29,182,10,2,0,0,36,1,4,4,5,0,3,1,0,1,0,2,9,2,46,5,0,0,5,1,6,2,1,1,5,5,5,1,5,3,6,0,1,0,5,0,0,0,2,0,0,77,2,0,1,2,1,0,1,0,2,59,0,1,2,0,0,2,0,0
ARGENTINA,South America,South America,2231,962,1269,165,749,364,9,1,204,535,147,20,6,31,0,39,10,9,280,19,25,42,2,328,56,0,2,21,5,110,22,8,5,11,177,31,2,28,15,31,0,11,1,53,0,8,5,27,6,7,420,27,22,14,71,8,13,13,4,17,99,42,46,0,3,10,11,13,2
ARMENIA,Asia,Western Asia,251,127,124,19,63,59,1,0,10,81,8,3,0,7,0,1,0,1,61,1,2,4,0,4,1,0,2,5,0,17,2,2,2,1,22,4,0,13,2,2,0,2,0,4,1,2,0,3,4,2,26,5,2,1,15,0,2,1,0,2,7,14,3,0,3,2,0,0,1
ARUBA,North America,Caribbean,63,27,36,12,36,0,0,0,0,10,2,0,0,3,0,1,0,0,3,0,1,0,0,38,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,5,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
AUSTRALIA,Australia & Pacific Islands,Oceania,4633,1932,2699,501,2263,428,16,3,2,726,316,155,19,204,3,39,19,47,794,68,90,50,4,131,80,0,39,77,24,152,55,60,42,36,374,55,8,63,48,93,0,21,28,112,31,27,21,100,18,17,793,53,67,43,182,0,31,83,20,63,183,53,60,0,14,70,32,44,16
