Country of Citizenship,Continent,Region,# of Active Students,Male,Female,ASSOCIATE,BACHELOR'S,DOCTORATE,FLIGHT TRAINING,HIGH SCHOOL,LANGUAGE TRAINING,MASTER'S,OTHER,OTHER VOCATIONAL SCHOOL,PRIMARY,SECONDARY,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
AUSTRALIA,Australia&Pacific Islands,Oceania,4892,2811,2079,541,2490,449,9,0,6,729,275,165,10,218,8,36,18,59,807,71,76,41,6,140,70,0,39,120,20,190,55,80,38,36,362,62,16,79,38,105,0,23,24,119,33,29,26,109,17,16,854,65,61,40,200,1,34,74,28,54,213,62,68,0,21,60,29,42,16
AUSTRIA,Europe,Western Europe,940,499,441,61,338,161,16,0,28,166,104,16,2,48,0,7,1,19,177,16,18,13,2,66,10,0,9,8,2,40,12,4,3,5,85,8,3,8,8,14,0,4,1,29,0,4,4,28,2,3,165,16,2,18,27,1,10,14,1,8,30,3,12,0,2,7,5,5,1
AZERBAIJAN,Asia,Western Asia,554,395,156,40,156,56,0,1,75,143,63,3,2,15,0,2,2,3,59,7,4,30,2,34,10,0,0,3,1,33,9,4,6,1,67,1,0,7,4,18,0,1,0,4,2,1,3,12,3,2,86,4,3,0,20,0,3,4,0,0,41,3,40,0,2,5,2,5,1
"BAHAMAS, THE",North America,Caribbean,3238,1566,1672,354,2202,98,20,0,2,295,29,28,8,202,0,66,212,11,29,9,22,19,1,946,179,0,0,19,5,34,59,87,14,29,37,38,8,45,99,56,0,23,4,111,21,19,5,15,5,11,149,75,122,4,48,2,30,25,8,162,233,1,76,0,10,9,15,29,2
BAHRAIN,Asia,Western Asia,458,321,137,40,301,18,2,0,12,56,10,3,1,15,0,8,2,6,67,14,12,11,0,35,7,0,0,2,1,6,12,2,1,1,110,2,0,17,10,4,0,0,0,5,0,1,2,6,1,0,18,7,1,4,9,0,2,1,1,3,37,0,13,0,2,7,2,6,0
BANGLADESH,Asia,Southern Asia,8314,6105,2207,569,1682,3421,2,0,168,2393,59,2,1,17,13,180,90,71,374,31,97,53,93,477,164,0,15,128,63,245,229,131,101,156,263,92,17,217,223,165,0,86,14,173,91,42,21,86,107,32,1021,337,100,55,253,1,24,97,92,189,1069,82,339,0,10,112,112,47,34
BARBADOS,North America,Caribbean,374,175,199,38,221,29,0,0,0,64,13,1,0,8,1,4,5,6,12,4,2,17,3,83,3,0,0,9,3,11,7,5,6,7,21,13,2,9,1,10,0,5,0,8,0,2,1,12,1,0,43,4,2,2,11,2,6,2,1,4,17,1,5,0,0,0,0,1,0
BASSAS DA  INDIA,0,,6,2,4,1,0,0,1,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BELARUS,Europe,Eastern Europe,458,191,267,47,152,87,1,0,64,52,22,3,2,28,0,3,3,6,43,4,7,3,3,23,19,0,0,4,0,27,5,5,1,2,20,7,1,10,8,11,0,0,0,12,2,1,0,17,1,1,104,7,4,3,26,0,1,2,1,3,27,6,9,0,3,8,3,1,1
BELGIUM,Europe,Western Europe,1260,713,547,106,444,115,32,0,167,240,84,19,4,49,1,4,6,33,257,11,12,13,2,109,24,0,5,7,5,51,14,7,6,5,140,7,5,24,9,15,0,2,2,24,0,3,5,19,5,2,192,14,12,7,48,3,7,9,1,13,42,7,26,0,6,24,5,9,1
BELIZE,North America,Central America,388,180,207,41,224,34,4,0,2,61,8,5,0,9,0,7,18,3,36,3,2,0,0,76,22,0,0,4,1,6,0,1,34,7,15,0,0,7,2,19,0,2,0,7,0,1,1,4,5,1,21,6,3,1,3,0,1,1,1,3,46,2,2,0,0,6,8,0,0
BENIN,Africa,Western Africa,323,205,118,99,94,23,0,0,53,43,9,0,0,2,0,3,2,1,16,2,1,3,1,8,13,0,0,8,1,30,4,4,2,3,16,10,2,4,11,7,0,0,0,8,3,25,1,6,0,0,43,4,5,2,17,0,0,2,1,0,38,0,11,0,0,2,1,2,0
BERMUDA,North America,Northern America,555,264,291,47,335,11,0,0,0,38,7,4,11,102,0,34,1,2,18,4,22,5,4,93,46,0,0,0,1,5,4,0,0,1,42,7,29,6,2,2,0,0,0,24,0,13,7,12,0,2,33,9,2,0,21,0,31,14,0,16,11,5,13,0,8,0,0,5,1
BHUTAN,Asia,Southern Asia,163,76,87,12,112,3,8,0,1,21,1,0,0,5,0,0,1,1,10,0,1,2,0,11,1,0,2,3,0,6,0,0,0,0,15,0,2,0,0,5,0,0,2,0,0,0,2,0,0,0,24,4,1,2,20,0,2,0,0,0,36,1,3,0,3,3,0,0,0
BOLIVIA,South America,South America,1276,649,627,169,686,68,8,0,121,154,47,1,3,19,0,8,125,15,75,17,5,18,3,186,34,0,1,13,6,29,41,26,9,25,57,18,3,8,14,37,0,4,2,20,1,3,1,11,9,0,74,27,25,9,31,5,2,5,2,8,127,50,73,0,2,3,7,2,0
BOSNIA AND  HERZEGOVINA,Europe,Southern Europe,359,151,208,42,216,33,0,0,11,37,11,0,0,9,0,1,5,4,15,1,9,3,4,36,4,0,0,11,2,28,6,4,4,5,21,9,4,4,3,10,0,0,2,18,1,1,2,14,2,1,35,5,19,5,13,0,3,6,0,3,13,1,8,0,11,1,1,1,0
BOTSWANA,Africa,Southern Africa,201,90,111,15,115,27,0,0,0,34,4,2,0,4,0,2,1,2,20,2,4,5,0,11,1,0,0,6,2,7,5,0,2,0,16,5,1,16,1,5,0,1,0,1,0,0,1,2,2,0,17,18,6,1,11,0,5,0,2,3,8,0,5,0,2,2,0,0,0
BRAZIL,South America,South America,23901,11850,12047,2924,6287,1446,36,0,6878,3271,1648,132,118,1159,1,104,88,141,3874,191,249,179,40,5335,503,0,51,231,105,1072,281,276,110,113,1753,174,24,341,192,358,0,91,36,353,24,105,51,1054,51,79,2294,251,163,151,522,6,45,123,31,196,959,781,354,2,26,130,120,92,20
BRITISH VIRGIN  ISLANDS,North America,Caribbean,105,40,65,15,73,1,0,0,0,8,0,1,2,5,0,2,1,2,1,1,0,0,1,31,5,0,0,2,0,0,1,1,0,0,2,2,0,2,0,16,0,0,0,1,0,0,0,1,1,0,11,1,0,0,3,3,8,1,0,1,2,0,0,2,0,0,0,0,0
BRUNEI,Asia,South-Eastern Asia,43,22,21,6,31,2,0,0,0,3,1,0,0,0,0,0,0,2,12,0,0,1,0,2,1,0,0,0,0,1,1,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0
BULGARIA,Europe,Eastern Europe,950,414,536,74,378,185,1,0,60,168,55,10,0,19,2,2,1,10,108,7,16,5,10,51,16,0,3,9,1,117,6,4,1,11,110,19,5,12,9,18,0,5,2,18,1,1,1,32,4,12,135,13,7,4,48,0,7,9,0,6,31,2,30,0,1,16,7,1,4
BURKINA FASO,Africa,Western Africa,787,521,266,291,214,27,0,0,164,73,12,0,0,6,0,2,3,0,12,2,2,11,1,32,68,0,0,8,4,9,6,6,2,0,16,30,0,4,34,4,0,0,0,6,2,36,1,39,2,1,178,25,5,4,31,0,0,1,7,4,130,2,23,0,1,5,26,2,0
BURMA,Asia,South-Eastern Asia,1756,999,757,328,916,112,9,0,64,191,105,6,4,21,0,6,4,14,514,12,10,15,1,80,19,0,3,26,2,67,40,26,18,9,137,29,3,24,26,41,0,0,2,11,1,2,12,17,3,7,211,27,21,37,61,0,4,8,1,13,40,1,38,0,10,81,20,2,0
BURUNDI,Africa,Eastern Africa,163,85,78,17,114,8,0,0,3,11,4,0,0,6,0,1,2,4,7,2,3,1,0,4,5,0,0,10,2,5,3,4,3,1,6,2,1,2,23,0,0,0,0,3,1,0,1,2,0,0,13,0,11,0,17,0,0,1,0,3,5,5,2,0,1,3,4,0,0
CAMBODIA,Asia,South-Eastern Asia,743,391,352,208,293,22,3,0,36,83,13,3,7,75,0,1,1,6,221,7,4,3,0,10,9,0,4,24,2,14,8,4,10,3,67,10,2,7,24,4,0,1,2,12,1,0,2,9,1,3,31,13,8,15,38,0,12,3,1,6,48,10,20,0,3,56,2,1,0
CAMEROON,Africa,Central Africa,1592,813,779,396,502,172,1,0,92,353,38,1,1,36,0,19,24,15,84,9,9,28,7,44,73,0,5,21,4,42,14,21,11,47,62,111,6,26,78,19,0,15,1,22,11,13,5,23,30,2,63,40,131,4,55,0,3,6,3,17,254,11,41,0,1,22,23,14,3
CANADA,North America,Northern America,30034,15171,14856,1593,13666,5946,24,0,51,4839,2276,347,128,1164,60,174,75,396,3847,254,580,285,24,1143,404,3,131,290,235,1216,412,164,148,139,2579,359,259,2191,423,426,0,57,173,426,455,111,302,506,65,70,5573,538,207,438,1354,26,283,138,63,327,853,369,367,4,163,436,279,143,91
CAPE VERDE,Africa,Western Africa,81,41,40,15,43,2,1,0,2,4,12,1,0,1,0,0,0,0,1,0,2,0,0,5,0,0,0,0,1,10,0,0,0,0,34,2,0,3,0,0,0,0,0,0,0,1,0,1,0,0,4,5,0,0,3,0,3,0,0,1,1,2,0,0,1,0,0,0,1
CAYMAN ISLANDS,North America,Caribbean,225,98,126,23,142,6,2,0,1,18,1,1,5,26,0,2,0,0,4,0,2,2,0,112,15,0,0,1,0,5,3,1,0,1,4,1,0,4,4,5,0,0,0,5,0,1,0,1,1,0,12,2,3,0,6,0,3,4,0,4,7,0,9,0,0,1,0,0,0
CENTRAL AFRICAN  REPUBLIC,Africa,Central Africa,19,12,7,2,7,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
CHAD,Africa,Central Africa,64,36,28,12,22,3,1,0,15,9,0,0,0,2,0,2,1,1,2,1,0,3,0,5,4,0,0,1,1,0,0,0,2,0,4,6,0,0,0,1,0,0,1,0,0,0,0,2,0,0,4,0,0,2,0,0,0,1,0,1,18,0,1,0,0,0,0,0,0
CHILE,South America,South America,2560,1630,930,167,570,427,12,0,504,624,130,17,17,92,0,12,13,25,450,27,16,22,4,184,45,3,22,14,42,121,45,15,11,11,214,37,7,42,22,46,0,4,4,53,3,4,6,24,4,4,391,30,8,22,75,5,9,19,1,17,103,214,38,0,6,22,34,8,1
CHINA,Asia,China,382908,199484,183273,14482,139477,51678,2560,1,14090,116185,10576,189,1913,31755,31,3204,822,7719,73573,3928,5943,4734,2574,9621,7408,13,493,4693,366,17872,9738,2417,1285,1685,26186,7155,924,11944,4799,6482,162,489,142,6242,422,2116,1498,9977,459,875,49891,14778,2080,5701,22946,20,2116,1839,204,2322,14994,1919,7423,0,995,11281,5681,557,157
CHRISTMAS  ISLAND,Australia&Pacific Islands,Oceania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLOMBIA,South America,South America,10667,5160,5507,1205,2776,1246,165,0,2619,2020,401,48,29,160,2,61,38,71,867,115,108,149,47,1829,409,1,8,109,34,419,182,72,31,151,812,156,11,94,116,134,0,53,4,158,3,81,20,316,34,32,1527,141,106,48,224,255,22,76,12,79,749,254,222,0,8,90,71,53,5
COMOROS,Africa,Eastern Africa,11,6,5,5,0,0,0,0,1,3,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONGO (BRAZZAVILLE),Africa,Central Africa,243,119,124,78,91,4,0,0,33,28,4,1,0,4,0,0,0,1,14,8,0,9,1,9,6,0,0,6,1,6,2,3,0,1,11,8,1,4,9,5,0,0,0,18,2,4,0,9,1,0,36,0,5,3,7,0,0,0,1,3,39,0,1,0,1,5,1,1,1
CONGO (KINSHASA),Africa,Central Africa,1535,858,677,515,617,29,10,0,153,121,21,4,5,60,0,12,31,14,77,17,7,18,3,62,78,0,0,34,5,64,48,27,33,7,49,43,4,28,59,21,0,1,1,68,6,13,9,15,1,3,33,51,11,15,39,0,0,0,20,16,225,64,51,0,3,82,30,33,4
COSTA RICA,North America,Central America,1169,649,520,64,553,214,5,0,37,212,38,9,4,33,0,8,25,14,111,21,10,28,0,120,63,0,2,14,4,45,34,18,4,17,103,14,1,26,22,19,0,1,4,37,0,2,3,17,6,5,101,19,6,11,38,5,5,18,2,22,55,15,47,0,2,9,8,5,3
COTE D'IVOIRE,Africa,Western Africa,1550,805,745,364,721,40,0,0,115,262,27,0,8,13,0,22,84,5,103,8,3,18,7,30,93,1,0,7,2,15,46,13,10,22,50,42,3,18,118,17,0,1,0,29,3,25,3,33,5,0,86,19,88,8,33,0,1,2,3,15,364,19,36,0,0,18,18,2,2
CROATIA,Europe,Southern Europe,636,334,302,56,337,77,0,0,19,104,22,0,0,21,0,8,9,6,67,10,14,7,1,41,9,0,1,3,1,33,16,10,3,5,36,15,3,6,8,9,0,7,0,20,1,2,5,10,2,5,81,9,25,0,29,1,5,6,5,11,46,4,16,0,3,7,8,6,1
CUBA,North America,Caribbean,70,35,35,2,16,23,0,0,2,19,6,0,0,2,0,1,0,0,4,0,0,2,0,10,1,0,0,0,0,0,1,1,0,4,6,1,0,2,1,0,0,2,1,2,0,0,0,2,0,0,14,0,1,1,0,3,0,0,0,1,3,0,1,0,0,1,1,0,3
CURACAO,North America,Caribbean,197,129,68,87,73,0,0,0,1,5,0,0,0,31,0,0,4,0,3,1,0,0,0,83,9,0,0,7,1,1,0,2,0,2,1,2,0,0,3,20,0,2,0,3,0,7,0,0,0,1,35,1,2,0,0,1,0,0,1,0,3,0,0,0,0,0,1,1,0
CYPRUS,Asia,Western Asia,412,256,156,21,204,85,0,0,10,70,14,1,1,6,0,5,0,6,62,2,6,9,0,23,5,0,0,4,1,20,14,2,1,3,51,11,1,5,6,3,0,0,1,9,0,0,0,7,0,1,101,13,1,4,13,0,4,2,0,3,10,0,2,0,0,1,0,0,0
CZECH REPUBLIC,Europe,Eastern Europe,972,478,493,108,384,99,1,0,59,110,54,11,22,124,3,9,3,9,134,10,26,6,0,118,16,0,15,7,4,44,9,30,7,3,60,7,25,28,11,13,0,3,4,18,5,10,14,20,6,1,101,16,6,3,33,0,5,19,3,6,25,11,14,0,16,17,18,0,1
DENMARK,Europe,Northern Europe,1288,674,614,87,496,87,0,0,48,142,357,23,3,45,1,21,9,5,395,15,18,9,2,76,24,0,27,10,3,29,12,5,11,4,59,8,8,27,31,16,0,3,2,45,1,3,3,13,5,1,203,16,12,13,38,0,3,17,0,9,24,18,8,0,5,7,8,6,0
DJIBOUTI,Africa,Eastern Africa,3,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOMINICA,North America,Caribbean,430,132,298,32,300,24,1,0,1,56,3,0,0,13,0,3,13,2,5,1,6,1,1,32,4,0,0,2,0,3,0,3,0,81,7,10,0,4,5,1,0,1,0,8,1,0,0,3,0,0,56,2,5,1,8,0,0,1,0,2,139,0,6,10,0,2,1,0,0
DOMINICAN  REPUBLIC,North America,Caribbean,1741,935,806,240,814,63,4,0,234,235,46,4,8,93,0,10,9,8,28,9,12,35,2,312,68,0,3,16,4,53,22,10,11,15,173,7,2,38,7,14,0,3,0,21,2,9,1,37,5,0,376,16,30,2,61,79,34,15,1,29,62,48,16,1,5,6,9,4,1
ECUADOR,South America,South America,3451,1886,1564,330,1551,298,41,0,401,560,210,11,2,47,1,14,5,28,232,28,27,56,5,610,117,0,6,50,12,182,182,27,21,51,245,31,3,29,45,52,0,9,1,64,4,13,2,95,30,7,394,40,27,18,141,21,32,20,11,28,196,95,63,0,6,28,27,17,1
EGYPT,Africa,Northern Africa,3521,2698,823,296,1306,986,41,0,120,573,116,10,10,63,1,28,14,69,429,40,51,41,3,288,73,0,1,87,9,128,99,47,31,36,211,64,6,86,82,55,0,11,5,71,15,30,10,69,15,12,382,140,18,27,168,0,9,6,20,24,241,23,128,0,8,41,44,14,11
EL SALVADOR,North America,Central America,1308,678,629,186,658,58,3,0,140,128,100,2,4,29,0,10,42,6,144,4,5,27,1,168,46,0,1,14,10,50,24,8,11,31,68,23,2,14,18,15,0,2,0,30,0,2,2,16,4,3,88,15,16,6,45,9,17,12,2,11,174,35,57,0,4,11,4,0,0
EQUATORIAL  GUINEA,Africa,Central Africa,422,196,226,176,153,1,1,0,56,13,5,0,10,7,0,12,0,3,14,0,0,14,0,6,22,0,0,0,0,5,0,1,1,2,3,1,0,1,0,14,0,0,0,4,0,0,0,0,2,0,11,2,0,0,10,0,0,2,0,2,241,1,18,0,0,30,0,0,0
ERITREA,Africa,Eastern Africa,123,87,36,10,30,30,0,0,0,52,0,0,0,1,0,3,1,1,6,1,2,1,0,14,2,0,0,18,0,8,0,2,2,0,1,7,0,4,0,0,0,0,1,2,0,2,0,0,2,2,6,9,1,2,2,0,2,0,0,0,8,1,0,0,0,2,0,3,5
ESTONIA,Europe,Northern Europe,161,77,84,12,88,20,0,0,4,24,5,1,0,7,1,1,0,1,26,3,5,1,0,18,10,0,0,0,0,6,1,1,2,2,9,3,1,4,1,4,0,2,1,4,0,0,2,0,0,1,17,0,0,0,6,0,0,2,1,4,7,0,5,0,1,4,0,2,2
ETHIOPIA,Africa,Eastern Africa,2239,1208,1031,246,1121,296,0,1,25,345,22,0,7,176,0,7,18,22,127,24,35,31,1,35,50,0,1,142,10,53,65,23,81,8,127,63,9,61,216,33,0,48,4,43,9,33,20,20,12,4,160,69,36,22,96,0,4,33,51,33,116,12,75,0,5,51,17,21,3
FAROE ISLANDS,Europe,Northern Europe,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIJI,Australia&Pacific Islands,Melanesia,66,29,37,21,26,5,1,0,1,9,1,1,0,1,0,0,1,0,17,0,2,0,0,5,2,0,1,0,0,2,0,1,0,0,1,2,0,0,1,2,0,2,0,0,0,0,0,0,2,0,5,0,0,1,3,0,0,0,0,1,1,7,1,0,0,3,2,1,0
FINLAND,Europe,Northern Europe,779,397,382,71,390,57,1,0,6,79,55,15,11,94,3,9,2,11,127,13,17,5,1,65,26,0,12,11,5,8,6,11,4,6,55,1,8,12,19,8,0,3,1,12,4,3,12,12,4,1,91,20,4,5,24,0,3,10,4,14,34,10,33,0,9,4,12,3,2
FRANCE,Europe,Western Europe,8764,4776,3984,673,2787,949,55,0,963,2066,914,60,21,276,3,63,23,133,2148,69,98,107,21,635,237,0,58,39,20,307,85,83,32,70,660,74,27,110,56,119,0,31,10,293,2,14,17,134,27,20,1616,100,57,39,277,7,33,76,5,38,317,71,87,0,24,103,49,38,2
FRENCH GUIANA,South America,South America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRENCH POLYNESIA,Australia&Pacific Islands,Polynesia,13,9,4,3,6,1,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
GABON,Africa,Central Africa,423,197,226,174,132,3,0,0,59,48,4,0,2,1,0,0,5,1,19,5,5,18,3,6,15,0,0,2,1,10,6,1,0,9,19,28,0,5,3,3,0,0,0,5,0,9,0,1,0,1,32,3,20,4,8,0,0,1,1,2,159,1,5,0,0,3,2,2,0
"GAMBIA, THE",Africa,Western Africa,285,153,132,70,133,13,0,0,2,59,7,0,0,1,0,0,4,2,7,0,3,3,0,9,9,0,0,5,0,8,2,6,4,0,4,12,0,16,23,13,0,4,0,13,1,5,0,2,0,0,19,15,4,1,4,0,0,1,3,4,57,1,4,0,2,11,3,1,0
GAZA STRIP,Asia,Western Asia,131,107,24,27,45,32,0,0,7,19,1,0,0,0,0,1,1,2,13,1,0,2,0,10,5,0,0,3,0,5,1,2,1,1,4,1,0,8,1,1,0,0,0,6,3,0,1,1,0,0,16,4,0,4,6,0,0,1,1,0,9,7,7,0,0,1,1,0,0
GEORGIA,Asia,Western Asia,620,350,270,43,330,59,0,0,32,113,22,2,0,19,0,3,2,5,48,5,11,13,1,22,21,0,1,8,1,36,15,2,2,0,75,11,3,9,6,13,0,5,0,4,0,2,2,14,2,1,151,10,3,4,41,0,4,2,0,3,13,1,23,0,4,5,8,3,2
GERMANY,Europe,Western Europe,9217,5001,4214,462,3042,1285,108,0,500,1444,1333,189,28,825,21,109,24,119,2353,106,162,81,13,620,208,0,138,65,28,264,114,52,58,63,688,78,43,201,74,154,0,38,23,274,15,21,52,142,40,25,1014,118,49,88,300,7,48,144,21,128,274,61,140,0,36,92,174,49,8
GHANA,Africa,Western Africa,3338,2101,1237,134,1203,749,3,0,6,1137,31,0,3,72,2,36,34,68,91,25,68,48,17,138,84,0,1,45,43,176,86,28,31,38,174,74,15,178,90,102,0,41,17,113,26,24,28,41,33,8,224,293,57,11,163,0,13,29,62,83,162,32,81,0,8,19,46,21,11
GIBRALTAR,Europe,Southern Europe,3,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GREECE,Europe,Southern Europe,2298,1362,936,73,783,853,0,0,25,463,65,7,3,26,1,5,4,10,323,13,45,40,10,92,44,0,2,8,1,123,33,6,4,17,358,49,4,59,40,29,0,7,2,46,0,9,6,80,3,8,420,43,7,3,117,0,27,11,2,17,80,7,36,1,6,14,18,7,1
GREENLAND,North America,Northern America,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRENADA,North America,Caribbean,216,95,121,30,119,15,1,0,1,43,3,1,1,2,0,0,2,3,6,0,1,6,0,16,1,0,1,1,2,10,2,5,0,4,2,1,0,3,2,4,0,3,0,1,0,0,0,3,1,0,46,3,4,0,4,1,0,1,0,3,67,1,2,1,0,0,3,0,0
GUADELOUPE,North America,Caribbean,4,2,2,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUATEMALA,North America,Central America,1222,686,536,121,669,88,8,0,53,173,30,10,18,52,1,5,35,12,105,22,10,11,2,156,50,0,4,5,16,41,54,6,6,33,92,9,5,28,15,12,0,4,5,15,2,2,4,10,5,0,91,24,7,3,39,10,9,10,1,18,112,60,33,0,3,9,8,1,2
