Country of Citizenship,Continent,Region,# of Active Students,Male,Female,ASSOCIATE,BACHELOR'S,DOCTORATE,FLIGHT TRAINING,HIGH SCHOOL,LANGUAGE TRAINING,MASTER'S,OTHER,OTHER VOCATIONAL SCHOOL,PRIMARY,SECONDARY,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
AFGHANISTAN,Asia,Southern Asia,326,180,146,19,164,47,0,0,5,40,6,0,1,44,0,1,0,3,16,5,7,7,1,10,3,0,0,14,0,8,10,8,6,1,34,3,5,2,11,4,0,0,1,10,1,1,4,8,2,1,27,10,3,2,20,0,3,2,0,2,18,5,23,0,11,2,10,1,0
ALBANIA,Europe,Southern Europe,1058,496,562,260,454,95,0,0,65,113,32,1,1,37,0,2,7,6,38,5,26,9,9,51,12,0,0,7,17,57,10,8,4,1,129,7,4,81,15,14,0,4,3,11,0,3,4,61,1,3,234,18,4,4,66,0,4,0,2,9,51,8,16,0,1,20,10,1,1
ALGERIA,Africa,Northern Africa,434,337,97,69,57,33,45,0,127,53,39,0,1,10,0,1,1,44,55,1,0,1,2,9,5,0,0,5,0,21,4,1,2,1,20,5,1,7,3,5,0,2,0,5,2,0,4,17,0,0,138,1,1,0,11,0,2,0,2,1,26,0,20,0,0,4,2,0,2
ANDORRA,Europe,Southern Europe,15,9,6,0,7,0,1,0,1,1,0,1,0,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ANGOLA,Africa,Central Africa,1361,773,587,322,769,12,10,0,78,99,10,1,9,51,0,0,1,68,57,35,4,11,0,137,21,0,0,4,0,8,33,5,2,25,29,16,1,37,1,6,0,2,4,16,11,1,0,4,1,0,50,6,85,2,43,0,0,14,1,7,572,3,27,0,0,7,0,3,1
ANGUILLA,North America,Caribbean,16,6,10,1,10,1,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2,0,1,0,0,0,0,0,0
ANTIGUA AND  BARBUDA,North America,Caribbean,234,118,116,23,156,5,3,0,0,33,4,7,1,2,0,3,2,0,2,1,2,7,1,48,5,0,0,4,0,6,2,0,0,1,5,3,0,3,4,6,0,0,0,1,0,2,1,2,0,0,73,2,0,1,1,1,0,0,0,1,33,0,5,5,0,1,0,0,0
ARGENTINA,South America,South America,2328,1326,1002,204,879,343,9,0,195,517,108,25,7,41,0,32,14,13,312,17,20,42,3,355,65,0,2,21,6,96,32,22,9,12,185,29,2,31,17,37,0,14,1,67,1,8,11,23,7,2,399,24,20,9,73,4,13,20,4,26,94,54,40,0,6,8,17,8,1
ARMENIA,Asia,Western Asia,297,149,148,23,86,76,0,0,14,81,11,0,1,5,0,3,0,0,73,2,2,0,1,8,2,0,1,5,0,18,6,1,3,2,22,0,2,11,4,2,0,2,0,6,1,1,4,8,2,3,32,6,3,0,15,0,2,2,0,2,10,12,7,0,6,4,1,0,0
ARUBA,North America,Caribbean,66,41,25,21,34,0,0,0,1,8,0,0,0,2,0,1,0,0,3,0,0,0,0,30,6,0,0,3,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,2,4,1,0,0,0,6,0,0,1,0,1,0,0,1,0,0,0
