Country of Citizenship,Continent,Region,# of Active Students,Male,Female,ASSOCIATE,BACHELOR'S,DOCTORATE,FLIGHT TRAINING,HIGH SCHOOL,LANGUAGE TRAINING,MASTER'S,OTHER,OTHER VOCATIONAL SCHOOL,PRIMARY,SECONDARY,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
BELGIUM,Europe,Western Europe,1251,701,550,114,440,117,28,0,192,238,55,16,4,47,2,7,6,29,271,12,13,13,2,104,28,0,10,6,5,49,14,7,6,5,138,10,5,25,11,14,0,2,2,21,0,3,5,20,5,3,192,11,12,6,32,1,7,8,1,14,42,7,23,0,5,25,3,8,1
BELIZE,North America,Central America,389,182,206,37,223,32,4,0,3,66,10,5,0,9,0,7,21,3,36,3,2,0,0,77,20,0,0,4,1,7,0,0,33,8,13,0,0,7,2,19,0,4,0,7,0,1,1,4,5,1,18,6,5,1,2,0,1,0,1,3,48,2,2,0,0,6,8,0,0
BENIN,Africa,Western Africa,317,201,116,101,94,23,0,0,45,46,6,0,0,2,0,4,2,0,13,2,1,3,1,8,14,0,0,7,1,30,4,3,2,3,14,13,2,4,10,7,0,0,0,8,3,24,1,5,0,0,42,3,5,2,16,0,0,2,0,0,39,0,11,0,0,2,2,4,0
BERMUDA,North America,Northern America,541,257,284,47,316,13,0,1,0,39,6,3,10,106,0,36,1,3,17,5,21,5,3,92,43,0,0,0,1,5,4,0,0,1,39,7,27,6,2,2,0,1,0,26,0,13,8,8,0,2,30,10,2,0,21,0,29,14,0,18,10,5,12,0,7,0,0,5,0
BHUTAN,Asia,Southern Asia,162,75,87,13,108,1,11,0,1,21,1,0,0,6,0,0,1,1,8,0,1,2,0,14,1,0,2,3,0,5,0,0,0,0,15,0,2,0,0,6,0,0,1,0,0,0,1,0,0,0,26,4,1,2,20,0,2,0,0,0,35,1,3,0,1,3,0,0,1
BOLIVIA,South America,South America,1322,684,637,168,699,68,8,0,149,162,41,2,3,22,0,9,128,15,79,16,4,20,3,210,36,0,0,11,7,33,39,28,10,26,54,19,3,9,11,38,0,4,2,21,1,2,1,10,9,0,76,27,25,9,38,6,2,5,2,8,124,57,67,0,2,6,8,2,0
BOSNIA AND HERZEGOVINA,Europe,Southern Europe,362,156,206,43,216,33,0,0,12,39,10,0,0,9,0,2,5,4,14,1,9,4,4,37,4,0,0,9,2,28,7,4,4,5,20,10,5,3,3,11,0,0,2,17,1,1,2,14,2,1,37,5,18,5,13,0,3,6,0,3,11,1,10,0,12,1,1,1,0
BOTSWANA,Africa,Southern Africa,205,91,114,16,118,27,0,0,0,34,4,2,0,4,0,2,1,2,21,2,4,5,0,12,1,0,0,6,2,7,5,0,2,0,15,5,1,16,1,5,0,1,0,2,0,0,1,1,2,0,17,18,7,1,12,0,5,0,3,3,6,0,7,0,2,2,0,0,0
BRAZIL,South America,South America,24858,12236,12618,3072,6346,1469,40,0,7448,3350,1680,127,124,1202,1,111,88,150,4143,186,243,181,37,5677,532,0,58,234,112,1109,292,286,107,109,1831,193,24,340,195,375,0,86,35,347,21,105,50,1008,52,90,2353,256,164,144,522,4,44,118,32,206,990,856,360,2,25,139,121,94,20
BRITISH VIRGIN ISLANDS,North America,Caribbean,112,44,68,16,79,1,0,0,0,9,0,1,2,4,0,2,1,1,1,1,0,0,1,31,6,0,0,2,0,0,1,1,0,0,2,2,0,2,0,17,0,0,0,1,0,0,0,1,2,0,12,2,0,0,3,3,8,1,0,1,5,0,0,2,0,0,0,0,0
BRUNEI,Asia,South-Eastern Asia,45,21,24,7,31,2,0,0,0,3,2,0,0,0,0,0,0,2,14,0,0,2,0,3,1,0,0,0,0,1,1,0,0,0,3,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0
BULGARIA,Europe,Eastern Europe,916,393,523,71,370,178,1,0,55,162,51,9,0,19,2,2,1,10,104,7,17,2,7,49,14,0,3,9,1,111,6,6,1,9,107,16,5,12,10,18,0,5,2,16,1,1,1,30,4,12,132,16,7,4,48,0,7,9,0,5,30,2,30,0,1,14,6,1,3
BURKINA FASO,Africa,Western Africa,773,509,264,286,220,29,1,0,147,71,13,0,0,6,0,0,3,0,9,2,2,10,4,33,77,0,0,8,4,11,6,5,1,0,17,28,0,3,38,3,0,0,0,5,1,38,0,38,3,1,173,25,5,4,30,0,0,1,7,4,115,3,23,0,1,6,25,1,0
BURMA,Asia,South-Eastern Asia,1800,1019,781,366,936,103,8,0,55,189,111,6,5,21,0,6,4,12,553,12,10,15,1,82,16,0,3,28,2,66,39,16,19,10,135,32,3,24,24,46,0,0,2,14,0,2,12,16,3,7,213,25,21,41,62,0,4,8,1,14,41,3,36,0,10,85,20,2,0
BURUNDI,Africa,Eastern Africa,170,89,81,21,117,8,0,0,1,11,5,0,0,7,0,1,2,3,7,2,3,1,0,4,4,0,0,10,2,9,4,5,3,1,6,2,1,2,22,1,0,0,0,3,1,0,1,2,0,0,14,0,8,0,16,0,0,1,0,4,10,5,3,0,1,2,4,0,0
CAMBODIA,Asia,South-Eastern Asia,811,421,390,239,301,22,3,0,42,92,22,2,9,79,0,1,1,6,244,9,4,3,0,11,9,0,4,22,2,16,7,3,12,3,75,9,3,6,25,5,0,1,2,12,0,0,3,10,1,3,34,15,10,14,40,0,14,5,1,7,51,10,22,0,3,70,2,1,0
CAMEROON,Africa,Central Africa,1613,822,791,410,497,178,1,0,88,353,44,2,1,39,0,17,27,16,95,8,9,25,8,41,74,0,4,23,4,43,15,22,13,49,57,120,5,28,77,21,0,16,1,21,10,14,5,26,33,2,68,37,118,5,55,0,2,5,10,18,253,12,42,0,1,21,20,14,3
CANADA,North America,Northern America,29750,15019,14725,1584,13489,5861,27,0,53,4792,2299,318,137,1190,58,172,73,386,3831,251,570,281,24,1137,393,3,133,277,229,1218,411,163,155,138,2567,363,250,2197,406,414,0,56,156,425,437,108,300,512,67,65,5510,526,214,449,1346,26,277,133,62,322,852,367,352,6,163,432,267,139,81
CAPE VERDE,Africa,Western Africa,74,35,39,15,36,2,2,0,2,4,11,1,0,1,0,0,0,0,1,0,2,0,0,4,0,0,0,0,1,10,0,0,0,0,30,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,4,5,0,0,3,0,3,0,0,1,2,1,0,0,1,0,0,0,1
CAYMAN ISLANDS,North America,Caribbean,219,98,120,21,141,5,1,0,1,16,1,1,5,27,0,2,0,1,5,0,2,2,0,106,16,0,0,0,0,4,3,2,0,1,5,1,0,5,3,5,0,0,0,4,0,1,0,0,1,0,12,2,2,0,6,0,3,4,0,5,6,1,8,0,0,1,0,0,0
CENTRAL AFRICAN REPUBLIC,Africa,Central Africa,22,16,6,5,8,0,0,0,7,0,1,0,0,1,0,0,0,0,3,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0
CHAD,Africa,Central Africa,64,37,27,14,20,3,1,0,14,9,0,0,0,3,0,2,2,1,3,1,0,3,0,5,4,0,0,1,1,0,0,0,2,0,4,6,0,0,0,1,0,0,1,0,0,0,0,2,0,0,3,0,0,2,1,0,0,1,0,1,16,0,1,0,0,0,0,0,0
CHILE,South America,South America,2703,1701,1002,176,577,424,13,0,651,621,138,15,17,71,0,18,11,26,496,26,16,19,4,182,46,2,24,18,43,101,45,13,11,12,228,39,7,41,20,48,0,4,3,56,2,3,7,26,4,7,450,31,7,22,77,4,9,12,1,18,111,241,39,0,5,22,37,8,1
CHINA,Asia,China,377070,196733,180214,14626,136880,51312,2727,1,12271,114753,9607,173,2007,32713,30,3204,830,7494,72922,3786,5805,4777,2515,9644,7430,13,467,4551,355,17341,9456,2319,1283,1703,26200,7017,951,11670,4797,6223,157,488,140,6113,422,2051,1473,9846,447,854,48956,14452,1985,5480,22758,18,2076,1818,206,2286,14768,1923,7294,0,989,10936,5668,531,152
CHRISTMAS ISLAND,Australia&Pacific Islands,Oceania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLOMBIA,South America,South America,10694,5194,5499,1230,2821,1249,172,0,2526,2036,430,41,24,165,1,59,35,72,882,118,103,143,43,1824,419,0,8,107,36,409,183,69,36,151,790,164,11,95,122,140,0,56,4,156,2,91,20,317,39,31,1509,139,119,53,220,261,24,79,13,78,733,291,222,0,7,82,69,54,5
COMOROS,Africa,Eastern Africa,14,9,5,6,0,2,0,0,1,3,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONGO (BRAZZAVILLE),Africa,Central Africa,237,124,113,76,90,4,0,0,31,26,5,1,0,4,0,0,0,1,12,7,1,7,1,7,5,0,0,6,1,6,3,3,0,1,9,10,1,3,8,6,0,0,0,16,2,4,0,11,1,1,37,0,4,2,9,0,0,0,1,1,40,0,1,0,2,4,1,1,1
CONGO (KINSHASA),Africa,Central Africa,1578,866,712,512,662,27,7,0,149,128,22,2,4,65,0,13,30,15,80,17,7,18,4,61,82,0,0,34,7,67,50,33,35,8,47,46,7,29,65,24,0,2,1,65,3,17,8,14,1,3,31,47,11,14,44,0,0,0,23,17,225,69,53,0,4,82,27,34,4
COSTA RICA,North America,Central America,1180,639,541,75,549,206,5,0,45,209,39,9,4,39,1,7,23,13,107,20,11,28,0,128,63,0,3,14,5,45,34,18,3,17,108,13,1,24,20,18,0,1,4,39,0,4,3,15,5,3,100,19,7,11,40,6,4,15,2,22,54,18,46,0,2,10,16,5,5
COTE D'IVOIRE,Africa,Western Africa,1607,839,768,379,738,37,0,0,108,297,26,1,7,14,0,23,91,5,108,8,6,20,6,31,94,1,0,8,2,15,46,13,10,22,46,43,3,16,133,15,0,1,0,32,4,25,2,33,4,0,92,19,84,9,36,0,1,3,3,15,375,26,37,0,0,17,19,2,3
CROATIA,Europe,Southern Europe,634,336,298,54,342,77,1,0,13,105,17,1,0,24,0,10,9,6,68,9,14,8,1,40,9,0,0,3,1,34,16,9,4,5,35,15,3,6,8,8,0,7,0,21,2,2,5,10,2,5,76,10,24,0,31,1,5,6,5,11,45,4,16,0,3,8,7,6,1
CUBA,North America,Caribbean,73,37,36,1,18,23,0,0,4,19,4,1,0,3,0,1,0,0,5,0,0,2,0,10,1,0,0,1,0,0,1,1,0,5,8,1,0,2,1,1,0,3,1,2,0,0,0,1,0,0,11,1,1,1,0,3,0,1,0,1,2,0,1,0,0,1,1,0,2
CURACAO,North America,Caribbean,199,130,69,80,79,0,0,0,1,5,1,1,0,32,0,0,7,1,3,1,0,0,0,83,10,0,0,7,1,1,0,2,0,2,1,2,0,0,3,17,0,2,0,4,0,7,0,0,0,1,30,1,2,0,0,3,0,0,1,0,3,0,0,0,2,0,1,1,0
CYPRUS,Asia,Western Asia,406,253,153,19,207,85,0,0,11,66,12,2,0,4,0,3,0,8,61,2,6,9,0,24,5,0,0,4,1,18,11,2,1,3,50,11,0,6,6,3,0,0,0,9,0,0,0,6,0,1,102,14,1,4,14,0,4,2,0,3,10,0,2,0,0,0,0,0,0
CZECH REPUBLIC,Europe,Eastern Europe,983,470,512,118,387,96,1,0,55,108,59,11,24,124,3,9,3,9,135,10,24,6,0,115,15,0,13,7,4,48,9,28,8,3,57,7,26,32,11,14,0,4,4,20,4,10,14,21,8,1,103,17,6,3,28,0,5,18,3,6,29,12,17,0,17,18,18,0,1
DENMARK,Europe,Northern Europe,1021,520,501,75,444,87,2,0,44,132,161,22,4,50,1,18,11,7,266,14,15,8,1,74,25,0,11,10,3,30,13,5,10,5,49,6,8,26,9,15,0,3,2,28,1,2,3,11,5,1,157,11,12,12,27,0,3,11,0,7,24,22,8,0,6,10,9,6,0
DJIBOUTI,Africa,Eastern Africa,6,3,3,2,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOMINICA,North America,Caribbean,457,146,311,37,314,23,2,0,3,62,3,0,0,13,0,3,12,2,6,1,6,1,1,35,4,0,0,3,0,3,0,4,0,86,7,12,0,4,5,1,0,1,0,8,1,0,0,3,0,0,59,2,5,2,9,0,0,1,0,2,149,0,6,10,0,2,1,0,0
DOMINICAN REPUBLIC,North America,Caribbean,1788,980,808,267,827,63,4,0,230,231,44,3,10,109,0,12,9,9,31,9,13,34,3,327,69,0,3,20,4,49,22,11,14,16,171,8,3,37,7,15,0,3,0,22,2,11,1,37,5,3,382,15,35,2,63,78,31,15,1,31,65,46,16,1,4,6,10,6,1
ECUADOR,South America,South America,3508,1901,1606,335,1574,294,42,0,401,566,221,11,3,61,1,13,4,28,227,30,30,55,5,644,118,0,6,51,14,174,180,30,22,51,242,28,3,31,52,54,0,10,1,60,4,13,2,95,29,8,417,38,26,17,131,21,32,22,11,29,196,105,60,0,4,33,32,17,2
EGYPT,Africa,Northern Africa,3551,2708,843,316,1294,1003,43,0,119,580,115,8,10,63,1,31,16,66,422,42,48,43,5,296,75,0,1,96,11,123,99,44,32,35,206,63,6,86,85,57,0,10,6,70,16,31,9,80,17,13,393,142,18,26,166,0,9,5,20,25,239,23,124,0,7,40,47,15,11
EL SALVADOR,North America,Central America,1326,674,652,191,660,57,5,0,148,132,95,3,5,30,0,10,40,5,145,4,6,27,1,170,46,0,1,14,11,52,23,7,10,30,70,25,2,14,18,13,0,2,0,32,0,3,2,15,4,3,89,18,15,8,43,9,16,10,2,11,180,39,62,0,4,11,4,0,0
EQUATORIAL GUINEA,Africa,Central Africa,422,195,227,167,163,1,2,0,54,16,2,0,10,7,0,12,0,4,16,0,0,14,0,7,19,0,0,0,1,4,0,1,1,2,4,2,0,1,0,15,0,0,0,5,0,0,0,0,2,0,13,2,0,0,12,0,0,2,0,2,235,1,19,0,0,26,0,0,0
ERITREA,Africa,Eastern Africa,135,98,37,12,30,34,0,0,4,52,0,0,2,1,0,3,2,1,5,2,2,3,0,14,2,0,0,21,0,8,0,2,2,1,2,7,0,4,0,2,0,0,0,2,0,2,0,0,3,1,7,9,1,2,2,0,2,0,0,0,9,0,3,0,0,3,0,3,3
ESTONIA,Europe,Northern Europe,174,85,89,13,92,21,0,0,6,29,5,1,0,7,1,3,0,2,28,3,5,0,0,19,10,0,0,0,0,6,1,1,2,2,9,3,1,4,1,4,0,2,1,3,0,0,2,0,0,1,22,0,0,0,6,0,0,2,1,4,8,1,5,0,1,6,0,2,2
ETHIOPIA,Africa,Eastern Africa,2254,1198,1056,255,1122,291,0,0,22,339,25,0,7,193,0,7,18,23,123,27,34,35,1,34,54,0,1,134,10,52,63,22,86,8,125,66,9,61,227,34,0,49,4,49,9,31,18,19,13,6,162,69,36,21,96,0,4,32,55,31,113,11,76,0,5,51,17,20,3
FAROE ISLANDS,Europe,Northern Europe,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIJI,Australia&Pacific Islands,Melanesia,70,33,37,23,27,7,0,0,1,11,0,0,0,1,0,0,1,0,14,0,2,1,0,4,3,0,2,1,0,2,0,1,0,0,2,2,0,0,1,2,0,2,0,0,0,0,0,0,2,0,7,0,0,1,3,0,0,0,0,1,1,7,1,0,0,4,2,1,0
FINLAND,Europe,Northern Europe,774,395,379,74,382,57,4,0,7,77,53,15,11,94,3,10,2,11,128,13,17,5,1,67,24,0,11,9,5,5,7,6,5,6,53,1,8,19,20,9,0,3,1,15,5,2,11,11,5,2,90,18,4,9,25,0,3,11,3,16,26,10,32,0,9,3,10,3,2
FRANCE,Europe,Western Europe,9069,4921,4143,725,2833,950,63,0,1070,2123,925,71,19,290,2,62,25,120,2275,65,99,111,20,646,226,0,68,46,22,320,84,81,35,72,660,71,23,127,51,111,0,33,10,417,2,14,15,140,28,21,1650,101,60,39,272,7,33,75,5,41,308,73,98,0,24,97,45,36,3
FRENCH GUIANA,South America,South America,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRENCH POLYNESIA,Australia&Pacific Islands,Polynesia,14,10,4,3,6,1,0,0,2,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
GABON,Africa,Central Africa,422,198,224,177,128,3,0,0,57,49,5,0,2,1,0,0,5,1,22,4,5,16,3,8,14,0,0,1,1,10,7,1,0,7,17,26,0,3,4,4,0,0,0,4,0,10,0,1,1,1,35,7,19,3,9,0,0,1,1,2,156,2,5,0,0,2,2,2,0
"GAMBIA, THE",Africa,Western Africa,287,157,130,67,134,11,0,0,4,64,6,0,0,1,0,0,4,2,10,1,3,2,0,9,10,0,0,3,0,9,1,7,5,0,5,12,0,16,28,12,0,4,0,13,1,6,0,2,0,0,19,15,4,1,4,0,0,1,3,3,50,1,5,0,2,11,2,1,0
GAZA STRIP,Asia,Western Asia,120,95,25,23,41,28,0,0,8,19,1,0,0,0,0,1,1,1,11,1,0,2,0,9,5,0,0,2,0,5,1,2,0,1,3,1,0,8,1,1,0,0,0,5,3,0,0,2,0,0,17,4,0,3,6,0,0,1,1,0,7,5,8,0,0,1,1,0,0
GEORGIA,Asia,Western Asia,605,338,267,44,311,60,0,0,31,116,22,2,0,19,0,4,2,3,46,6,11,14,1,23,17,0,1,8,1,34,14,3,2,0,70,11,3,9,5,11,0,4,0,4,0,2,2,14,2,4,150,8,3,4,41,0,4,2,0,3,14,1,21,0,4,4,9,4,2
GERMANY,Europe,Western Europe,8286,4466,3819,458,2875,1268,122,0,394,1402,780,185,28,774,21,110,23,118,1791,102,161,76,14,595,198,0,111,63,29,253,113,48,56,62,642,82,42,198,64,147,0,39,21,248,14,22,50,138,39,26,933,117,47,84,265,5,51,129,19,122,269,58,135,0,36,90,157,45,8
GHANA,Africa,Western Africa,3368,2125,1243,135,1197,749,1,0,6,1167,39,0,3,71,2,32,37,68,91,26,68,49,18,142,82,0,1,42,43,179,84,33,30,40,180,74,15,175,92,101,0,42,17,113,25,24,29,43,33,8,234,293,57,11,162,0,13,30,64,82,171,38,75,0,8,18,43,21,10
GIBRALTAR,Europe,Southern Europe,3,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GREECE,Europe,Southern Europe,2282,1355,927,81,776,840,2,0,27,460,60,6,4,26,1,4,4,10,321,14,44,38,11,91,45,0,2,7,1,119,30,6,5,17,351,48,4,61,40,29,0,7,1,46,0,8,6,82,4,8,416,44,8,3,112,0,27,13,2,18,82,6,37,1,6,15,18,8,1
GREENLAND,North America,Northern America,3,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GRENADA,North America,Caribbean,225,102,123,30,132,13,1,0,0,43,2,1,1,2,0,1,2,3,5,0,1,6,0,19,0,0,1,1,1,10,2,5,0,4,1,1,0,3,1,5,0,3,0,4,0,0,0,2,0,0,47,3,3,0,4,1,0,1,0,3,74,3,1,1,0,0,3,0,0
GUADELOUPE,North America,Caribbean,4,2,2,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUATEMALA,North America,Central America,1246,702,544,125,669,90,10,0,60,173,32,9,18,60,0,7,34,12,115,23,9,12,2,155,45,0,5,5,17,42,52,7,9,33,88,10,6,26,17,12,0,4,5,15,2,3,4,10,5,1,90,23,8,5,42,10,8,10,1,18,115,68,33,0,3,8,9,1,2
