Country of Citizenship,Continent,Region,# of Active Students,Male,Female,ASSOCIATE,BACHELOR'S,DOCTORATE,FLIGHT TRAINING,HIGH SCHOOL,LANGUAGE TRAINING,MASTER'S,OTHER,OTHER VOCATIONAL SCHOOL,PRIMARY,SECONDARY,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
AFGHANISTAN,Asia,Southern Asia,332,184,148,17,166,46,0,0,6,43,8,0,1,45,0,1,0,3,19,6,8,7,1,9,3,0,0,14,0,7,10,6,5,1,34,4,6,1,13,5,0,0,1,9,1,1,3,7,3,0,30,11,3,2,21,0,3,2,0,2,17,4,26,0,11,2,9,1,0
ALBANIA,Europe,Southern Europe,1096,512,584,277,466,95,0,0,67,118,31,2,1,39,0,2,8,7,39,5,26,7,9,52,14,0,0,7,19,58,9,8,4,1,131,7,4,92,16,14,0,4,3,12,0,3,4,67,1,3,253,19,5,4,62,0,4,1,2,9,50,8,13,0,1,16,11,1,1
ALGERIA,Africa,Northern Africa,450,350,100,83,58,35,54,0,104,59,45,0,1,11,0,1,2,52,54,1,0,3,2,10,5,0,0,7,0,23,4,1,2,1,21,5,1,6,3,4,0,2,0,5,4,0,4,15,0,0,140,1,1,0,7,0,2,0,2,1,30,1,17,0,0,6,2,0,2
ANDORRA,Europe,Southern Europe,14,8,6,0,7,0,0,0,1,1,0,1,0,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ANGOLA,Africa,Central Africa,1307,738,569,299,749,12,7,0,76,96,9,0,9,50,0,0,1,63,54,33,4,11,0,132,24,0,1,4,0,8,34,7,2,22,30,18,1,36,1,5,0,2,4,14,9,1,0,3,1,0,50,5,78,1,43,0,0,16,1,8,542,3,24,0,0,7,0,3,1
ANGUILLA,North America,Caribbean,16,6,10,1,10,1,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0
ANTIGUA AND BARBUDA,North America,Caribbean,243,117,126,24,166,5,3,0,0,35,4,3,1,2,0,3,2,0,2,1,2,7,1,48,5,0,0,4,1,6,2,0,0,1,5,3,0,3,4,6,0,0,0,1,0,2,1,2,0,0,78,4,0,1,1,1,0,0,0,1,34,0,5,5,0,1,0,0,0
ARGENTINA,South America,South America,2571,1432,1139,207,917,335,12,0,361,511,129,29,8,62,0,40,17,11,360,17,17,39,3,375,70,0,7,19,6,98,33,21,10,12,195,36,2,34,17,41,0,15,1,73,1,8,11,27,7,2,479,22,27,10,82,4,12,19,5,33,97,60,48,0,7,14,17,9,1
ARMENIA,Asia,Western Asia,295,148,147,21,89,74,0,0,14,80,10,0,1,6,0,3,0,0,77,2,2,1,1,9,2,0,1,5,0,15,6,1,3,2,23,0,2,9,4,1,0,2,0,6,1,1,3,8,2,2,32,6,3,0,16,0,2,2,0,2,9,12,7,0,6,3,1,0,0
ARUBA,North America,Caribbean,71,45,26,21,37,0,0,0,1,9,0,1,0,2,0,1,0,0,3,0,0,0,0,32,6,0,0,3,0,1,0,0,0,2,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,2,2,4,1,0,0,0,6,0,0,1,0,1,0,0,1,0,0,0
AUSTRALIA,Australia&Pacific Islands,Oceania,4872,2791,2080,545,2452,444,7,0,6,718,312,153,11,224,7,33,18,61,862,70,75,41,5,138,68,0,41,120,21,190,53,71,40,33,356,63,15,80,37,101,0,21,23,106,32,29,25,105,16,14,848,62,57,40,201,2,31,71,26,59,212,63,66,0,20,58,25,45,16
AUSTRIA,Europe,Western Europe,904,472,432,59,327,156,18,0,30,159,78,16,3,58,0,7,1,19,169,17,17,11,2,68,12,0,7,6,2,39,9,4,5,4,86,7,6,11,6,13,0,3,0,20,0,3,4,27,3,3,161,18,2,15,26,1,10,7,1,7,28,4,13,0,3,8,2,6,1
AZERBAIJAN,Asia,Western Asia,545,392,151,38,156,54,0,1,68,141,67,2,2,16,0,2,2,4,55,6,4,31,1,37,10,0,0,3,1,30,7,4,5,1,69,3,0,7,4,19,0,1,0,4,2,1,3,11,3,2,84,4,3,0,20,0,3,4,0,0,36,3,40,0,2,5,3,5,1
"BAHAMAS, THE",North America,Caribbean,3242,1576,1666,353,2200,94,15,0,2,299,31,29,9,210,0,70,212,10,29,8,22,17,1,946,189,0,0,21,5,36,60,85,16,31,37,38,7,43,93,55,0,22,4,115,19,20,5,13,4,11,143,82,121,3,49,2,29,23,7,159,241,1,76,0,9,6,15,28,4
BAHRAIN,Asia,Western Asia,444,311,133,42,288,18,2,0,6,59,11,0,1,17,0,8,1,6,71,10,12,10,0,34,6,0,0,2,0,6,11,2,1,1,104,2,0,17,10,3,0,0,0,5,0,1,2,6,1,0,18,6,1,4,11,0,2,1,1,4,35,0,11,0,2,8,2,6,0
BANGLADESH,Asia,Southern Asia,8418,6156,2260,541,1706,3495,2,0,166,2421,67,2,0,18,13,185,94,70,365,33,96,66,94,484,177,0,15,118,65,250,230,130,124,168,266,97,18,227,229,164,0,90,12,179,94,40,22,89,110,36,1009,333,105,59,254,1,24,102,91,189,1080,84,305,0,10,119,117,50,36
BARBADOS,North America,Caribbean,373,176,197,34,228,27,0,0,0,62,12,2,0,8,1,4,5,6,14,4,2,17,3,82,4,0,0,9,3,10,7,6,6,6,20,11,2,10,1,10,0,6,0,7,0,2,1,12,1,0,42,4,2,2,11,2,6,2,1,3,17,1,7,0,0,0,0,1,0
BASSAS DA INDIA,0,0,7,2,5,0,0,0,2,0,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BELARUS,Europe,Eastern Europe,468,187,281,47,158,86,1,0,57,56,28,3,3,29,0,4,3,6,48,5,8,5,3,23,19,0,0,4,0,26,5,4,1,3,19,6,1,11,8,11,0,0,0,14,2,2,0,17,1,1,106,8,4,3,24,0,1,2,1,4,25,6,9,0,3,7,3,2,0
