Country of Citizenship,Continent,Region,# of Active Students,Male,Female,ASSOCIATE,BACHELOR'S,DOCTORATE,FLIGHT TRAINING,HIGH SCHOOL,LANGUAGE TRAINING,MASTER'S,OTHER,OTHER VOCATIONAL SCHOOL,PRIMARY,SECONDARY,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
AFGHANISTAN,Asia,Southern Asia,354,202,152,24,175,41,1,0,9,42,7,0,2,53,0,1,0,6,34,4,6,6,2,7,3,0,0,14,0,5,8,8,10,1,26,2,5,6,13,4,0,0,1,14,0,2,4,6,0,1,29,15,4,3,23,0,3,2,2,0,22,4,24,0,10,1,13,0,0
ALBANIA,Europe,Southern Europe,978,464,514,237,415,86,0,0,57,122,23,1,0,37,0,1,5,5,38,3,25,8,9,54,10,0,0,5,14,47,10,3,3,0,124,11,5,75,12,14,0,5,1,7,0,3,5,43,4,3,207,17,4,4,62,0,4,2,0,6,53,9,19,0,3,23,11,1,1
ALGERIA,Africa,Northern Africa,457,351,106,75,52,33,40,0,156,65,20,0,1,15,0,1,0,36,62,6,1,3,3,14,4,0,1,8,0,18,5,2,1,1,22,5,0,6,3,5,0,2,0,4,2,0,4,12,0,0,142,3,1,0,13,0,1,1,2,1,35,0,19,0,0,2,3,0,3
ANDORRA,Europe,Southern Europe,19,10,9,0,7,0,1,0,2,4,2,1,0,2,0,0,0,0,3,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGOLA,Africa,Central Africa,1483,845,637,360,782,7,4,0,137,95,15,2,9,72,0,0,2,57,54,48,5,11,0,155,23,0,0,5,0,8,38,5,3,31,33,17,0,36,3,6,0,0,2,22,13,0,0,2,0,2,55,4,89,3,41,0,0,18,1,8,634,4,34,0,0,5,1,3,2
ANGUILLA,North America,Caribbean,20,7,13,2,13,1,0,0,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0,4,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,2,2,0,0,0,0,0
ANTIGUA AND BARBUDA,North America,Caribbean,252,118,134,32,167,9,1,0,0,32,3,5,2,1,0,5,0,0,2,1,2,8,1,46,7,0,0,5,0,5,2,1,0,1,3,5,0,4,3,6,0,1,0,2,0,1,1,5,0,0,75,1,1,0,2,1,0,0,0,1,45,0,4,4,0,0,1,0,0
ARGENTINA,South America,South America,2410,1298,1112,201,777,341,5,1,371,505,117,33,6,53,0,27,14,12,334,23,22,38,1,343,55,0,5,18,6,89,23,13,8,12,182,33,4,28,18,32,0,17,1,62,1,9,10,30,6,5,491,26,20,11,85,5,14,17,4,19,97,50,48,0,4,16,13,8,1
ARMENIA,Asia,Western Asia,261,133,128,22,69,67,1,0,14,72,7,1,1,7,0,2,0,0,61,2,2,0,0,7,1,0,1,5,0,13,3,1,2,1,25,3,0,10,1,3,0,2,0,4,1,3,2,8,4,2,25,7,2,1,17,0,2,2,0,2,8,11,4,0,7,3,0,0,1
ARUBA,North America,Caribbean,57,32,25,17,33,0,0,0,0,5,0,0,0,2,0,0,0,0,2,0,0,0,0,32,3,0,0,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,1,1,1,0,1,0,3,0,0,1,0,0,0,0,1,0,0,0
AUSTRALIA,Australia&Pacific Islands,Oceania,4695,2697,1998,513,2365,436,7,0,5,712,301,146,15,195,5,39,17,44,810,67,75,40,5,127,66,0,33,89,21,176,57,57,38,30,366,58,15,64,38,90,0,23,26,113,35,33,24,93,21,20,820,64,71,47,184,1,34,66,23,59,208,56,66,0,19,65,33,48,15
AUSTRIA,Europe,Western Europe,915,480,435,52,319,151,16,0,37,159,93,18,4,66,1,5,2,8,180,17,12,15,2,70,9,0,13,5,1,43,14,4,2,4,89,8,4,11,4,9,0,1,1,23,0,4,1,28,2,1,176,9,3,18,22,1,11,7,1,5,28,8,19,0,2,8,1,3,0
AZERBAIJAN,Asia,Western Asia,530,387,143,35,154,41,0,0,101,137,36,3,0,23,0,2,2,3,64,7,6,25,2,27,5,0,0,3,1,37,5,6,6,5,66,2,1,5,7,20,0,1,0,5,2,0,6,13,3,1,73,6,2,1,17,0,3,3,0,0,36,3,39,0,1,3,1,3,1
"BAHAMAS, THE",North America,Caribbean,3212,1585,1627,440,2103,94,17,1,1,269,24,30,11,222,0,69,170,8,29,8,26,21,2,993,191,0,0,22,4,33,52,73,9,33,41,41,8,49,83,56,0,28,3,112,23,22,3,19,6,6,125,51,127,4,51,2,34,26,10,153,224,1,80,0,9,8,16,40,8
BAHRAIN,Asia,Western Asia,482,332,150,46,313,20,7,0,13,53,8,1,2,19,0,11,2,9,59,9,11,12,0,43,7,0,0,2,4,8,15,2,1,1,101,3,0,22,7,3,0,1,0,4,0,1,2,6,1,0,26,6,1,4,13,0,3,1,1,7,40,0,16,0,2,5,2,8,0
BANGLADESH,Asia,Southern Asia,8129,6015,2112,655,1692,2916,4,0,216,2549,68,2,3,24,14,161,92,64,376,31,96,54,81,451,145,0,15,151,51,221,214,133,79,132,258,93,17,194,232,167,0,76,8,153,90,36,18,91,105,28,1107,338,106,47,233,1,17,102,92,171,1067,70,376,0,10,93,98,44,30
BARBADOS,North America,Caribbean,381,178,203,34,237,28,1,0,0,66,6,2,0,7,0,5,7,5,10,5,3,15,3,87,6,0,0,9,2,11,6,7,7,6,15,12,2,9,1,10,0,6,0,8,1,2,1,13,2,0,42,2,2,5,10,5,6,3,1,7,14,1,6,0,1,0,0,0,0
BASSAS DA INDIA,0,,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BELARUS,Europe,Eastern Europe,425,162,263,41,141,80,0,0,67,54,18,2,2,20,1,2,1,3,39,10,5,2,4,18,17,0,0,5,1,26,4,5,3,3,21,4,2,6,8,10,0,0,1,11,1,1,0,17,1,0,101,8,3,2,22,0,1,3,0,3,26,2,11,0,1,4,4,1,1
BELGIUM,Europe,Western Europe,1243,703,540,111,428,131,27,1,191,217,60,17,4,56,1,4,7,30,256,10,11,14,1,109,25,0,8,7,3,46,16,13,6,4,144,14,6,24,12,14,0,2,3,23,1,3,2,17,9,3,189,13,10,3,37,0,5,9,1,14,43,6,18,0,3,19,12,11,2
