Country of Citizenship,Continent,Region,# of Active Students,Male,Female,ASSOCIATE,BACHELOR'S,DOCTORATE,FLIGHT TRAINING,HIGH SCHOOL,LANGUAGE TRAINING,MASTER'S,OTHER,OTHER VOCATIONAL SCHOOL,PRIMARY,SECONDARY,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
TUNISIA,Africa,Northern Africa,712.0,501.0,211.0,128.0,218.0,106.0,11.0,0.0,96.0,107.0,38.0,2.0,0.0,6.0,0.0,8.0,6.0,3.0,233.0,6.0,5.0,12.0,3.0,52.0,6.0,0.0,1.0,9.0,2.0,10.0,7.0,4.0,7.0,5.0,58.0,5.0,2.0,11.0,9.0,5.0,0.0,1.0,0.0,7.0,2.0,1.0,1.0,6.0,1.0,4.0,51.0,10.0,5.0,11.0,21.0,0.0,4.0,2.0,1.0,2.0,49.0,5.0,30.0,0.0,0.0,16.0,7.0,2.0,4.0
TURKEY,Asia,Western Asia,12220.0,7558.0,4661.0,821.0,3302.0,2481.0,56.0,0.0,2619.0,1951.0,576.0,14.0,8.0,392.0,2.0,26.0,43.0,85.0,2069.0,59.0,166.0,297.0,94.0,581.0,211.0,0.0,8.0,50.0,3.0,766.0,123.0,24.0,27.0,56.0,1072.0,139.0,30.0,188.0,72.0,94.0,0.0,11.0,95.0,143.0,1.0,26.0,41.0,532.0,22.0,29.0,2909.0,136.0,20.0,35.0,520.0,0.0,108.0,33.0,8.0,41.0,636.0,30.0,342.0,1.0,9.0,99.0,75.0,27.0,8.0
TURKMENISTAN,Asia,Central Asia,416.0,263.0,153.0,101.0,109.0,21.0,0.0,0.0,111.0,46.0,15.0,0.0,1.0,12.0,0.0,7.0,2.0,0.0,34.0,5.0,0.0,2.0,0.0,4.0,8.0,0.0,0.0,2.0,0.0,49.0,3.0,12.0,2.0,0.0,7.0,0.0,1.0,2.0,10.0,5.0,0.0,2.0,0.0,4.0,1.0,0.0,1.0,9.0,1.0,1.0,116.0,1.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,85.0,2.0,13.0,0.0,0.0,5.0,4.0,3.0,4.0
TURKS AND CAICOS ISLANDS,North America,Caribbean,58.0,30.0,28.0,21.0,24.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,32.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUVALU,Australia & Pacific Islands,Polynesia,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UGANDA,Africa,Eastern Africa,846.0,434.0,412.0,87.0,302.0,114.0,14.0,0.0,2.0,262.0,28.0,5.0,0.0,32.0,0.0,4.0,7.0,1.0,56.0,8.0,5.0,11.0,0.0,34.0,33.0,0.0,0.0,28.0,5.0,38.0,24.0,6.0,13.0,16.0,64.0,11.0,3.0,30.0,69.0,26.0,0.0,2.0,1.0,14.0,3.0,4.0,3.0,9.0,1.0,2.0,49.0,30.0,36.0,10.0,39.0,0.0,2.0,7.0,5.0,16.0,58.0,14.0,17.0,0.0,5.0,13.0,12.0,0.0,2.0
UKRAINE,Europe,Eastern Europe,2857.0,1319.0,1538.0,437.0,635.0,310.0,12.0,0.0,660.0,406.0,181.0,13.0,16.0,187.0,1.0,11.0,15.0,23.0,349.0,18.0,25.0,21.0,12.0,195.0,44.0,0.0,3.0,21.0,18.0,403.0,33.0,12.0,11.0,22.0,143.0,40.0,20.0,57.0,44.0,48.0,0.0,10.0,2.0,48.0,4.0,9.0,14.0,75.0,11.0,6.0,429.0,43.0,22.0,16.0,127.0,2.0,9.0,17.0,7.0,29.0,122.0,81.0,106.0,0.0,13.0,34.0,20.0,7.0,5.0
UNITED ARAB EMIRATES,Asia,Western Asia,2834.0,2584.0,249.0,108.0,1909.0,74.0,41.0,1.0,407.0,189.0,80.0,4.0,1.0,20.0,0.0,33.0,0.0,332.0,382.0,98.0,25.0,32.0,4.0,255.0,11.0,0.0,0.0,22.0,6.0,18.0,96.0,42.0,57.0,65.0,138.0,69.0,16.0,36.0,19.0,19.0,0.0,0.0,1.0,28.0,1.0,6.0,14.0,4.0,6.0,0.0,94.0,73.0,20.0,121.0,171.0,0.0,5.0,21.0,1.0,70.0,88.0,28.0,172.0,0.0,0.0,23.0,13.0,99.0,0.0
UNITED KINGDOM,Europe,Northern Europe,11306.0,7011.0,4292.0,976.0,6183.0,1056.0,159.0,5.0,14.0,1896.0,515.0,213.0,46.0,242.0,4.0,157.0,43.0,181.0,1567.0,116.0,240.0,146.0,20.0,747.0,325.0,0.0,48.0,176.0,63.0,328.0,151.0,114.0,121.0,86.0,836.0,106.0,36.0,180.0,107.0,245.0,0.0,77.0,20.0,360.0,31.0,75.0,51.0,251.0,63.0,26.0,1713.0,215.0,174.0,59.0,411.0,2.0,96.0,163.0,24.0,219.0,461.0,85.0,199.0,28.0,39.0,104.0,89.0,107.0,21.0
URUGUAY,South America,South America,337.0,173.0,164.0,27.0,103.0,60.0,0.0,0.0,61.0,67.0,14.0,1.0,1.0,3.0,0.0,1.0,0.0,2.0,41.0,5.0,3.0,3.0,2.0,51.0,8.0,0.0,0.0,6.0,0.0,12.0,2.0,4.0,2.0,1.0,31.0,7.0,0.0,5.0,5.0,10.0,0.0,2.0,0.0,8.0,2.0,1.0,2.0,3.0,0.0,0.0,61.0,4.0,3.0,0.0,13.0,1.0,3.0,1.0,0.0,3.0,7.0,16.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0
UZBEKISTAN,Asia,Central Asia,837.0,556.0,281.0,125.0,200.0,60.0,0.0,0.0,176.0,230.0,28.0,1.0,1.0,16.0,0.0,5.0,7.0,1.0,124.0,9.0,8.0,5.0,5.0,35.0,9.0,0.0,2.0,13.0,0.0,50.0,8.0,10.0,6.0,4.0,27.0,11.0,1.0,17.0,17.0,31.0,0.0,4.0,0.0,15.0,0.0,11.0,6.0,13.0,3.0,0.0,177.0,18.0,4.0,5.0,45.0,0.0,0.0,2.0,3.0,14.0,21.0,2.0,63.0,0.0,0.0,14.0,9.0,1.0,2.0
VANUATU,Australia & Pacific Islands,Melanesia,7.0,3.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
VENEZUELA,South America,South America,12370.0,6053.0,6317.0,2324.0,4288.0,303.0,51.0,1.0,2834.0,1649.0,515.0,27.0,90.0,289.0,1.0,44.0,20.0,29.0,608.0,126.0,47.0,105.0,20.0,5040.0,339.0,1.0,13.0,86.0,12.0,505.0,79.0,70.0,88.0,73.0,973.0,64.0,7.0,95.0,77.0,187.0,0.0,25.0,12.0,148.0,7.0,16.0,17.0,138.0,23.0,15.0,866.0,115.0,109.0,34.0,252.0,86.0,25.0,23.0,9.0,81.0,1262.0,119.0,125.0,0.0,10.0,67.0,37.0,35.0,5.0
VIETNAM,Asia,South-Eastern Asia,29101.0,13095.0,16000.0,8406.0,8854.0,1124.0,152.0,2.0,3458.0,2406.0,956.0,28.0,178.0,3537.0,4.0,144.0,187.0,350.0,6158.0,395.0,251.0,141.0,47.0,1104.0,621.0,1.0,68.0,298.0,36.0,818.0,249.0,180.0,144.0,366.0,1568.0,261.0,128.0,436.0,558.0,426.0,0.0,119.0,15.0,242.0,11.0,208.0,128.0,352.0,81.0,93.0,1247.0,419.0,395.0,505.0,1106.0,0.0,76.0,82.0,25.0,131.0,5161.0,155.0,840.0,0.0,34.0,2406.0,251.0,56.0,24.0
WEST BANK,Asia,Western Asia,385.0,306.0,78.0,73.0,119.0,48.0,0.0,0.0,77.0,60.0,6.0,0.0,0.0,2.0,0.0,4.0,4.0,6.0,28.0,3.0,12.0,5.0,0.0,11.0,4.0,0.0,0.0,11.0,2.0,71.0,5.0,2.0,0.0,7.0,18.0,2.0,0.0,13.0,16.0,6.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,5.0,0.0,0.0,27.0,19.0,2.0,2.0,9.0,0.0,4.0,0.0,0.0,8.0,40.0,3.0,8.0,0.0,4.0,5.0,2.0,0.0,0.0
YEMEN,Asia,Western Asia,1103.0,1010.0,93.0,383.0,236.0,21.0,14.0,0.0,359.0,54.0,27.0,1.0,1.0,7.0,0.0,15.0,3.0,17.0,200.0,14.0,2.0,7.0,7.0,55.0,14.0,0.0,0.0,4.0,2.0,101.0,7.0,4.0,10.0,5.0,31.0,11.0,0.0,71.0,29.0,25.0,0.0,28.0,2.0,10.0,4.0,2.0,0.0,10.0,1.0,2.0,118.0,27.0,9.0,55.0,23.0,0.0,2.0,0.0,4.0,4.0,90.0,7.0,39.0,0.0,0.0,29.0,1.0,2.0,0.0
ZAMBIA,Africa,Eastern Africa,514.0,257.0,257.0,97.0,248.0,40.0,3.0,0.0,3.0,100.0,12.0,0.0,3.0,8.0,0.0,5.0,9.0,6.0,28.0,4.0,4.0,9.0,1.0,22.0,20.0,0.0,1.0,18.0,5.0,18.0,6.0,6.0,12.0,1.0,27.0,14.0,3.0,22.0,8.0,11.0,0.0,0.0,0.0,11.0,2.0,13.0,0.0,2.0,3.0,0.0,33.0,21.0,19.0,4.0,18.0,0.0,0.0,6.0,3.0,15.0,67.0,3.0,18.0,0.0,1.0,12.0,2.0,1.0,0.0
ZIMBABWE,Africa,Eastern Africa,1345.0,719.0,626.0,98.0,818.0,164.0,3.0,1.0,1.0,205.0,34.0,4.0,2.0,15.0,0.0,14.0,24.0,9.0,56.0,7.0,26.0,9.0,7.0,57.0,50.0,0.0,1.0,45.0,11.0,31.0,28.0,25.0,16.0,9.0,94.0,15.0,7.0,38.0,47.0,71.0,0.0,10.0,0.0,45.0,16.0,7.0,16.0,10.0,9.0,2.0,95.0,34.0,32.0,17.0,75.0,0.0,7.0,19.0,1.0,29.0,137.0,18.0,20.0,0.0,10.0,12.0,16.0,10.0,1.0
