Country of Citizenship,Continent,Region,# of Active Students,Male,Female,ASSOCIATE,BACHELOR'S,DOCTORATE,FLIGHT TRAINING,HIGH SCHOOL,LANGUAGE TRAINING,MASTER'S,OTHER,OTHER VOCATIONAL SCHOOL,PRIMARY,SECONDARY,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
AFGHANISTAN,Asia,Southern Asia,346,194,152,19,170,41,2,0,10,42,8,0,2,52,0,1,0,5,30,4,6,6,2,8,3,0,0,15,0,5,8,8,10,1,26,2,5,6,13,4,0,0,1,14,0,2,4,6,0,1,29,15,3,3,23,0,3,2,2,0,19,4,22,0,10,2,13,0,0
ALBANIA,Europe,Southern Europe,961,454,507,233,403,86,0,0,54,120,27,2,0,36,0,1,5,4,38,3,24,8,9,54,10,0,0,5,14,46,10,3,3,0,122,10,5,75,12,14,0,5,1,8,0,3,5,43,4,3,202,16,3,4,61,0,3,1,0,7,52,8,19,0,3,22,11,1,1
ALGERIA,Africa,Northern Africa,465,364,101,73,52,34,51,0,147,62,31,0,1,14,0,1,0,47,57,7,1,4,3,14,3,0,0,8,0,20,5,2,1,0,23,6,0,6,3,5,0,2,0,4,2,0,3,11,0,0,144,3,0,0,14,0,1,0,2,1,35,0,19,0,0,2,3,0,3
ANDORRA,Europe,Southern Europe,17,9,8,0,6,0,1,0,2,4,1,1,0,2,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGOLA,Africa,Central Africa,1455,833,621,345,774,8,3,0,134,97,13,2,8,71,0,0,2,55,52,49,5,11,0,151,20,0,0,5,0,8,38,4,3,29,29,17,0,36,4,6,0,0,2,23,13,0,0,2,0,2,54,4,89,4,41,0,0,18,1,8,621,4,33,0,0,6,1,3,2
ANGUILLA,North America,Caribbean,20,7,13,2,13,1,0,0,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0,4,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,2,2,0,0,0,0,0
ANTIGUA AND BARBUDA,North America,Caribbean,233,110,123,31,150,8,1,0,0,31,3,6,2,1,0,5,0,0,3,1,2,8,1,44,7,0,0,5,0,5,2,0,0,1,3,4,0,4,3,6,0,1,0,2,0,1,1,4,0,0,69,1,1,0,2,1,0,0,0,1,37,0,4,4,0,0,0,0,0
ARGENTINA,South America,South America,2247,1245,1002,202,770,336,6,1,246,494,109,30,6,47,0,25,14,10,305,18,21,36,1,335,56,0,3,20,7,91,23,14,8,12,174,34,4,28,19,29,0,15,1,59,1,9,10,29,6,3,414,24,19,11,68,5,14,16,4,19,96,49,50,0,4,12,13,8,1
ARMENIA,Asia,Western Asia,262,134,128,23,68,68,0,0,15,70,8,2,1,7,0,2,0,0,64,2,2,1,0,6,1,0,1,5,0,13,3,1,2,1,24,3,0,10,1,3,0,2,0,4,1,3,3,8,4,2,23,7,2,1,17,0,2,2,0,2,8,11,4,0,7,3,0,0,1
ARUBA,North America,Caribbean,56,32,24,16,33,0,0,0,0,4,0,0,0,3,0,0,0,0,2,0,0,0,0,32,3,0,0,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,1,0,1,0,1,0,3,0,0,1,0,0,0,0,1,0,0,0
AUSTRALIA,Australia & Pacific Islands,Oceania,4580,2631,1949,493,2319,427,7,0,4,700,283,142,14,191,5,38,16,43,784,65,76,39,5,124,63,0,34,88,22,177,54,56,37,28,359,57,15,62,35,88,0,23,22,114,35,33,24,89,17,19,795,61,68,45,183,1,34,65,24,55,208,52,65,0,19,65,33,47,14
AUSTRIA,Europe,Western Europe,918,493,425,53,312,150,15,0,36,183,88,17,3,61,1,5,2,10,202,17,12,15,2,63,9,0,10,5,1,43,12,4,2,4,87,9,5,11,4,7,0,2,1,22,0,4,1,28,2,1,174,9,3,19,21,1,11,6,1,5,24,8,19,0,2,8,1,3,0
AZERBAIJAN,Asia,Western Asia,510,371,139,35,143,41,0,0,91,129,45,4,0,22,0,2,2,3,63,7,6,25,2,24,5,0,0,3,1,36,5,6,6,5,59,2,1,5,7,18,0,1,0,5,2,0,6,13,3,2,67,6,2,0,18,0,3,3,0,0,38,2,38,0,1,3,1,2,1
"BAHAMAS, THE",North America,Caribbean,3124,1536,1588,427,2036,92,22,1,1,262,24,29,12,218,0,68,167,7,29,8,26,21,2,967,192,0,0,21,4,33,51,70,9,30,40,37,8,47,84,54,0,26,3,103,22,20,3,18,6,6,122,51,119,4,49,2,34,25,9,148,221,1,79,0,9,8,15,39,7
BAHRAIN,Asia,Western Asia,472,328,144,45,304,20,6,0,12,54,9,0,2,20,0,11,2,7,61,9,13,12,0,43,7,0,0,2,4,7,13,2,1,1,100,3,0,21,7,3,0,0,0,4,0,1,2,6,1,0,26,6,1,4,11,0,2,1,1,7,38,0,16,0,2,5,2,7,0
BANGLADESH,Asia,Southern Asia,7990,5920,2068,635,1667,2885,2,0,206,2499,68,2,3,23,14,158,92,63,368,31,96,53,80,448,145,0,15,149,50,212,211,130,78,131,254,87,17,187,227,164,0,75,8,151,89,35,19,89,106,27,1080,331,104,47,229,1,18,100,88,170,1050,70,369,0,10,93,98,43,30
BARBADOS,North America,Caribbean,365,170,195,36,227,28,1,0,0,57,7,2,0,7,0,4,6,5,9,5,3,15,3,83,5,0,0,9,2,11,6,7,7,6,15,12,2,9,1,9,0,6,0,8,1,2,1,13,2,0,42,2,2,5,10,3,5,2,1,5,14,1,6,0,0,0,0,0,0
BASSAS DA INDIA,0,,4,2,2,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BELARUS,Europe,Eastern Europe,411,154,257,40,134,76,0,0,66,52,19,2,2,20,1,2,1,3,36,11,5,2,4,19,17,0,0,5,1,23,4,5,3,3,19,4,2,6,8,10,0,0,0,9,1,1,0,16,1,0,100,5,3,2,23,0,1,3,0,3,25,3,11,0,1,4,4,0,1
BELGIUM,Europe,Western Europe,1191,666,525,110,421,128,30,0,156,215,56,19,5,51,1,4,7,32,232,11,11,14,2,106,25,0,2,7,3,45,16,12,6,4,135,13,6,25,11,14,0,2,3,22,1,3,2,16,8,3,183,12,9,3,38,0,5,9,1,13,41,6,18,0,3,21,12,11,2
BELIZE,North America,Central America,371,172,199,43,219,31,3,0,4,52,9,4,1,5,0,5,16,1,35,2,1,0,0,78,21,0,0,5,2,5,0,4,32,7,13,1,0,6,3,16,0,2,0,7,0,1,0,4,5,0,24,5,2,1,2,0,1,2,1,2,40,3,2,1,0,7,6,0,0
BENIN,Africa,Western Africa,337,208,129,105,100,17,0,0,56,46,7,0,0,6,0,7,3,1,12,1,1,5,0,7,12,0,0,7,1,32,5,5,2,5,17,10,2,5,10,7,0,0,0,9,3,27,1,6,0,0,47,4,7,3,19,0,0,1,1,0,37,0,8,0,0,2,2,3,0
BERMUDA,North America,Northern America,543,270,273,53,314,9,0,0,0,33,9,7,12,106,0,36,0,2,13,4,22,4,2,101,46,0,0,1,1,4,3,1,1,1,43,6,21,4,2,3,0,2,0,22,0,10,3,10,0,1,29,7,2,0,24,0,37,16,0,13,11,4,10,0,15,0,0,5,1
BHUTAN,Asia,Southern Asia,159,81,77,13,110,2,5,0,1,22,1,0,0,5,0,0,1,1,10,0,0,1,0,7,1,0,2,2,0,5,1,0,0,0,16,0,1,1,2,5,0,0,2,2,0,0,1,0,0,0,24,7,2,2,19,0,3,0,0,0,32,1,2,0,3,3,0,0,0
BOLIVIA,South America,South America,1253,622,631,174,650,63,11,0,139,143,40,5,5,23,0,7,129,10,81,11,6,32,1,179,29,0,0,11,6,30,38,25,10,23,61,17,2,9,15,36,0,4,1,21,1,4,0,11,11,0,67,27,27,5,26,7,2,6,2,6,123,50,68,0,3,5,5,3,0
BOSNIA AND HERZEGOVINA,Europe,Southern Europe,358,154,204,45,210,27,0,0,17,37,9,3,0,10,0,3,3,1,15,1,8,2,2,38,4,0,0,11,1,39,6,1,4,4,21,11,4,4,2,9,0,0,0,19,1,1,3,12,1,1,39,4,20,3,11,0,2,6,0,1,10,0,13,0,11,4,1,1,0
