Country of Citizenship,Continent,Region,# of Active Students,Male,Female,ASSOCIATE,BACHELOR'S,DOCTORATE,FLIGHT TRAINING,HIGH SCHOOL,LANGUAGE TRAINING,MASTER'S,OTHER,OTHER VOCATIONAL SCHOOL,PRIMARY,SECONDARY,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
AFGHANISTAN,Asia,Southern Asia,306,171,135,17,158,45,0,0,6,41,6,0,1,32,0,1,0,3,16,6,4,8,0,9,3,0,0,12,0,6,10,6,5,1,32,4,5,1,12,3,0,0,1,10,0,1,3,6,3,0,27,10,3,1,21,0,2,2,0,2,17,2,26,0,11,2,8,1,0
ALBANIA,Europe,Southern Europe,1013,461,552,260,450,89,0,0,56,105,27,2,1,23,0,2,8,7,32,5,22,7,9,54,13,0,0,7,21,46,7,6,5,1,125,5,3,85,15,12,0,4,1,11,0,3,2,65,1,4,237,19,5,3,59,0,4,0,2,4,45,8,12,0,1,14,10,1,1
ALGERIA,Africa,Northern Africa,412,320,92,79,56,34,33,0,96,57,47,0,1,9,0,1,2,31,53,1,0,3,2,13,4,0,0,7,0,20,4,1,2,1,23,4,1,3,3,4,0,2,0,5,4,0,3,11,0,0,131,1,2,0,7,0,3,0,2,1,29,1,16,0,0,8,1,0,2
ANDORRA,Europe,Southern Europe,11,6,5,0,7,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ANGOLA,Africa,Central Africa,1240,696,544,278,726,12,4,0,75,92,8,1,8,36,0,0,1,61,51,31,5,10,0,121,24,0,1,4,0,8,34,7,2,21,28,11,1,33,1,6,0,2,4,11,9,1,0,3,1,0,47,6,74,1,42,0,0,14,0,7,518,4,24,0,0,7,0,3,1
ANGUILLA,North America,Caribbean,15,6,9,1,9,1,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0
ANTIGUA AND BARBUDA,North America,Caribbean,220,107,113,17,155,6,3,0,0,30,3,3,0,3,0,1,2,0,2,1,2,6,1,47,6,0,0,4,1,6,2,0,0,1,5,3,0,4,3,5,0,0,0,1,0,2,1,2,0,0,65,4,0,0,1,0,0,0,0,1,32,0,2,6,0,1,0,0,0
ARGENTINA,South America,South America,2267,1275,992,192,862,320,11,0,228,484,106,15,7,42,0,36,11,11,292,15,16,43,3,344,62,0,4,19,7,91,32,20,10,12,172,33,2,25,15,37,0,11,0,68,0,8,10,26,6,2,403,19,22,11,69,4,10,16,5,25,87,66,46,0,7,10,16,8,0
ARMENIA,Asia,Western Asia,276,139,137,20,81,71,0,0,12,77,11,0,0,4,0,3,0,0,68,2,2,1,1,9,2,0,1,4,0,15,6,1,3,1,22,0,4,7,4,1,0,2,0,6,1,1,3,8,0,2,34,5,3,0,15,0,0,1,0,2,9,11,7,0,5,3,1,0,0
ARUBA,North America,Caribbean,63,40,23,19,34,0,0,0,0,7,0,1,0,2,0,1,0,0,2,0,0,0,0,28,6,0,0,3,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,4,1,0,0,0,6,0,0,1,0,1,0,0,1,0,0,0
AUSTRALIA,Australia&Pacific Islands,Oceania,4488,2596,1891,469,2317,436,8,0,4,698,339,55,9,153,7,25,17,58,659,61,65,40,4,124,66,0,37,110,19,186,50,63,37,31,380,71,14,68,28,87,0,19,24,100,28,25,20,100,15,15,844,58,49,41,190,2,28,64,23,52,202,64,62,0,21,57,24,41,13
AUSTRIA,Europe,Western Europe,883,477,406,53,313,152,19,0,37,189,69,6,3,42,0,6,1,16,190,11,16,11,2,59,13,0,10,6,3,32,9,4,5,4,88,8,3,6,16,11,0,3,1,18,0,3,3,24,2,3,156,13,2,15,25,0,10,7,1,7,27,4,11,0,2,8,2,6,0
AZERBAIJAN,Asia,Western Asia,500,352,147,33,144,52,0,0,55,141,62,1,2,10,0,1,2,4,45,6,4,28,3,28,8,0,0,3,1,32,7,4,4,0,64,0,0,6,4,20,0,1,0,4,2,1,4,10,3,2,80,4,3,0,21,0,1,2,0,0,33,3,39,0,1,4,3,4,1
"BAHAMAS, THE",North America,Caribbean,2985,1451,1534,310,2063,91,16,1,2,275,31,21,7,168,0,61,205,10,26,9,16,17,0,863,167,0,0,20,5,34,56,78,13,29,35,37,6,41,89,48,0,21,3,104,19,17,5,12,2,11,129,78,110,2,43,2,28,19,7,152,231,1,67,0,8,6,12,28,3
BAHRAIN,Asia,Western Asia,405,289,115,39,262,16,2,0,5,58,10,1,1,11,0,8,0,6,66,11,9,10,0,31,6,0,0,1,0,5,8,1,1,0,91,2,0,15,10,3,0,0,0,5,0,1,2,4,1,0,18,6,1,4,11,0,2,1,1,4,35,0,11,0,2,7,1,4,0
BANGLADESH,Asia,Southern Asia,8024,5859,2163,451,1623,3451,3,0,148,2270,67,0,0,11,13,173,94,66,341,29,94,72,97,463,171,0,14,118,62,233,218,126,129,164,253,96,18,218,212,159,0,88,12,174,90,39,21,82,108,35,910,313,102,55,245,1,21,102,89,179,1037,80,291,0,10,113,113,47,34
BARBADOS,North America,Caribbean,344,162,182,28,212,26,1,0,0,58,12,1,0,6,1,3,5,5,13,3,2,17,4,72,4,0,0,8,2,10,6,5,5,6,21,10,2,10,0,9,0,4,0,6,0,1,1,10,0,0,41,4,2,2,12,2,6,2,1,1,17,1,7,0,0,0,0,1,0
BASSAS DA INDIA,0,,4,1,3,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BELARUS,Europe,Eastern Europe,448,179,269,40,149,84,1,0,59,57,31,1,2,24,0,3,3,5,54,5,8,6,1,22,17,0,0,3,0,24,5,4,1,3,20,6,1,11,8,9,0,0,0,13,2,2,0,17,1,1,98,7,4,3,21,0,1,1,1,4,23,5,11,0,3,6,3,2,0
BELGIUM,Europe,Western Europe,1144,663,481,102,418,116,28,0,151,233,51,6,3,36,2,6,6,34,231,11,13,13,2,94,29,0,9,6,4,45,14,6,7,5,132,9,4,18,9,12,0,2,2,21,0,3,5,20,5,3,174,12,9,6,31,0,6,8,1,12,40,6,19,0,6,24,0,7,1
BELIZE,North America,Central America,368,169,199,34,215,32,4,0,1,65,9,1,0,7,0,7,21,3,32,3,3,0,0,74,18,0,0,4,3,6,0,0,32,8,11,0,0,7,1,18,0,4,0,7,0,1,1,3,5,1,17,6,4,1,2,0,1,0,1,3,43,2,2,0,0,6,7,0,0
BENIN,Africa,Western Africa,298,192,106,98,83,23,0,0,44,44,5,0,0,1,0,4,3,1,13,2,1,3,1,6,14,0,0,6,1,26,3,4,1,3,16,14,1,4,10,5,0,0,0,7,4,22,1,5,0,0,38,3,5,2,15,0,0,2,0,0,37,0,9,0,0,2,1,3,0
BERMUDA,North America,Northern America,487,232,255,45,294,12,1,0,0,36,5,3,7,84,0,32,1,2,16,4,17,4,3,74,45,0,0,0,2,5,4,0,0,1,36,6,25,6,2,2,0,0,0,27,0,12,8,7,0,2,28,7,2,0,19,0,27,13,0,17,7,3,10,0,6,0,0,5,0
BHUTAN,Asia,Southern Asia,150,66,84,11,105,1,8,0,1,20,0,0,0,4,0,0,1,1,8,0,1,2,0,10,1,0,2,3,0,5,0,0,0,0,13,0,2,0,0,6,0,0,1,0,0,0,1,0,0,0,24,4,1,1,18,0,2,0,0,0,33,1,3,0,1,4,0,0,1
BOLIVIA,South America,South America,1242,634,608,150,664,72,7,0,135,157,38,3,3,13,0,7,122,17,71,13,3,20,3,201,34,0,0,11,6,36,37,27,9,25,56,19,3,8,10,36,0,3,2,20,1,2,1,12,6,0,72,24,23,7,31,6,2,5,2,7,117,53,59,0,2,2,7,2,0
BOSNIA AND HERZEGOVINA,Europe,Southern Europe,332,145,187,36,197,33,0,0,14,34,11,0,0,7,0,2,4,5,14,1,9,4,4,33,4,0,0,9,2,29,7,3,4,5,17,8,4,3,4,9,0,0,0,16,1,1,2,10,2,1,37,5,16,5,11,0,3,5,0,0,9,1,10,0,11,0,1,1,0
BOTSWANA,Africa,Southern Africa,182,79,103,8,112,24,0,0,0,31,3,1,0,3,0,2,1,2,18,2,4,5,0,10,1,0,0,4,2,7,3,0,2,0,15,4,1,15,1,5,0,1,0,2,0,0,1,1,0,0,16,14,6,1,11,0,4,0,3,2,5,0,7,0,2,2,0,0,0
