Country of Citizenship,Continent,Region,# of Active Students,Male,Female,ASSOCIATE,BACHELOR'S,DOCTORATE,FLIGHT TRAINING,HIGH SCHOOL,LANGUAGE TRAINING,MASTER'S,OTHER,OTHER VOCATIONAL SCHOOL,PRIMARY,SECONDARY,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
AFGHANISTAN,Asia,Southern Asia,382,215,167,28,202,33,5,0,16,42,9,0,7,40,1,2,1,3,28,2,10,5,0,11,5,0,0,9,2,7,16,5,14,1,38,7,6,3,10,8,0,1,1,15,1,3,5,9,4,2,27,10,4,3,22,0,5,3,3,0,16,5,33,0,14,0,2,0,0
ALBANIA,Europe,Southern Europe,838,402,436,165,375,90,0,0,56,101,27,0,0,24,0,7,1,7,32,5,23,3,4,40,6,0,1,6,8,40,9,1,3,0,122,7,5,56,15,8,0,4,3,11,0,1,4,39,3,1,170,20,6,5,58,0,6,2,0,2,47,13,17,0,2,8,4,3,0
ALGERIA,Africa,Northern Africa,303,223,80,45,45,23,5,0,94,70,17,1,0,3,0,1,0,3,42,4,1,7,1,14,3,0,0,7,1,10,3,3,0,1,14,5,1,1,2,3,0,4,0,2,0,1,0,3,0,0,86,2,1,1,8,0,1,0,1,0,24,1,35,0,1,1,1,1,2
ANDORRA,Europe,Southern Europe,12,6,6,0,4,0,0,0,2,0,4,0,0,2,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
ANGOLA,Africa,Central Africa,1702,984,717,411,702,6,9,0,382,76,16,2,11,87,0,0,2,39,74,54,6,17,0,158,32,0,0,4,2,18,70,9,0,45,50,22,1,22,4,7,0,2,3,16,29,0,1,5,0,1,52,5,115,7,29,0,0,40,1,3,691,4,42,0,0,10,3,5,2
ANGUILLA,North America,Caribbean,20,9,11,3,14,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
ANTIGUA AND BARBUDA,North America,Caribbean,283,130,153,27,199,11,5,0,2,33,2,2,1,1,0,3,1,0,3,0,1,8,3,53,4,0,0,2,1,7,0,1,1,9,4,5,0,2,3,7,0,1,0,3,0,0,0,3,0,0,72,2,3,0,2,1,0,1,0,2,70,0,3,1,0,0,1,0,0
ARGENTINA,South America,South America,2205,1238,967,166,681,356,10,2,275,507,138,16,4,50,0,26,9,10,255,21,26,34,2,298,48,0,6,19,3,114,19,17,6,12,190,31,2,26,16,30,0,11,1,50,1,7,6,38,4,8,451,26,20,15,71,6,14,14,2,20,101,37,42,0,1,13,9,15,2
ARMENIA,Asia,Western Asia,256,126,130,20,52,61,0,0,13,84,12,2,0,12,0,0,0,3,56,1,4,5,0,2,3,0,2,5,0,17,2,3,2,1,27,5,0,13,2,3,0,2,0,4,0,1,0,1,2,2,32,6,2,1,12,0,1,1,0,2,6,16,3,0,2,4,0,0,0
ARUBA,North America,Caribbean,62,37,25,13,36,0,1,0,0,8,0,1,0,3,0,1,0,0,3,0,0,0,0,40,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,4,1,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
