Country of Citizenship,Continent,Region,# of Active Students,Male,Female,ASSOCIATE,BACHELOR'S,DOCTORATE,FLIGHT TRAINING,HIGH SCHOOL,LANGUAGE TRAINING,MASTER'S,OTHER,OTHER VOCATIONAL SCHOOL,PRIMARY,SECONDARY,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
AFGHANISTAN,Asia,Southern Asia,329,196,133,30,175,23,4,0,21,35,11,0,7,23,1,2,0,1,29,2,7,5,0,7,5,0,1,6,2,7,16,2,13,0,35,4,7,3,4,7,0,1,2,18,1,2,3,7,3,1,28,8,3,1,17,0,4,1,1,0,18,5,24,0,13,0,2,0,0
ALBANIA,Europe,Southern Europe,727,341,385,128,332,82,0,0,55,94,24,1,1,10,0,0,1,8,28,4,15,5,3,33,6,0,0,5,10,31,7,0,6,0,103,7,5,51,16,8,0,4,0,11,0,0,3,28,1,0,155,12,7,5,51,0,5,1,0,1,49,11,18,0,1,7,2,3,0
ALGERIA,Africa,Northern Africa,274,199,75,41,40,18,4,0,87,61,20,2,0,1,0,1,0,3,35,1,1,8,1,6,3,0,0,7,1,9,3,3,0,1,15,3,1,2,1,1,0,3,0,1,0,0,0,3,0,0,83,1,1,0,6,0,1,1,1,0,23,1,37,0,1,2,2,1,0
ANDORRA,Europe,Southern Europe,8,2,6,0,3,0,0,0,2,0,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ANGOLA,Africa,Central Africa,1424,790,633,349,497,7,8,0,408,60,27,1,7,60,0,0,1,22,56,51,4,16,0,140,30,0,0,6,2,15,34,6,0,35,36,18,0,15,3,6,0,2,0,11,38,0,0,8,0,2,48,2,88,7,29,0,0,22,0,1,613,5,38,0,0,7,0,5,2
ANGUILLA,North America,Caribbean,25,15,10,5,16,2,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,1,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0
ANTIGUA AND BARBUDA,North America,Caribbean,250,101,149,23,175,12,2,0,0,34,2,1,0,1,0,3,2,0,3,0,2,6,3,41,4,0,0,0,1,8,1,0,1,12,3,5,0,3,3,4,0,1,0,3,0,0,0,2,0,0,62,2,1,0,2,1,0,1,0,3,61,0,3,2,0,0,1,0,0
ARGENTINA,South America,South America,1842,1061,781,128,579,354,12,1,156,434,125,21,7,25,0,20,6,7,183,12,28,24,0,243,38,0,5,20,4,98,15,15,12,13,163,27,3,24,15,24,0,8,1,39,2,9,5,34,4,7,378,25,15,8,72,7,11,15,1,15,94,31,30,0,0,9,14,8,1
ARMENIA,Asia,Western Asia,245,117,128,33,33,62,1,0,16,79,15,1,1,4,0,1,0,3,48,2,3,4,0,4,3,0,2,3,0,16,2,2,0,1,30,4,0,11,1,3,0,2,0,5,0,2,0,3,0,2,32,5,1,1,11,0,0,1,0,2,7,18,3,0,1,5,0,0,1
ARUBA,North America,Caribbean,61,35,26,15,34,0,1,0,0,8,0,1,0,2,0,1,0,0,3,0,0,0,0,38,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,3,1,3,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
AUSTRALIA,Australia & Pacific Islands,Oceania,3870,2192,1677,317,1833,373,14,3,2,715,358,95,15,145,1,30,17,42,643,58,71,48,3,128,63,1,36,57,23,136,48,36,31,44,353,40,4,47,25,66,0,24,16,90,14,19,15,88,14,15,722,36,52,45,149,1,31,51,12,56,140,40,61,0,9,59,27,20,13
AUSTRIA,Europe,Western Europe,855,434,421,65,274,120,11,0,56,170,84,13,4,58,2,1,3,7,148,9,14,22,1,69,13,0,12,3,4,25,9,1,5,8,102,10,5,14,21,11,0,1,2,10,0,2,3,18,4,2,148,10,6,9,29,0,12,11,1,8,23,4,17,0,4,5,4,2,1
AZERBAIJAN,Asia,Western Asia,499,372,127,51,163,35,1,0,76,129,21,3,2,18,0,5,2,4,70,5,4,25,2,7,3,0,0,5,0,30,6,5,4,4,57,8,2,6,8,37,0,1,0,4,1,0,3,6,2,0,73,7,5,0,11,0,3,1,0,0,42,2,30,0,0,8,0,0,1
"BAHAMAS, THE",North America,Caribbean,2598,1280,1317,369,1595,94,15,1,0,265,33,19,10,197,0,70,84,5,23,9,23,14,2,886,172,0,1,19,2,16,42,42,19,32,43,26,4,46,72,55,0,24,0,110,13,17,4,23,5,2,76,36,103,2,52,3,25,29,11,102,122,3,84,0,3,7,11,22,2
BAHRAIN,Asia,Western Asia,434,297,137,48,267,23,6,0,17,54,8,0,0,11,0,3,1,11,41,5,10,15,0,49,10,0,0,1,1,13,16,1,3,1,71,2,1,15,1,5,0,1,0,3,0,1,0,2,2,0,38,9,1,1,22,0,2,1,0,3,47,1,7,0,1,7,1,8,0
BANGLADESH,Asia,Southern Asia,5565,4258,1305,474,1175,1671,9,1,427,1704,91,2,1,10,0,112,44,38,270,20,87,35,26,255,73,0,4,92,11,150,142,125,34,96,196,72,13,100,161,112,0,44,17,98,58,17,14,65,55,13,1001,188,109,34,144,0,4,85,57,108,750,31,254,0,4,50,66,19,12
BARBADOS,North America,Caribbean,326,156,170,28,185,26,3,0,1,64,5,3,0,11,0,7,8,3,5,2,4,15,3,61,9,0,0,7,2,15,5,7,5,3,10,8,1,11,2,6,0,4,0,8,0,1,0,13,2,0,46,1,4,0,7,5,4,3,0,6,13,0,6,0,0,1,3,0,0
BASSAS DA  INDIA,,,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BELARUS,Europe,Eastern Europe,408,144,264,45,156,60,2,0,40,66,22,2,0,15,0,9,0,6,38,9,4,3,2,15,12,0,0,5,1,21,6,4,5,3,22,3,1,7,7,10,0,1,0,17,0,2,2,13,0,0,106,4,2,2,15,0,1,4,0,4,23,4,11,0,0,0,2,1,1
BELGIUM,Europe,Western Europe,1157,618,539,83,368,105,32,2,224,218,78,12,4,31,1,3,10,30,250,8,10,14,3,88,17,0,16,8,1,39,8,6,4,7,143,19,6,21,11,9,0,2,3,30,0,5,1,19,4,2,192,14,6,6,34,1,7,4,0,10,41,6,8,0,3,15,5,7,0
BELIZE,North America,Central America,337,147,190,44,195,28,2,0,3,48,11,4,0,2,0,4,14,0,41,4,0,4,0,59,20,0,1,6,1,10,0,3,24,10,10,3,0,4,1,13,0,1,1,9,0,0,0,3,8,0,15,5,3,1,3,0,1,2,0,7,30,1,2,0,0,5,5,3,0
BENIN,Africa,Western Africa,399,248,150,111,146,26,0,0,50,51,4,1,0,10,0,7,5,1,18,1,2,6,1,15,8,0,0,7,0,33,7,7,3,3,28,19,2,7,8,14,0,0,0,11,1,29,1,12,1,1,34,5,10,1,23,0,0,1,1,3,36,0,21,0,0,1,2,1,2
BERMUDA,North America,Northern America,593,284,309,60,354,8,0,0,0,48,10,16,16,81,0,50,0,8,13,1,16,5,2,121,44,0,1,0,0,4,2,0,0,0,42,7,13,9,2,3,0,0,0,24,0,0,6,7,0,0,46,4,4,0,23,1,54,11,0,14,8,13,19,0,8,1,0,7,0
BHUTAN,Asia,Southern Asia,100,40,60,5,67,2,1,0,1,14,1,0,0,9,0,0,1,0,3,0,3,2,0,1,2,0,2,1,2,3,1,0,0,0,15,0,2,1,4,6,0,0,0,2,0,0,1,1,0,0,14,7,1,3,8,0,1,0,0,0,8,0,1,0,3,1,0,0,0
BOLIVIA,South America,South America,1071,529,541,149,556,63,8,0,121,133,26,3,2,10,0,6,94,5,45,8,7,35,0,124,21,0,1,8,6,23,31,21,11,28,55,24,3,9,8,17,0,1,0,12,1,8,3,17,10,1,66,21,20,6,26,9,6,9,1,5,131,36,74,0,2,4,4,8,0
BOSNIA AND HERZEGOVINA,Europe,Southern Europe,353,143,210,44,199,31,0,0,19,41,12,0,0,7,0,0,5,1,12,2,11,6,3,21,3,0,1,12,5,40,14,1,1,5,19,14,2,3,6,21,0,1,0,21,0,1,3,10,1,1,33,7,16,1,10,0,4,4,0,3,10,0,10,0,3,3,3,0,0
BOTSWANA,Africa,Southern Africa,176,83,93,9,93,23,1,0,0,38,10,0,0,2,0,1,2,0,17,1,1,5,0,7,3,0,0,4,1,5,2,0,1,3,25,3,0,10,2,10,0,0,0,3,0,2,0,1,0,0,11,15,7,2,8,0,0,1,1,0,11,0,6,0,0,2,3,0,0
BRAZIL,South America,South America,15531,7760,7771,1762,4083,951,91,10,4644,2065,1161,105,64,595,2,76,62,77,3238,98,188,164,35,2229,276,0,64,121,59,879,160,143,110,73,1233,154,10,242,107,304,0,66,20,295,21,56,41,399,41,48,1730,173,137,129,379,12,43,99,21,156,646,378,257,0,17,118,74,57,14
BRITISH VIRGIN ISLANDS,North America,Caribbean,92,37,55,8,72,0,0,0,0,6,1,1,1,3,0,5,1,1,1,0,0,2,1,21,10,0,0,0,0,0,0,3,0,0,1,2,0,0,0,12,0,1,0,2,0,1,0,1,0,0,4,1,3,0,1,2,7,0,0,2,4,0,1,1,0,0,0,1,0
BRUNEI,Asia,South-Eastern Asia,47,21,26,2,23,3,0,0,0,13,5,0,0,1,0,0,0,1,12,1,2,2,0,2,1,0,0,0,0,3,2,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,9,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,1,0,0
BULGARIA,Europe,Eastern Europe,1389,622,767,154,458,286,1,0,110,289,63,12,2,14,0,5,3,4,141,11,31,21,14,56,21,0,6,6,0,161,14,5,7,9,163,33,9,16,10,24,0,1,0,43,2,3,8,59,2,10,184,23,9,5,76,0,10,21,0,7,57,10,52,0,4,20,7,3,3
BURKINA FASO,Africa,Western Africa,898,615,283,227,233,35,0,0,294,95,9,0,0,5,0,4,10,1,19,1,2,25,6,29,67,0,2,5,1,9,3,6,3,4,28,32,0,4,44,3,0,0,4,2,2,41,2,34,2,3,239,29,9,3,30,0,0,0,2,3,110,5,20,0,1,13,29,6,1
BURMA,Asia,South-Eastern Asia,1072,552,520,165,653,67,2,0,30,104,44,2,2,3,0,5,4,9,222,8,13,10,1,36,11,0,5,25,3,39,16,5,11,3,111,13,2,21,27,21,0,2,3,5,4,2,11,14,1,5,146,29,10,20,62,0,14,4,3,2,33,1,28,0,4,19,26,0,3
BURUNDI,Africa,Eastern Africa,174,92,82,35,92,3,0,0,9,23,4,0,1,7,0,0,0,6,13,0,1,0,0,3,7,0,1,5,2,2,3,0,3,2,8,4,1,0,30,3,0,0,0,5,1,2,0,3,2,0,8,2,14,1,13,0,0,0,0,0,12,2,4,0,1,3,7,0,0
CAMBODIA,Asia,South-Eastern Asia,533,313,220,173,167,19,4,0,59,63,19,1,8,20,0,2,0,3,173,6,5,1,0,17,5,0,5,22,1,11,4,0,10,5,47,5,1,2,11,1,0,0,2,7,2,0,2,3,0,0,30,10,3,11,22,0,6,1,0,2,34,3,8,0,2,48,0,0,0
CAMEROON,Africa,Central Africa,1440,758,681,324,566,173,0,0,52,267,40,0,1,17,0,22,25,7,65,6,3,30,6,37,52,0,5,22,4,38,8,19,13,62,59,88,3,32,69,14,0,11,1,27,19,11,1,30,25,5,75,33,95,6,38,0,4,10,6,28,238,11,30,0,1,14,19,9,4
CANADA,North America,Northern America,29150,14500,14642,1626,13070,5188,42,11,91,4951,2820,228,110,1013,66,166,56,391,3355,174,585,301,32,1115,337,0,129,274,232,1062,368,124,164,146,2566,347,338,2098,449,327,0,79,176,488,503,78,236,553,84,70,5900,526,223,374,1281,28,285,183,46,266,806,286,405,0,201,424,267,134,46
CAPE VERDE,Africa,Western Africa,85,43,42,28,30,0,1,0,7,19,0,0,0,0,0,0,0,0,1,0,1,0,0,7,0,0,0,0,0,1,0,0,0,0,51,1,0,4,0,0,0,0,0,0,0,0,1,2,0,0,3,8,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
CAYMAN ISLANDS,North America,Caribbean,227,101,126,11,173,1,3,0,0,15,0,1,1,22,0,10,0,0,14,2,1,0,0,114,21,0,0,0,0,1,1,0,1,0,3,1,0,9,0,2,0,1,0,6,0,1,0,0,0,0,3,2,0,0,6,0,9,1,0,7,7,1,0,0,3,0,0,0,0
CENTRAL AFRICAN  REPUBLIC,Africa,Central Africa,8,20,12,4,10,0,0,0,4,1,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
CHAD,Africa,Central Africa,73,49,24,7,29,2,0,0,17,15,2,0,0,1,0,2,1,0,1,0,0,2,0,3,1,0,0,0,1,0,0,0,0,0,3,8,0,3,1,1,0,0,1,0,1,1,0,2,0,0,6,2,1,2,1,0,2,4,0,1,21,0,1,0,0,0,0,0,0
CHILE,South America,South America,2011,1296,714,102,395,346,24,0,426,538,131,11,6,32,0,7,11,27,331,16,17,31,2,120,36,2,11,13,16,121,23,9,16,6,226,30,6,22,13,41,0,9,4,48,3,1,4,16,4,6,310,23,14,18,68,6,11,25,1,16,83,79,26,0,5,22,43,5,8
CHINA,Asia,China,270684,138979,131617,10742,95076,42787,1990,9,7945,85928,7227,118,715,18147,36,2432,1153,5319,44585,2767,3617,2704,1792,7324,5111,16,380,4582,412,13273,9625,2758,1409,1697,16147,4674,633,9879,3934,5590,159,516,226,4247,578,1558,1232,6355,516,679,31046,12311,2261,5162,14675,24,1816,1489,210,1631,12040,2196,4435,0,551,8017,4194,503,208
