Country of Citizenship,Continent,Region,# of Active Students,Male,Female,ASSOCIATE,BACHELOR'S,DOCTORATE,FLIGHT TRAINING,HIGH SCHOOL,LANGUAGE TRAINING,MASTER'S,OTHER,OTHER VOCATIONAL SCHOOL,PRIMARY,SECONDARY,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
CHRISTMAS  ISLAND,Australia & Pacific Islands,Oceania,4,5,1,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLOMBIA,South America,South America,9343,4727,4614,856,2114,1149,247,6,2778,1588,361,38,31,175,2,69,34,66,675,93,111,171,49,1458,301,3,9,93,30,410,149,56,39,126,990,135,7,95,95,133,0,35,10,118,5,83,14,237,25,12,1177,129,89,58,237,304,19,67,9,73,714,97,169,0,30,102,85,44,2
COMOROS,Africa,Eastern Africa,7,2,5,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
REPUBLIC OF  THE CONGO,Africa,Central Africa,155,332,177,108,101,8,8,0,86,13,2,0,1,5,0,3,1,8,20,9,1,11,0,7,11,0,0,6,0,16,10,0,1,1,17,13,0,5,9,4,0,0,0,19,3,3,1,10,0,0,45,2,10,2,9,0,0,1,2,1,57,1,3,0,0,4,5,1,0
DEMOCRATIC  REPUBLIC OF THE CONGO,Africa,Central Africa,446,992,546,338,339,27,7,0,168,73,12,0,2,26,0,6,10,3,60,16,3,10,1,25,37,0,0,15,0,57,41,22,12,1,21,42,3,21,17,24,0,4,0,54,7,15,3,4,0,0,21,22,9,25,23,0,0,0,7,6,159,51,27,0,5,26,24,49,4
COSTA RICA,North America,Central America,1050,571,478,66,470,172,5,1,46,201,46,3,1,39,0,14,24,11,96,16,7,24,2,116,49,0,1,9,6,41,26,12,4,30,90,11,0,24,16,16,0,1,1,26,1,6,3,24,10,9,92,19,3,7,33,12,5,18,4,15,58,7,34,0,3,4,8,1,1
COTE D'IVOIRE,Africa,Western Africa,1324,681,642,374,581,40,0,0,101,177,27,1,6,17,0,34,26,6,54,6,4,22,5,33,111,1,0,0,1,20,52,18,2,8,35,43,1,13,56,19,0,1,1,13,14,32,2,43,1,2,66,8,86,6,40,0,2,2,1,8,347,9,32,0,0,4,26,6,2
CROATIA,Europe,Southern Europe,605,303,302,49,298,80,2,0,28,115,21,3,0,9,0,6,6,6,66,8,10,16,1,30,8,1,3,15,1,22,13,8,6,7,28,9,3,8,13,17,0,2,0,15,0,2,2,22,2,3,85,16,10,5,16,0,5,7,3,7,36,2,23,0,4,10,9,7,1
CUBA,North America,Caribbean,18,14,4,1,6,2,0,0,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,4,0,0,0,0,1,0,0,0
CURACAO,North America,Caribbean,86,67,19,33,14,0,0,0,1,1,4,2,0,31,0,0,0,0,0,0,0,0,0,49,3,0,0,3,0,3,0,0,0,0,1,0,0,1,4,5,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0
CYPRUS,Asia,Western Asia,395,245,150,23,166,101,1,0,7,76,17,4,0,0,0,4,0,5,41,2,6,5,0,14,7,0,1,2,0,13,10,4,6,5,43,6,0,5,6,1,0,1,1,5,0,0,0,14,1,1,131,7,0,5,15,0,3,2,0,2,15,0,2,0,1,0,3,0,0
CZECH REPUBLIC,Europe,Eastern Europe,826,374,452,109,329,83,2,0,77,106,44,3,8,65,1,4,4,6,105,8,19,18,1,89,13,0,9,6,4,36,5,13,9,10,54,10,10,21,13,12,0,0,2,13,3,4,9,21,2,3,103,10,11,6,37,0,3,15,1,8,30,8,15,0,4,12,22,3,1
DENMARK,Europe,Northern Europe,992,497,495,72,331,55,7,2,58,163,252,17,3,32,3,4,11,6,260,16,20,4,1,57,12,0,21,10,2,19,8,5,7,5,78,2,3,12,5,28,0,2,1,14,3,2,3,14,4,2,194,10,6,6,22,0,4,3,1,5,24,6,12,0,4,36,9,2,4
DJIBOUTI,Africa,Eastern Africa,7,2,5,0,3,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOMINICA,North America,Caribbean,313,93,220,32,201,18,1,0,0,48,7,0,2,4,0,1,4,0,3,0,3,1,0,28,2,0,0,5,0,0,1,1,0,52,3,7,1,1,3,2,0,1,0,4,0,0,0,4,1,0,64,3,6,1,5,0,1,2,0,3,79,0,5,15,0,1,0,0,0
DOMINICAN  REPUBLIC,North America,Caribbean,623,1393,770,278,632,47,0,0,95,191,70,13,4,63,1,12,4,3,33,4,19,34,3,227,44,0,1,9,3,22,10,7,10,15,158,19,2,20,6,19,0,4,0,9,1,5,0,25,1,2,356,15,13,1,46,108,24,8,0,12,43,16,10,0,0,2,7,0,0
ECUADOR,South America,South America,2693,1507,1184,176,1292,205,98,1,289,406,189,8,2,27,0,11,11,24,192,22,19,52,5,427,92,0,3,37,6,137,126,13,20,72,202,26,2,22,50,66,0,18,4,47,1,12,8,84,15,5,290,27,20,11,113,9,19,8,8,19,163,50,61,0,8,28,20,6,2
EGYPT,Africa,Northern Africa,2790,2153,637,192,762,755,101,1,179,537,192,15,4,52,0,35,12,30,438,12,39,40,7,200,48,0,1,77,9,85,71,23,31,43,190,48,6,72,54,33,0,17,1,43,7,12,4,53,13,9,330,115,21,13,108,0,5,12,8,14,191,14,105,0,8,28,36,8,11
EL SALVADOR,North America,Central America,908,490,418,92,493,47,6,0,47,98,105,2,1,17,1,7,29,3,100,6,1,22,0,57,34,0,1,6,8,35,23,1,6,45,42,14,1,11,13,12,0,2,0,21,0,1,0,12,2,1,57,8,7,6,39,11,12,19,1,10,149,17,44,0,3,3,3,2,0
EQUATORIAL  GUINEA,Africa,Central Africa,211,431,220,196,95,1,0,0,124,3,4,0,2,6,0,7,1,0,7,0,0,13,1,3,31,0,0,0,0,3,0,1,0,4,4,2,0,31,0,6,0,0,0,2,0,0,0,0,7,0,12,0,2,0,13,13,0,8,0,2,206,1,8,0,1,42,0,0,0
ERITREA,Africa,Eastern Africa,96,71,25,15,14,31,0,0,4,27,4,0,0,1,0,3,2,1,13,2,3,2,0,5,3,0,0,7,0,4,1,0,1,0,2,0,0,0,1,0,0,0,1,0,0,2,3,0,1,0,2,10,1,2,2,0,0,1,0,3,8,2,4,0,1,1,1,0,1
ESTONIA,Europe,Northern Europe,192,83,109,19,88,19,1,0,7,38,10,4,1,5,0,4,2,0,27,2,4,3,1,17,10,0,0,1,0,5,2,3,2,5,16,3,1,4,2,3,0,2,0,0,0,1,1,4,4,0,26,4,3,2,3,0,3,0,1,2,4,2,5,0,1,4,1,2,0
ETHIOPIA,Africa,Eastern Africa,1654,958,695,148,773,292,2,0,19,284,40,2,11,83,1,18,10,9,80,24,19,28,2,50,34,0,0,122,9,47,38,20,31,12,94,42,4,36,113,29,0,75,2,44,8,15,20,17,11,5,123,42,52,11,45,0,4,20,28,20,90,8,73,0,9,26,13,14,7
FAROE ISLANDS,Europe,Northern Europe,3,1,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FIJI,Australia & Pacific Islands,Melanesia,74,41,33,24,27,7,0,0,1,12,1,2,0,0,0,0,1,2,19,0,1,1,0,1,2,1,5,4,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,1,2,6,0,5,1,3,1,0,0,0,1,0,1,1,3,4,0,0,1,0,1,0
FINLAND,Europe,Northern Europe,652,303,349,60,282,53,6,0,25,98,59,10,7,52,1,1,0,3,110,11,6,5,0,49,11,0,13,3,1,12,1,13,3,7,36,10,2,18,22,8,0,3,0,23,1,1,8,8,7,4,86,11,7,7,31,1,7,13,0,7,18,16,26,0,4,7,8,2,0
FRANCE,Europe,Western Europe,7970,4337,3626,620,2494,868,39,3,1003,1688,937,72,43,203,3,44,28,57,1778,61,74,99,23,595,181,0,56,33,11,292,61,44,44,49,708,73,16,67,70,153,0,34,15,130,3,10,26,149,22,20,1703,89,43,37,255,18,39,107,6,34,291,36,101,1,16,90,40,28,7
FRENCH GUIANA,South America,South America,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRENCH POLYNESIA,Australia & Pacific Islands,Polynesia,17,10,7,3,10,1,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
GABON,Africa,Central Africa,490,245,245,164,191,12,1,0,72,38,7,0,2,3,0,0,8,1,24,6,3,34,1,5,29,0,0,3,0,7,3,0,0,3,17,35,0,1,9,9,0,1,0,3,0,6,0,5,0,1,47,2,42,8,9,0,1,1,0,3,154,0,6,0,0,2,0,0,1
"GAMBIA, THE",Africa,Western Africa,442,249,193,207,186,10,0,0,4,27,4,0,0,4,1,2,6,0,4,3,2,1,2,19,13,0,0,16,0,5,1,18,3,4,5,15,0,11,32,21,0,9,0,9,1,13,1,2,0,0,29,11,21,2,5,0,3,0,0,5,110,0,9,0,0,16,9,2,1
GAZA STRIP,Asia,Western Asia,107,89,18,18,35,17,1,0,17,15,3,0,0,1,0,0,1,3,13,3,1,2,0,6,2,0,0,0,0,7,1,3,0,1,3,0,0,5,4,2,0,1,0,3,1,0,2,3,0,0,6,0,0,7,8,0,0,3,1,0,4,4,6,0,0,1,0,0,0
GEORGIA,Asia,Western Asia,472,264,208,34,238,62,1,0,29,74,23,2,0,9,0,1,1,3,24,6,12,7,0,14,18,0,1,3,1,15,11,6,5,5,67,13,4,10,6,17,0,2,1,3,0,2,0,7,1,0,113,15,2,0,29,0,0,4,0,3,20,2,15,0,0,1,1,1,0
GERMANY,Europe,Western Europe,8262,4301,3961,465,2590,1254,112,3,484,1375,1254,69,22,633,22,84,25,108,1825,92,170,101,15,640,175,0,131,60,29,237,94,48,50,44,673,130,21,127,94,134,0,46,21,187,11,34,36,143,28,23,1140,113,42,94,238,2,52,112,15,95,232,46,133,0,29,86,135,29,11
GHANA,Africa,Western Africa,3056,1873,1183,161,1186,611,4,0,8,958,64,1,8,55,2,47,32,12,126,16,55,32,26,117,66,0,0,51,32,133,82,28,35,16,192,81,5,126,102,121,0,31,2,78,37,17,28,53,26,8,209,228,57,10,169,1,22,26,45,72,143,43,98,0,7,15,54,28,14
GIBRALTAR,Europe,Southern Europe,4,4,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GREECE,Europe,Southern Europe,2059,1247,811,83,581,714,5,1,22,523,103,6,5,16,0,12,4,9,243,9,52,37,12,63,40,0,1,19,3,105,32,4,7,14,344,45,4,52,28,18,0,3,1,33,0,6,11,60,5,6,456,28,1,6,111,0,26,8,1,10,74,0,27,0,7,10,9,2,1
GREENLAND,North America,Northern America,3,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GRENADA,North America,Caribbean,254,93,161,32,131,20,3,0,0,63,1,2,1,1,0,2,2,0,1,0,0,11,0,18,5,0,0,0,0,12,3,7,0,2,4,1,0,1,0,1,0,1,0,2,1,0,3,3,1,0,64,1,12,0,2,1,1,4,0,3,79,1,2,1,0,0,2,0,0
GUADELOUPE,North America,Caribbean,13,8,4,3,5,0,0,0,1,0,0,0,0,4,0,0,0,0,2,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUATEMALA,North America,Central America,1131,608,523,128,628,81,7,2,64,133,39,6,7,36,0,4,35,6,98,16,7,9,1,141,40,0,1,8,11,27,24,5,9,31,104,16,6,27,12,16,0,2,0,25,3,2,1,15,3,0,64,15,12,9,46,16,9,7,1,23,130,39,31,0,4,8,7,3,2
