var,code,weight,share
OCC2010,10,5521.4802,0.004486313561815934
OCC2010,20,2769.53,0.0022502987512037233
OCC2010,50,2534.06,0.0020589746467723066
OCC2010,110,2208.6553,0.0017945767922461515
OCC2010,120,5334.2161,0.004334157719353389
OCC2010,160,2456.9358,0.0019963096852273566
OCC2010,205,2189.47,0.0017789883506580595
OCC2010,310,10937.5175,0.008886952649553848
OCC2010,340,2642.7043,0.0021472503226506695
OCC2010,350,2420.18,0.001966444859484543
OCC2010,410,2215.5439,0.0018001739181041645
OCC2010,430,16705.2056,0.01357331507522267
OCC2010,540,2611.04,0.00212152244292099
OCC2010,565,2138.39,0.0017374848247126873
OCC2010,630,1375.82,0.001117881383440911
OCC2010,710,2809.9348,0.0022831284627369565
OCC2010,740,7745.7166,0.0062935503107595684
OCC2010,800,10247.045399999999,0.008325930200123434
OCC2010,840,5281.78,0.004291552334920654
OCC2010,850,1572.81,0.0012779397149988365
OCC2010,1007,1637.1812,0.00133024260789889
OCC2010,1020,2369.9253,0.001925611906365379
OCC2010,1106,1369.16,0.0011124699996743453
OCC2010,1220,2798.0808,0.0022734968496485376
OCC2010,1360,3064.62,0.0024900653031070087
OCC2010,1460,602.51,0.0004895514764554835
OCC2010,1965,1751.5736,0.0014231887304782434
OCC2010,2000,4990.5941,0.004054957942681491
OCC2010,2010,3077.28,0.0025003518073839943
OCC2010,2016,4062.18,0.003300602839169368
OCC2010,2100,5375.1538,0.004367420422839957
OCC2010,2310,16324.8839,0.01326429605518473
OCC2010,2340,11194.5295,0.009095780061657842
OCC2010,2400,2938.21,0.0023873546391533188
OCC2010,2540,4698.42,0.0038175606180942605
OCC2010,2600,3370.29,0.002738428317510334
OCC2010,2630,4567.52,0.003711201738958607
OCC2010,2910,340.506,0.0002766679640868215
OCC2010,3030,2110.65,0.0017149455175528476
OCC2010,3060,2964.11,0.0024083989093566303
OCC2010,3160,2553.4,0.0020746887852175593
OCC2010,3245,3315.29,0.002693739712831488
OCC2010,3255,13209.4906,0.01073297642604244
OCC2010,3300,16124.4293,0.013101422666540071
OCC2010,3500,8627.5608,0.007010066435161992
OCC2010,3510,5030.5717,0.004087440545634383
OCC2010,3535,5218.6885999999995,0.004240289305225473
OCC2010,3600,110014.71979999999,0.0893891694908405
OCC2010,3640,3974.9346,0.003229714199339408
OCC2010,3645,6063.16,0.004926439278992597
OCC2010,3730,3077.58,0.0025005955634095148
OCC2010,3930,25774.1318,0.020941999762739586
OCC2010,4050,2724.8009,0.002213955459066622
OCC2010,4110,3138.6023,0.0025501774077966778
OCC2010,4140,4906.4,0.003986548545387104
OCC2010,4220,20957.73,0.017028576562472624
OCC2010,4230,15576.48,0.012656202854690062
OCC2010,4250,7626.2754,0.006196501936774714
OCC2010,4530,8568.08,0.006961737090485965
OCC2010,4600,2438.1299999999997,0.001981029595011548
OCC2010,4610,11065.6991,0.008991102774090248
OCC2010,4700,6801.5381,0.005526386315618369
OCC2010,4710,1849.48,0.001502739646935134
OCC2010,4720,26744.8676,0.021730742097536015
OCC2010,4760,17041.8635,0.013846856380770134
OCC2010,4840,2642.7043,0.0021472503226506695
OCC2010,4850,4149.4229,0.0033714894476991153
OCC2010,4920,3387.13,0.002752111155742912
OCC2010,5000,3252.28,0.002642542822271232
OCC2010,5110,2960.62,0.0024055632142597357
OCC2010,5120,1836.56,0.0014922418874360305
OCC2010,5160,2850.99,0.0023164866373335193
OCC2010,5220,7012.1356000000005,0.005697501014233885
OCC2010,5240,9569.49,0.007775402828875844
OCC2010,5400,1987.64,0.0016149974218883957
OCC2010,5510,15448.807499999999,0.012552466384128972
OCC2010,5610,5703.5545,0.004634252587540982
OCC2010,5620,22464.7593,0.0182530681375115
OCC2010,5860,7196.9545,0.005847670082584415
OCC2010,5940,3971.5195,0.0032269393619968854
OCC2010,6220,4593.45,0.0037322703847644696
OCC2010,6230,10272.1651,0.008346340460904366
OCC2010,6260,7186.2754,0.005838993099343945
OCC2010,6355,11324.837,0.00920165752264309
OCC2010,6440,5275.37,0.0042863440811753565
OCC2010,6515,3747.5721,0.0030449776014976958
OCC2010,7120,2058.93,0.0016729219787530308
OCC2010,7130,1976.64,0.0016060597009526264
OCC2010,7140,7406.65,0.006018051888083196
OCC2010,7200,9540.9894,0.0077522455189393
OCC2010,7210,9778.779999999999,0.007945455157480128
OCC2010,7220,4127.6141,0.0033537693596678423
OCC2010,7240,4656.42,0.0037834347745213234
OCC2010,7315,9612.6427,0.0078104652643508415
OCC2010,7330,1969.44,0.0016002095563401228
OCC2010,7340,4694.8009999999995,0.0038146201079063916
OCC2010,7630,3292.7867,0.002675455329601134
OCC2010,7700,2615.11,0.0021248293996672246
OCC2010,7800,2086.5,0.0016953231574984087
OCC2010,8140,5617.9457,0.004564693718082247
OCC2010,8450,2036.86,0.0016549896604755375
OCC2010,8610,2386.0167,0.0019386864920622735
OCC2010,9000,7242.654699999999,0.005884802412976127
OCC2010,9050,2618.1771,0.0021273214800201423
OCC2010,9120,1478.45,0.001201270319771638
OCC2010,9130,6786.0119,0.005513770966273557
OCC2010,9140,16678.5469,0.013551654346030817
OCC2010,9150,3292.7867,0.002675455329601134
OCC2010,9240,234.2,0.0001902922039233776
OCC2010,9360,3193.3286,0.0025946436257282403
OCC2010,9420,2025.36,0.0016456456794972333
OCC2010,9620,12311.539,0.010003372715621761
OCC2010,9999,460436.0701,0.3741135548469162
