stabbr,0
AL,3
CA,14
CT,4
DC,8
DE,4
FL,55
GA,9
ID,4
IL,4
IN,8
KY,3
MA,2
MD,7
MI,7
MN,2
MO,4
MS,1
ND,1
NE,2
NJ,22
NY,98
OH,2
OK,1
PA,9
SC,2
SD,2
TX,8
UT,3
VA,4
VT,4
WI,4
