hub_id,soc_code,guyanese_share,hub,cbsa,soc_title,median_wage,mix_expected_wage,overall_msa_median
NYC_MSA,nan,0.0069617370904859,NYC_MSA,35620,,60000,417.704225429154,60000.0
NYC_MSA,nan,0.0019810295950115,NYC_MSA,35620,,60000,118.86177570069,60000.0
NYC_MSA,nan,0.0089911027740902,NYC_MSA,35620,,60000,539.466166445412,60000.0
NYC_MSA,nan,0.0055263863156183,NYC_MSA,35620,,60000,331.583178937098,60000.0
NYC_MSA,nan,0.0015027396469351,NYC_MSA,35620,,60000,90.164378816106,60000.0
NYC_MSA,nan,0.021730742097536,NYC_MSA,35620,,60000,1303.8445258521601,60000.0
NYC_MSA,nan,0.0138468563807701,NYC_MSA,35620,,60000,830.811382846206,60000.0
NYC_MSA,nan,0.0021472503226506,NYC_MSA,35620,,60000,128.835019359036,60000.0
NYC_MSA,nan,0.0033714894476991,NYC_MSA,35620,,60000,202.289366861946,60000.0
NYC_MSA,nan,0.0027521111557429,NYC_MSA,35620,,60000,165.126669344574,60000.0
NYC_MSA,nan,0.0026425428222712,NYC_MSA,35620,,60000,158.552569336272,60000.0
NYC_MSA,nan,0.0024055632142597,NYC_MSA,35620,,60000,144.333792855582,60000.0
NYC_MSA,nan,0.001492241887436,NYC_MSA,35620,,60000,89.53451324616,60000.0
NYC_MSA,nan,0.0023164866373335,NYC_MSA,35620,,60000,138.98919824001,60000.0
NYC_MSA,nan,0.0056975010142338,NYC_MSA,35620,,60000,341.85006085402796,60000.0
NYC_MSA,nan,0.0077754028288758,NYC_MSA,35620,,60000,466.52416973254805,60000.0
NYC_MSA,nan,0.0016149974218883,NYC_MSA,35620,,60000,96.899845313298,60000.0
NYC_MSA,nan,0.0125524663841289,NYC_MSA,35620,,60000,753.147983047734,60000.0
NYC_MSA,nan,0.0046342525875409,NYC_MSA,35620,,60000,278.05515525245397,60000.0
NYC_MSA,nan,0.0182530681375115,NYC_MSA,35620,,60000,1095.18408825069,60000.0
NYC_MSA,nan,0.0058476700825844,NYC_MSA,35620,,60000,350.86020495506403,60000.0
NYC_MSA,nan,0.0032269393619968,NYC_MSA,35620,,60000,193.616361719808,60000.0
NYC_MSA,nan,0.0037322703847644,NYC_MSA,35620,,60000,223.936223085864,60000.0
NYC_MSA,nan,0.0083463404609043,NYC_MSA,35620,,60000,500.780427654258,60000.0
NYC_MSA,nan,0.0058389930993439,NYC_MSA,35620,,60000,350.339585960634,60000.0
NYC_MSA,nan,0.009201657522643,NYC_MSA,35620,,60000,552.09945135858,60000.0
NYC_MSA,nan,0.0042863440811753,NYC_MSA,35620,,60000,257.180644870518,60000.0
NYC_MSA,nan,0.0030449776014976,NYC_MSA,35620,,60000,182.698656089856,60000.0
NYC_MSA,nan,0.001672921978753,NYC_MSA,35620,,60000,100.37531872518001,60000.0
NYC_MSA,nan,0.0016060597009526,NYC_MSA,35620,,60000,96.363582057156,60000.0
NYC_MSA,nan,0.0060180518880831,NYC_MSA,35620,,60000,361.083113284986,60000.0
NYC_MSA,nan,0.0077522455189393,NYC_MSA,35620,,60000,465.134731136358,60000.0
NYC_MSA,nan,0.0079454551574801,NYC_MSA,35620,,60000,476.72730944880607,60000.0
NYC_MSA,nan,0.0033537693596678,NYC_MSA,35620,,60000,201.22616158006798,60000.0
NYC_MSA,nan,0.0037834347745213,NYC_MSA,35620,,60000,227.006086471278,60000.0
NYC_MSA,nan,0.0078104652643508,NYC_MSA,35620,,60000,468.627915861048,60000.0
NYC_MSA,nan,0.0016002095563401,NYC_MSA,35620,,60000,96.01257338040601,60000.0
NYC_MSA,nan,0.0038146201079063,NYC_MSA,35620,,60000,228.877206474378,60000.0
NYC_MSA,nan,0.0026754553296011,NYC_MSA,35620,,60000,160.527319776066,60000.0
NYC_MSA,nan,0.0021248293996672,NYC_MSA,35620,,60000,127.489763980032,60000.0
NYC_MSA,nan,0.0016953231574984,NYC_MSA,35620,,60000,101.719389449904,60000.0
