nta,ntaname,estimate,moe
QN0103,Astoria (Central),63,68
QN0104,Astoria (East)-Woodside (North),142,144
QN0105,Queensbridge-Ravenswood-Dutch Kills,0,47
QN0151,Rikers Island,17,23
QN0161,Sunnyside Yards (North),0,13
QN0171,St. Michael's Cemetery,0,13
QN0191,Astoria Park,0,13
QN0201,Long Island City-Hunters Point,10,45
QN0202,Sunnyside,175,125
QN0203,Woodside,32,75
QN0261,Sunnyside Yards (South),0,13
QN0271,Calvary & Mount Zion Cemeteries,0,13
QN0301,Jackson Heights,436,502
QN0302,East Elmhurst,100,105
QN0303,North Corona,43,66
QN0401,Elmhurst,296,204
QN0402,Corona,415,247
QN0501,Maspeth,112,109
QN0502,Ridgewood,24,64
QN0503,Glendale,31,58
QN0504,Middle Village,405,566
QN0571,Mount Olivet & All Faiths Cemeteries,0,13
QN0572,Middle Village Cemetery,0,13
QN0573,St. John Cemetery,0,13
QN0574,Highland Park-Cypress Hills Cemeteries (North),0,13
QN0601,Rego Park,78,93
QN0602,Forest Hills,199,121
QN0701,College Point,17,42
QN0702,Whitestone-Beechhurst,25,53
QN0703,Bay Terrace-Clearview,44,70
QN0704,Murray Hill-Broadway Flushing,29,59
QN0705,East Flushing,337,382
QN0706,Queensboro Hill,112,173
QN0707,Flushing-Willets Point,9,60
QN0761,Fort Totten,0,13
QN0791,Kissena Park,0,13
QN0801,Kew Gardens Hills,204,239
QN0802,Pomonok-Electchester-Hillcrest,185,145
QN0803,Fresh Meadows-Utopia,341,359
QN0804,Jamaica Estates-Holliswood,1068,408
QN0805,Jamaica Hills-Briarwood,1941,927
QN0871,Mount Hebron & Cedar Grove Cemeteries,0,13
QN0891,Cunningham Park,0,13
QN0901,Kew Gardens,244,169
QN0902,Richmond Hill,2307,654
QN0903,South Richmond Hill,3656,807
QN0904,Ozone Park (North),1752,548
QN0905,Woodhaven,856,356
QN1001,South Ozone Park,16542,1821
QN1002,Ozone Park,802,367
QN1003,Howard Beach-Lindenwood,261,250
QN1091,Spring Creek Park,0,13
QN1101,Auburndale,0,47
QN1102,Bayside,195,185
QN1103,Douglaston-Little Neck,9,39
QN1104,Oakland Gardens-Hollis Hills,143,127
QN1191,Alley Pond Park,0,13
QN1201,Jamaica,3876,775
QN1202,South Jamaica,5040,1214
QN1203,Baisley Park,4089,929
QN1204,Springfield Gardens (North)-Rochdale Village,1045,530
QN1205,St. Albans,1942,615
QN1206,Hollis,2523,623
QN1301,Glen Oaks-Floral Park-New Hyde Park,207,155
QN1302,Bellerose,504,251
QN1303,Queens Village,6403,1272
QN1304,Cambria Heights,636,345
QN1305,Laurelton,796,323
QN1306,Springfield Gardens (South)-Brookville,780,472
QN1307,Rosedale,1169,521
QN1371,Montefiore Cemetery,0,13
QN1401,Far Rockaway-Bayswater,1991,635
QN1402,Rockaway Beach-Arverne-Edgemere,1412,532
QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,22,40
QN1491,Rockaway Community Park,0,13
QN8081,LaGuardia Airport,0,13
QN8191,Flushing Meadows-Corona Park,0,13
QN8291,Forest Park,0,13
QN8381,John F. Kennedy International Airport,0,13
QN8491,Jamaica Bay (East),0,13
QN8492,Jacob Riis Park-Fort Tilden-Breezy Point Tip,0,26
SI0101,St. George-New Brighton,5,33
