state,county,tract,geoid,estimate,moe,state_abbr
36,005,018302,36005018302,0.0,13.0,NY
36,005,018400,36005018400,109.0,167.0,NY
36,005,018501,36005018501,0.0,13.0,NY
36,005,018502,36005018502,43.0,75.0,NY
36,005,018900,36005018900,0.0,19.0,NY
36,005,019300,36005019300,43.0,67.0,NY
36,005,019400,36005019400,64.0,66.0,NY
36,005,019500,36005019500,0.0,19.0,NY
36,005,019700,36005019700,248.0,155.0,NY
36,005,019900,36005019900,0.0,19.0,NY
36,005,020000,36005020000,177.0,160.0,NY
36,005,020100,36005020100,3.0,8.0,NY
36,005,020200,36005020200,5.0,18.0,NY
36,005,020400,36005020400,47.0,56.0,NY
36,005,020501,36005020501,0.0,19.0,NY
36,005,020502,36005020502,0.0,13.0,NY
36,005,020601,36005020601,84.0,63.0,NY
36,005,020900,36005020900,43.0,53.0,NY
36,005,021001,36005021001,151.0,204.0,NY
36,005,021002,36005021002,10.0,19.0,NY
36,005,021100,36005021100,0.0,19.0,NY
36,005,021200,36005021200,0.0,19.0,NY
36,005,021301,36005021301,0.0,13.0,NY
36,005,021302,36005021302,0.0,19.0,NY
36,005,021501,36005021501,0.0,13.0,NY
36,005,021502,36005021502,0.0,19.0,NY
36,005,021601,36005021601,135.0,233.0,NY
36,005,021602,36005021602,87.0,139.0,NY
36,005,021700,36005021700,16.0,25.0,NY
36,005,021800,36005021800,175.0,180.0,NY
36,005,021900,36005021900,0.0,13.0,NY
36,005,022000,36005022000,0.0,13.0,NY
36,005,022101,36005022101,59.0,84.0,NY
36,005,022102,36005022102,64.0,102.0,NY
36,005,022200,36005022200,91.0,105.0,NY
36,005,022300,36005022300,86.0,90.0,NY
36,005,022401,36005022401,0.0,13.0,NY
36,005,022403,36005022403,0.0,13.0,NY
36,005,022404,36005022404,157.0,215.0,NY
36,005,022500,36005022500,11.0,18.0,NY
36,005,022701,36005022701,6.0,16.0,NY
36,005,022702,36005022702,51.0,73.0,NY
36,005,022703,36005022703,0.0,13.0,NY
36,005,022800,36005022800,0.0,19.0,NY
36,005,022901,36005022901,371.0,388.0,NY
36,005,022902,36005022902,0.0,13.0,NY
36,005,023000,36005023000,23.0,37.0,NY
36,005,023100,36005023100,0.0,13.0,NY
36,005,023200,36005023200,38.0,44.0,NY
36,005,023301,36005023301,0.0,13.0,NY
36,005,023302,36005023302,0.0,13.0,NY
36,005,023501,36005023501,0.0,13.0,NY
36,005,023502,36005023502,0.0,13.0,NY
36,005,023600,36005023600,0.0,13.0,NY
36,005,023702,36005023702,0.0,13.0,NY
36,005,023703,36005023703,29.0,43.0,NY
36,005,023704,36005023704,0.0,13.0,NY
36,005,023800,36005023800,0.0,13.0,NY
36,005,023900,36005023900,0.0,19.0,NY
36,005,024000,36005024000,42.0,68.0,NY
36,005,024100,36005024100,35.0,58.0,NY
36,005,024300,36005024300,26.0,41.0,NY
36,005,024400,36005024400,0.0,13.0,NY
36,005,024501,36005024501,0.0,19.0,NY
36,005,024502,36005024502,0.0,13.0,NY
36,005,024600,36005024600,22.0,30.0,NY
36,005,024700,36005024700,0.0,13.0,NY
36,005,024800,36005024800,6.0,12.0,NY
36,005,024900,36005024900,0.0,13.0,NY
36,005,025000,36005025000,0.0,13.0,NY
36,005,025100,36005025100,0.0,19.0,NY
36,005,025200,36005025200,47.0,81.0,NY
36,005,025300,36005025300,76.0,87.0,NY
36,005,025400,36005025400,0.0,13.0,NY
36,005,025500,36005025500,0.0,19.0,NY
36,005,025600,36005025600,0.0,13.0,NY
36,005,025700,36005025700,0.0,13.0,NY
36,005,026100,36005026100,0.0,13.0,NY
36,005,026300,36005026300,0.0,19.0,NY
36,005,026400,36005026400,0.0,19.0,NY
36,005,026500,36005026500,10.0,22.0,NY
36,005,026601,36005026601,0.0,13.0,NY
36,005,026602,36005026602,0.0,19.0,NY
36,005,026701,36005026701,0.0,13.0,NY
36,005,026702,36005026702,0.0,19.0,NY
36,005,026900,36005026900,0.0,13.0,NY
36,005,027300,36005027300,0.0,19.0,NY
36,005,027401,36005027401,0.0,19.0,NY
36,005,027402,36005027402,0.0,13.0,NY
36,005,027600,36005027600,0.0,13.0,NY
36,005,027700,36005027700,0.0,13.0,NY
36,005,027900,36005027900,0.0,19.0,NY
36,005,028100,36005028100,19.0,26.0,NY
36,005,028300,36005028300,0.0,13.0,NY
36,005,028400,36005028400,0.0,13.0,NY
36,005,028500,36005028500,20.0,33.0,NY
36,005,028600,36005028600,0.0,13.0,NY
36,005,028700,36005028700,0.0,13.0,NY
36,005,028800,36005028800,0.0,13.0,NY
36,005,028900,36005028900,0.0,13.0,NY
36,005,029301,36005029301,6.0,9.0,NY
36,005,029302,36005029302,24.0,38.0,NY
36,005,029500,36005029500,0.0,13.0,NY
36,005,029600,36005029600,0.0,13.0,NY
36,005,029700,36005029700,0.0,13.0,NY
36,005,030000,36005030000,0.0,19.0,NY
36,005,030100,36005030100,0.0,13.0,NY
36,005,030201,36005030201,23.0,26.0,NY
36,005,030202,36005030202,16.0,26.0,NY
36,005,030701,36005030701,48.0,74.0,NY
36,005,030900,36005030900,0.0,13.0,NY
36,005,031000,36005031000,115.0,105.0,NY
36,005,031200,36005031200,75.0,61.0,NY
36,005,031400,36005031400,0.0,13.0,NY
36,005,031600,36005031600,166.0,217.0,NY
36,005,031800,36005031800,4.0,5.0,NY
36,005,031900,36005031900,0.0,13.0,NY
36,005,032300,36005032300,0.0,13.0,NY
36,005,032400,36005032400,129.0,151.0,NY
36,005,032600,36005032600,0.0,13.0,NY
36,005,032800,36005032800,0.0,13.0,NY
36,005,033000,36005033000,20.0,32.0,NY
36,005,033201,36005033201,10.0,17.0,NY
36,005,033202,36005033202,0.0,13.0,NY
36,005,033400,36005033400,0.0,13.0,NY
36,005,033500,36005033500,0.0,13.0,NY
36,005,033601,36005033601,90.0,136.0,NY
36,005,033602,36005033602,0.0,13.0,NY
36,005,033700,36005033700,10.0,15.0,NY
36,005,033801,36005033801,0.0,13.0,NY
36,005,033802,36005033802,8.0,16.0,NY
36,005,034000,36005034000,0.0,19.0,NY
36,005,034200,36005034200,10.0,20.0,NY
36,005,034300,36005034300,26.0,51.0,NY
36,005,034400,36005034400,24.0,34.0,NY
36,005,034500,36005034500,0.0,13.0,NY
36,005,034800,36005034800,16.0,25.0,NY
36,005,035000,36005035000,0.0,13.0,NY
36,005,035100,36005035100,0.0,13.0,NY
36,005,035600,36005035600,9.0,14.0,NY
36,005,035800,36005035800,14.0,25.0,NY
36,005,035900,36005035900,18.0,28.0,NY
36,005,036000,36005036000,26.0,32.0,NY
36,005,036100,36005036100,0.0,19.0,NY
36,005,036300,36005036300,0.0,19.0,NY
36,005,036400,36005036400,84.0,85.0,NY
36,005,036501,36005036501,0.0,13.0,NY
36,005,036502,36005036502,0.0,13.0,NY
36,005,036700,36005036700,5.0,11.0,NY
36,005,036800,36005036800,163.0,168.0,NY
36,005,036901,36005036901,27.0,37.0,NY
36,005,036902,36005036902,59.0,98.0,NY
36,005,037000,36005037000,24.0,38.0,NY
36,005,037100,36005037100,0.0,13.0,NY
